,0,1,2
366,190719-15198-002,2020-09-18 11:50,"['태웅 단조', None]"
367,180903-12339-031,2020-09-18 14:30,"['태웅 단조 2EA', '태웅 단조']"
368,190827-19558-001,2020-09-18 14:30,"['태웅 단조 2EA', '태웅 단조']"
369,190208-15111-007,2020-09-18 14:30,"['태웅 단조 2EA', '태웅 단조']"
370,190626-19503-010,2020-09-18 15:10,"['태웅 단조', '태웅 단조']"
371,190626-19503-015,2020-09-18 18:50,"['태웅 단조', None]"
372,190626-19503-013,2020-09-18 19:50,"['태웅 단조', '태웅 단조']"
373,190626-19503-012,2020-09-18 20:10,"['태웅 단조', None]"
374,190907-99010-001,2020-09-18 23:30,"['태웅 단조', None]"
375,190226-15088-004,2020-09-19 1:50,"['태웅 단조', '태웅 단조']"
376,190804-72315-001,2020-09-19 9:10,"['태웅 단조', '태웅 단조']"
377,190808-99010-001,2020-09-19 16:10,"['태상 미음', '태상 미음']"
378,190808-99010-002,2020-09-19 16:10,"['태상 미음', '태상 미음']"
379,190808-99010-003,2020-09-19 16:10,"['태상 미음', '태상 미음']"
380,190214-14730-021,2020-09-19 17:50,"['태상 미음', '태상 미음']"
381,190724-14730-092,2020-09-19 17:50,"['태상 미음', '태상 미음']"
382,190724-14730-093,2020-09-19 17:50,"['태상 미음', '태상 미음']"
383,190724-14730-094,2020-09-19 17:50,"['태상 미음', '태상 미음']"
384,190724-14730-095,2020-09-19 17:50,"['태상 미음', None]"
385,190424-15111-014,2020-09-19 19:10,"['태웅 단조', '태웅 단조']"
386,190831-15133-001,2020-09-19 23:30,"['태웅 단조', None]"
387,190831-15133-002,2020-09-19 23:30,"['태웅 단조', None]"
388,190830-15133-001,2020-09-20 1:30,"['태웅 단조', '태웅 단조']"
389,190830-15133-002,2020-09-20 1:30,"['태웅 단조', '태웅 단조']"
390,190529-19154-002,2020-09-23 15:10,"['태웅 단조', None]"
391,190529-19154-001,2020-09-23 16:10,"['태웅 단조', '태웅 단조']"
392,190712-12005-003,2020-09-23 17:30,"['태웅 단조', '태웅 단조']"
393,190712-12005-019,2020-09-23 17:30,"['태웅 단조', '태웅 단조']"
394,180602-14730-001,2020-09-24 10:30,"['태상 미음', '태상 미음']"
395,180602-14730-006,2020-09-24 10:30,"['태상 미음', '태상 미음']"
396,180602-14730-011,2020-09-24 10:30,"['태상 미음', '태상 미음']"
397,180602-14730-016,2020-09-24 10:30,"['태상 미음', '태상 미음']"
398,180602-14730-021,2020-09-24 10:30,"['태상 미음', '태상 미음']"
399,180602-14730-022,2020-09-24 11:30,"['태상 미음', None]"
400,190626-99010-001,2020-09-24 12:50,"['태웅 단조', '태웅 단조']"
401,190627-99010-001,2020-09-24 12:50,"['태웅 단조', '태웅 단조']"
402,190814-99010-001,2020-09-24 12:50,"['태웅 단조', '태웅 단조']"
403,180816-15111-002,2020-09-24 13:10,"['태웅 단조', '태웅 단조']"
404,190529-19154-004,2020-09-24 13:10,"['태웅 단조', None]"
405,180607-19217-132,2020-09-24 14:10,"['태웅 단조', '태웅 단조']"
406,180607-19217-135,2020-09-24 14:10,"['태웅 단조', '태웅 단조']"
407,180607-19217-139,2020-09-24 14:10,"['태웅 단조', '태웅 단조']"
408,180607-19217-141,2020-09-24 14:10,"['태웅 단조', '태웅 단조']"
409,190907-99010-001,2020-09-24 22:10,"['태웅 단조', None]"
410,190821-15008-027,2020-09-25 17:40,"['태웅 단조', None]"
411,190213-14730-007,2020-09-25 18:40,"['태상 미음', '태상 미음']"
412,190213-14730-012,2020-09-25 18:40,"['태상 미음', '태상 미음']"
413,190213-14730-049,2020-09-25 18:40,"['태상 미음', '태상 미음']"
414,190213-14730-050,2020-09-25 18:40,"['태상 미음', '태상 미음']"
415,190213-14730-005,2020-09-25 18:40,"['태상 미음', None]"
416,190213-14730-040,2020-09-25 18:40,"['태상 미음', None]"
417,190213-14730-041,2020-09-25 18:40,"['태상 미음', None]"
418,190807-12321-001,2020-09-25 21:20,"['태웅 단조 3EA', '태웅 단조 3EA']"
419,190807-12321-006,2020-09-25 21:20,"['태웅 단조 3EA', '태웅 단조 3EA']"
420,190829-15198-001,2020-09-25 21:20,"['태웅 단조 3EA', '태웅 단조 3EA']"
421,190829-15198-005,2020-09-25 21:20,"['태웅 단조 3EA', '태웅 단조 3EA']"
422,190723-12005-001,2020-09-26 1:20,"['태웅 단조 3EA', '태웅 단조']"
423,180929-17035-007,2020-09-26 7:00,"['태웅 단조', None]"
424,190506-17035-004,2020-09-26 9:00,"['태웅 단조', '태웅 단조']"
425,190830-15200-018,2020-09-26 12:30,"['태상 미음', '태웅 단조']"
426,190826-19088-001,2020-09-26 12:30,"['태상 미음', '태웅 단조']"
427,190725-70021-006,2020-09-26 17:30,"['태상 미음', '태상 미음']"
428,190804-72315-001,2020-09-26 19:50,"['태웅 단조', '태웅 단조']"
429,190806-19235-001,2020-09-30 16:30,"['태웅 단조', '태웅 단조']"
430,190806-19235-003,2020-10-01 12:10,"['태웅 단조', '태상 미음']"
431,190806-19235-004,2020-10-01 12:10,"['태웅 단조', '태상 미음']"
432,180607-19217-140,2020-10-01 16:50,"['태웅 단조', '태웅 단조']"
433,190806-19235-001,2020-10-01 19:10,"['태웅 단조', '태웅 단조']"
434,190806-19235-002,2020-10-01 19:10,"['태웅 단조', '태웅 단조']"
435,190806-19235-001,2020-10-01 19:10,"['태웅 단조', '태웅 단조']"
436,190806-19235-002,2020-10-01 19:10,"['태웅 단조', '태웅 단조']"
437,180607-19217-143,2020-10-01 20:50,"['태웅 단조', None]"
438,180607-19217-151,2020-10-01 20:50,"['태웅 단조', None]"
439,190626-14730-046,2020-10-01 21:30,"['태상 미음', '태상 미음']"
440,190626-14730-047,2020-10-01 21:30,"['태상 미음', '태상 미음']"
441,190827-01258-001,2020-10-01 21:30,"['태상 미음', '태상 미음']"
442,190827-01258-002,2020-10-01 21:30,"['태상 미음', '태상 미음']"
443,181001-14017-017,2020-10-01 23:30,"['태웅 단조', '태웅 단조']"
444,180607-19217-145,2020-10-01 23:30,"['태웅 단조', '태웅 단조']"
445,180607-19217-146,2020-10-01 23:30,"['태웅 단조', '태웅 단조']"
446,180607-19217-147,2020-10-01 23:30,"['태웅 단조', '태웅 단조']"
447,180607-19217-148,2020-10-01 23:30,"['태웅 단조', '태웅 단조']"
448,190806-19235-002,2020-10-02 18:50,"['태웅 단조', '태웅 단조']"
449,190924-30409-031,2020-10-02 22:10,"['태상 미음', None]"
450,190924-30409-032,2020-10-02 22:10,"['태상 미음', None]"
451,190924-30409-033,2020-10-02 22:10,"['태상 미음', None]"
452,190924-30409-034,2020-10-02 23:10,"['태상 미음', '태상 미음']"
453,190924-30409-035,2020-10-02 23:10,"['태상 미음', '태상 미음']"
454,190924-30409-036,2020-10-02 23:10,"['태상 미음', '태상 미음']"
455,181112-19581-009,2020-10-03 21:50,"['태웅 단조', '태웅 단조']"
456,190905-15133-001,2020-10-04 2:30,"['태웅 단조', '태웅 단조']"
457,190820-15008-001,2020-10-08 2:30,"['태웅 단조', '태웅 단조']"
458,181001-14017-016,2020-10-08 18:10,"['태웅 단조', '태웅 단조']"
459,190212-14730-056,2020-10-08 19:30,"['태상 미음', '태상 미음']"
460,190212-14730-080,2020-10-08 19:30,"['태상 미음', '태상 미음']"
461,190626-14730-051,2020-10-08 19:30,"['태상 미음', '태상 미음']"
462,190626-14730-052,2020-10-08 19:30,"['태상 미음', '태상 미음']"
463,190917-19245-028,2020-10-09 0:30,"['태웅 단조', '태웅 단조']"
464,190917-19245-063,2020-10-09 0:30,"['태웅 단조', '태웅 단조']"
465,190906-12005-001,2020-10-09 5:10,"['태웅 단조', '태웅 단조']"
466,190917-19245-056,2020-10-09 5:30,"['태웅 단조', None]"
467,190917-19245-057,2020-10-09 5:30,"['태웅 단조', None]"
468,190917-19245-058,2020-10-09 5:30,"['태웅 단조', None]"
469,190917-19245-060,2020-10-09 6:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
470,190917-19245-061,2020-10-09 6:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
471,190917-19245-066,2020-10-09 9:30,"['태웅 단조', None]"
472,190917-19245-067,2020-10-09 9:30,"['태웅 단조', None]"
473,190917-19245-090,2020-10-09 9:30,"['태웅 단조', None]"
474,190917-19245-029,2020-10-09 10:30,"['태웅 단조 2EA', '태웅 단조']"
475,190917-19245-031,2020-10-09 10:30,"['태웅 단조', '태웅 단조']"
476,190917-19245-028,2020-10-14 4:00,"['태웅 단조', None]"
477,190820-19151-005,2020-10-15 2:30,"['태웅 단조', '태웅 단조']"
478,190820-19151-006,2020-10-15 2:30,"['태웅 단조', '태웅 단조']"
479,180607-19217-148,2020-10-15 13:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
480,190927-15133-001,2020-10-15 13:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
481,180607-19217-160,2020-10-15 17:30,"['태웅 단조 2EA', '태웅 단조 1EA']"
482,190922-19004-003,2020-10-16 2:10,"['태웅 단조', None]"
483,190922-19004-004,2020-10-16 2:10,"['태웅 단조', None]"
484,190927-19895-001,2020-10-16 4:10,"['태웅 단조', '태웅 단조']"
485,190919-19581-001,2020-10-16 5:50,"['태웅 단조', '태웅 단조']"
486,190212-14730-039,2020-10-16 6:10,"['태상 미음', '태상 미음']"
487,190626-14730-043,2020-10-16 6:10,"['태상 미음', None]"
488,190626-14730-044,2020-10-16 6:10,"['태상 미음', None]"
489,190724-19194-002,2020-10-16 7:30,"['태웅 단조', None]"
490,190927-15198-001,2020-10-16 7:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
491,190908-15198-001,2020-10-16 7:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
492,190927-15198-006,2020-10-16 7:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
493,190925-11091-001,2020-10-16 9:30,"['태웅 단조', None]"
494,190925-11091-003,2020-10-16 12:30,"['태웅 단조', '태웅 단조']"
495,190717-12005-001,2020-10-16 17:30,"['태웅 단조 2EA', '태웅 단조']"
496,190907-14072-005,2020-10-16 18:50,"['태웅 단조', '태웅 단조 2EA']"
497,190906-14072-002,2020-10-16 18:50,"['태웅 단조', '태웅 단조 2EA']"
498,190906-14072-003,2020-10-16 18:50,"['태웅 단조', '태웅 단조 2EA']"
499,190906-14072-001,2020-10-17 7:50,"['태웅 단조', '태웅 단조']"
500,190610-17035-001,2020-10-17 8:10,"['태웅 단조', '태웅 단조']"
501,190531-12005-003,2020-10-17 8:10,"['태웅 단조', None]"
502,190925-19949-001,2020-10-17 11:20,"['태웅 단조 3EA', '태웅 단조 3EA']"
503,190926-19041-001,2020-10-17 12:40,"['태웅 단조', None]"
504,190424-15111-008,2020-10-17 13:50,"['태웅 단조', '태웅 단조']"
505,190826-19191-001,2020-10-17 16:20,"['태웅 단조 3EA', '태웅 단조']"
506,190925-19041-001,2020-10-17 16:40,"['태웅 단조', '태웅 단조']"
507,190925-19041-002,2020-10-17 16:40,"['태웅 단조', '태웅 단조']"
508,190723-12005-003,2020-10-18 1:00,"['태웅 단조', '태웅 단조']"
509,190918-12321-002,2020-10-21 7:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
510,190918-12321-007,2020-10-21 7:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
511,190901-15133-006,2020-10-21 7:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
512,191003-12321-001,2020-10-21 7:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
513,190905-19558-001,2020-10-21 11:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
514,190923-12321-001,2020-10-21 11:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
515,190927-19172-001,2020-10-21 11:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
516,191007-19558-001,2020-10-21 11:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
517,191007-19558-002,2020-10-21 11:30,"['태웅 단조 2EA', '태웅 단조 2EA']"
518,180714-15088-006,2020-10-21 12:30,"['태웅 단조 2EA', '태웅 단조']"
519,180714-15088-007,2020-10-21 12:30,"['태웅 단조 2EA', '태웅 단조']"
520,190919-15226-027,2020-10-21 13:30,"['태웅 단조', '태웅 단조']"
521,180903-12339-009,2020-10-21 18:30,"['태웅 단조 2EA', '태웅 단조']"
522,190907-14173-010,2020-10-21 23:10,"['태상 미음', '태상 미음']"
523,190907-14173-011,2020-10-21 23:10,"['태상 미음', '태상 미음']"
524,190916-19157-001,2020-10-21 23:10,"['태웅 단조', '태웅 단조']"
525,190916-19157-003,2020-10-21 23:10,"['태웅 단조', '태웅 단조']"
526,190916-19157-005,2020-10-21 23:10,"['태웅 단조', '태웅 단조']"
527,190907-15007-030,2020-10-21 23:10,"['태웅 단조', None]"
528,190916-19157-007,2020-10-21 23:10,"['태웅 단조', None]"
529,190907-14173-012,2020-10-22 1:10,"['태상 미음', None]"
530,190925-11091-002,2020-10-22 5:10,"['태웅 단조', '태웅 단조']"
531,190917-15006-002,2020-10-22 21:50,"['태웅 단조', None]"
532,190917-15006-002,2020-10-22 23:10,"['태웅 단조', None]"
533,190908-79930-001,2020-10-23 2:50,"['태웅 단조', '태웅 단조']"
534,190908-79930-001,2020-10-23 4:10,"['태웅 단조', '태웅 단조']"
535,190807-12321-011,2020-10-23 11:10,"['태웅 단조', None]"
536,190918-12321-001,2020-10-23 19:10,"['태웅 단조', '태웅 단조']"
537,190918-12321-006,2020-10-23 19:10,"['태웅 단조', '태웅 단조']"
538,180607-19217-156,2020-10-23 21:50,"[None, None]"
539,180607-19217-158,2020-10-23 21:50,"[None, None]"
540,180607-19217-163,2020-10-24 1:50,"[None, None]"
541,181001-14017-018,2020-10-24 21:50,"['태웅 단조', '태웅 단조']"
542,191001-19195-001,2020-10-24 22:50,"['태상 미음', '태상 미음']"
543,190724-19194-001,2020-10-25 0:30,"['태웅 단조', '태웅 단조']"
544,191001-19800-001,2020-10-28 14:30,"['태웅 단조', '태웅 단조']"
545,191001-19800-003,2020-10-28 14:30,"['태웅 단조', '태웅 단조']"
546,191001-19800-013,2020-10-28 14:30,"['태웅 단조', '태웅 단조']"
547,191001-19800-015,2020-10-28 14:30,"['태웅 단조', '태웅 단조']"
548,190716-15088-001,2020-10-28 17:10,"['태웅 단조', '태상 미음']"
549,190716-15088-002,2020-10-28 17:10,"['태웅 단조', '태상 미음']"
550,190826-01258-007,2020-10-28 19:10,"['태상 미음', '태상 미음']"
551,190826-01258-009,2020-10-28 19:10,"['태상 미음', '태상 미음']"
552,190826-01258-006,2020-10-28 19:10,"['태상 미음', None]"
553,190826-01258-008,2020-10-28 19:10,"['태상 미음', None]"
554,190907-14072-002,2020-10-28 21:10,"['태웅 단조', '태웅 단조']"
555,190723-12005-011,2020-10-29 3:30,"['태웅 단조', '태웅 단조']"
556,190919-15226-044,2020-10-29 22:50,"['태웅 단조', '태웅 단조']"
557,180607-19217-159,2020-10-30 22:10,"['태웅 단조', '태웅 단조']"
558,180607-19217-162,2020-10-30 22:10,"['태웅 단조', '태웅 단조']"
559,180607-19217-165,2020-10-30 22:10,"['태웅 단조', '태웅 단조']"
560,190531-12005-002,2020-10-30 23:30,"['태웅 단조', None]"
561,190917-15006-006,2020-10-31 1:50,"['태웅 단조', '태웅 단조']"
562,190211-19581-005,2020-10-31 2:30,"['태웅 단조', '태웅 단조']"
563,190813-99010-001,2020-10-31 3:30,"['태웅 단조', '태웅 단조']"
564,191015-KO483-001,2020-10-31 15:00,"['태상 미음', '태상 미음']"
565,191015-KO483-004,2020-10-31 15:00,"['태상 미음', '태상 미음']"
566,191004-15491-148,2020-10-31 18:20,"['태웅 단조', '태웅 단조']"
567,180903-12339-034,2020-10-31 20:30,"['태웅 단조', '태웅 단조']"
568,180903-12339-036,2020-10-31 20:30,"['태웅 단조', '태웅 단조']"
569,180903-12339-050,2020-10-31 20:30,"['태웅 단조', '태웅 단조']"
570,190927-KO483-004,2020-10-31 21:00,"['태상 미음', None]"
571,190927-KO483-003,2020-10-31 23:00,"['태상 미음', None]"
572,190907-14072-001,2020-11-01 0:30,"['태웅 단조', '태웅 단조']"
573,191001-19800-005,2020-11-04 19:50,"['태웅 단조', '태웅 단조']"
574,191001-19800-018,2020-11-04 19:50,"['태웅 단조', '태웅 단조']"
575,191016-12005-001,2020-11-04 19:50,"['태웅 단조', '태웅 단조']"
576,191016-12005-003,2020-11-04 19:50,"['태웅 단조', '태웅 단조']"
577,191017-12005-001,2020-11-04 19:50,"['태웅 단조', '태웅 단조']"
578,191001-19800-007,2020-11-04 20:50,"['태웅 단조', None]"
579,191020-12005-001,2020-11-05 2:30,"['태웅 단조', '태웅 단조']"
580,191024-12005-001,2020-11-05 4:30,"['태웅 단조', None]"
581,190330-15111-002,2020-11-05 5:10,"['태웅 단조', '태웅 단조']"
582,190919-12321-001,2020-11-05 6:50,"['태웅 단조', None]"
583,190626-14730-011,2020-11-05 20:50,"['태상 미음', '태상 미음']"
584,190626-14730-012,2020-11-05 20:50,"['태상 미음', '태상 미음']"
585,190626-14730-013,2020-11-05 20:50,"['태상 미음', '태상 미음']"
586,190626-14730-014,2020-11-05 20:50,"['태상 미음', '태상 미음']"
587,191015-19187-001,2020-11-06 8:50,"['태웅 단조', None]"
588,191010-15200-001,2020-11-06 9:30,"['태웅 단조', None]"
589,191016-77825-001,2020-11-06 10:50,"['태웅 단조', '태상 미음']"
590,190908-79930-001,2020-11-06 14:30,"['태웅 단조', '태웅 단조']"
591,190908-79930-001,2020-11-06 15:50,"['태웅 단조', '태웅 단조']"
592,180607-19217-168,2020-11-06 23:10,"['태웅 단조', '태웅 단조']"
593,181010-12339-014,2020-11-06 23:10,"['태웅 단조', None]"
594,180607-19217-166,2020-11-07 4:10,"['태웅 단조', None]"
595,190926-19581-001,2020-11-07 5:30,"['태웅 단조', '태웅 단조']"
596,190411-19581-007,2020-11-07 11:50,"['태웅 단조', None]"
597,190210-12005-005,2020-11-07 13:50,"['태웅 단조', '태웅 단조']"
598,190210-12005-006,2020-11-07 13:50,"['태웅 단조', '태웅 단조']"
599,190907-14072-001,2020-11-07 15:30,"['태웅 단조', '태웅 단조']"
600,191029-19976-008,2020-11-11 13:50,"['태웅 단조', None]"
601,180903-12339-049,2020-11-11 15:50,"['태웅 단조', None]"
602,191001-19227-002,2020-11-11 18:50,"['태웅 단조', '태웅 단조']"
603,191001-19581-001,2020-11-11 19:10,"['태웅 단조', None]"
604,181129-17035-001,2020-11-11 20:10,"['태웅 단조', '태웅 단조']"
605,190906-12005-002,2020-11-11 22:30,"['태웅 단조', '태웅 단조']"
606,190626-19503-016,2020-11-12 2:50,"['태웅 단조', '태웅 단조']"
607,191009-15133-011,2020-11-12 9:50,"['태웅 단조', '태웅 단조']"
608,191009-15133-012,2020-11-12 9:50,"['태웅 단조', '태웅 단조']"
609,191009-15133-017,2020-11-12 9:50,"['태웅 단조', '태웅 단조']"
610,191009-15133-018,2020-11-12 9:50,"['태웅 단조', '태웅 단조']"
611,190826-01258-002,2020-11-12 20:50,"['태상 미음', '태상 미음']"
612,190826-01258-005,2020-11-12 20:50,"['태상 미음', '태상 미음']"
613,190906-14173-007,2020-11-12 20:50,"['태상 미음', '태상 미음']"
614,190826-01258-003,2020-11-12 20:50,"['태상 미음', None]"
615,190219-19800-001,2020-11-13 9:50,"['태웅 단조', '태웅 단조']"
616,190219-19800-006,2020-11-13 9:50,"['태웅 단조', '태웅 단조']"
617,190219-19800-016,2020-11-13 9:50,"['태웅 단조', '태웅 단조']"
618,190219-19800-022,2020-11-13 9:50,"['태웅 단조', None]"
619,191004-15107-001,2020-11-13 12:10,"['태웅 단조', '태웅 단조']"
620,191018-12005-001,2020-11-13 16:10,"['태웅 단조 2EA', '태웅 단조 2EA']"
621,190423-12339-003,2020-11-13 16:10,"['태웅 단조 2EA', '태웅 단조 2EA']"
622,190917-15006-005,2020-11-13 20:50,"['태웅 단조', '태웅 단조']"
623,191010-15200-002,2020-11-14 1:50,"['태웅 단조', None]"
624,191001-19227-002,2020-11-14 3:10,"['태웅 단조 2EA', '태웅 단조']"
625,190930-19503-001,2020-11-14 19:30,"['태웅 단조', '태웅 단조 1EA']"
626,191030-70021-006,2020-11-14 19:30,"['태웅 단조', '태웅 단조 1EA']"
627,191030-70021-007,2020-11-14 19:30,"['태웅 단조', '태웅 단조 1EA']"
628,191017-77814-001,2020-11-14 20:10,"['태상 미음', '태상 미음']"
629,191017-77814-002,2020-11-14 20:10,"['태상 미음', '태상 미음']"
630,190917-15006-005,2020-11-14 21:30,"['태웅 단조', '태웅 단조']"
631,191010-11091-001,2020-11-18 7:50,"['태웅 단조', None]"
632,191025-11091-003,2020-11-18 9:30,"['태웅 단조', None]"
633,191031-11091-003,2020-11-18 9:30,"['태웅 단조', None]"
634,191031-11091-002,2020-11-18 10:30,"['태웅 단조', '태웅 단조']"
635,191025-11091-002,2020-11-18 11:50,"['태웅 단조', '태웅 단조']"
636,191011-79930-001,2020-11-18 14:00,"['태웅 단조', '태상 미음']"
637,191031-11091-004,2020-11-19 1:00,"['태웅 단조', '태웅 단조']"
638,191025-11091-004,2020-11-19 1:00,"['태웅 단조', '태웅 단조']"
639,191031-11091-005,2020-11-19 13:50,"['태웅 단조', None]"
640,191031-11091-005,2020-11-19 15:10,"['태웅 단조', None]"
641,190410-15111-001,2020-11-19 15:50,"['태웅 단조', '태웅 단조']"
642,190410-15111-001,2020-11-19 17:10,"['태웅 단조', '태웅 단조']"
643,191028-19041-001,2020-11-20 5:30,"['태웅 단조', '태웅 단조']"
644,191028-19041-002,2020-11-20 5:30,"['태웅 단조', '태웅 단조']"
645,191015-15231-001,2020-11-20 9:50,"['태웅 단조', None]"
646,191025-19581-001,2020-11-20 15:10,"['태웅 단조', None]"
647,191025-19581-002,2020-11-20 15:10,"['태웅 단조', None]"
648,190930-17035-001,2020-11-21 4:30,"['태웅 단조', '태웅 단조']"
649,190930-17035-002,2020-11-21 4:30,"['태웅 단조', '태웅 단조']"
650,190212-14730-054,2020-11-21 5:30,"['태상 미음', '태상 미음']"
651,190212-14730-055,2020-11-21 5:30,"['태상 미음', '태상 미음']"
652,190212-14730-078,2020-11-21 5:30,"['태상 미음', '태상 미음']"
653,191025-98752-001,2020-11-21 6:10,"['태웅 단조', '태웅 단조']"
654,190626-14730-054,2020-11-21 6:30,"['태상 미음', None]"
655,190626-14730-055,2020-11-21 6:30,"['태상 미음', None]"
656,191001-19800-026,2020-11-21 7:50,"['태웅 단조', '태웅 단조']"
657,191001-19800-028,2020-11-21 7:50,"['태웅 단조', '태웅 단조']"
658,191001-19800-020,2020-11-21 12:50,"['태웅 단조', None]"
659,190907-14072-002,2020-11-21 20:50,"['태웅 단조', '태웅 단조']"
660,190907-14072-003,2020-11-21 20:50,"['태웅 단조', '태웅 단조']"
661,191017-12005-010,2020-11-25 13:10,"['태웅 단조 2EA', '태웅 단조 2EA']"
662,191017-12005-019,2020-11-25 13:10,"['태웅 단조 2EA', '태웅 단조 2EA']"
663,190626-19503-017,2020-11-25 14:30,"['태웅 단조', None]"
664,191029-19798-001,2020-11-25 15:50,"['태웅 단조', '태상 미음 1EA']"
665,191029-19798-002,2020-11-25 15:50,"['태웅 단조', '태상 미음 1EA']"
666,191029-19798-003,2020-11-25 15:50,"['태웅 단조', '태상 미음 1EA']"
667,191029-19798-004,2020-11-25 15:50,"['태웅 단조', '태상 미음 1EA']"
668,180903-12339-035,2020-11-25 15:50,"['태웅 단조', '태상 미음 1EA']"
669,191010-11091-002,2020-11-25 21:10,"['태웅 단조 2EA', '태웅 단조']"
670,190410-15111-002,2020-11-25 22:30,"['태웅 단조', '태웅 단조']"
671,190410-15111-003,2020-11-26 1:50,"['태웅 단조', '태웅 단조']"
672,190906-14173-009,2020-11-26 3:10,"['태상 미음', '태상 미음']"
673,190906-14173-010,2020-11-26 3:10,"['태상 미음', '태상 미음']"
674,190826-01258-001,2020-11-26 3:10,"['태상 미음', None]"
675,190906-14173-008,2020-11-26 3:10,"['태상 미음', None]"
676,190910-15198-001,2020-11-26 6:50,"['태웅 단조', None]"
677,191025-19151-001,2020-11-26 16:10,"['태웅 단조', '태웅 단조']"
678,190226-15088-006,2020-11-26 16:50,"['태웅 단조', '태웅 단조']"
679,190906-14173-003,2020-11-27 1:30,"['태상 미음', None]"
680,190906-14173-004,2020-11-27 1:30,"['태상 미음', None]"
681,190906-14173-001,2020-11-27 1:30,"['태상 미음', None]"
682,190906-14173-002,2020-11-27 1:30,"['태상 미음', None]"
683,191003-12321-002,2020-11-27 5:10,"['태웅 단조', '태상 미음 1EA']"
684,191003-12321-008,2020-11-27 5:10,"['태웅 단조', '태상 미음 1EA']"
685,191109-15198-001,2020-11-27 5:10,"['태웅 단조', '태상 미음 1EA']"
686,190906-14173-005,2020-11-27 5:30,"['태상 미음', '태상 미음']"
687,190906-14173-006,2020-11-27 5:30,"['태상 미음', '태상 미음']"
688,191025-70021-007,2020-11-27 7:50,"['태웅 단조', None]"
689,191025-70021-005,2020-11-27 9:50,"['태웅 단조', '태웅 단조']"
690,191025-70021-006,2020-11-27 9:50,"['태웅 단조', '태웅 단조']"
691,191020-12005-003,2020-11-27 15:10,"['태웅 단조', '태웅 단조']"
692,190712-12005-011,2020-11-27 19:30,"['태웅 단조', '태웅 단조']"
693,190712-12005-019,2020-11-27 19:30,"['태웅 단조', '태웅 단조']"
694,190212-14730-012,2020-11-28 2:30,"['태상 미음', '태상 미음']"
695,190212-14730-025,2020-11-28 2:30,"['태상 미음', '태상 미음']"
696,190212-14730-052,2020-11-28 2:30,"['태상 미음', '태상 미음']"
697,190212-14730-033,2020-11-28 2:30,"['태상 미음', None]"
698,190212-14730-034,2020-11-28 2:30,"['태상 미음', None]"
699,190603-17035-003,2020-11-28 8:50,"['태웅 단조', '태웅 단조']"
700,190619-12005-001,2020-11-28 8:50,"['태웅 단조', None]"
701,190817-15111-001,2020-11-29 3:30,"['태웅 단조', '태웅 단조']"
702,190907-14173-006,2020-12-02 11:20,"['태상 미음', '태상 미음']"
703,190907-14173-007,2020-12-02 11:20,"['태상 미음', '태상 미음']"
704,190907-14173-008,2020-12-02 11:20,"['태상 미음', '태상 미음']"
705,190907-14173-009,2020-12-02 12:20,"['태상 미음', None]"
706,190901-KO483-001,2020-12-03 1:00,"['태상 미음', None]"
707,190826-01258-004,2020-12-03 2:20,"['태상 미음', None]"
708,191107-77564-001,2020-12-03 3:00,"['태상 미음', '태상 미음']"
709,190906-14173-011,2020-12-03 4:20,"['태상 미음', '태상 미음']"
710,190906-14173-012,2020-12-03 4:20,"['태상 미음', '태상 미음']"
711,190907-14072-004,2020-12-04 1:50,"['태웅 단조', '태웅 단조']"
712,190907-14173-003,2020-12-04 2:50,"['태상 미음', None]"
713,190907-14173-004,2020-12-04 2:50,"['태상 미음', None]"
714,190907-14173-001,2020-12-04 2:50,"['태상 미음', None]"
715,190907-14173-002,2020-12-04 2:50,"['태상 미음', None]"
716,191101-19581-001,2020-12-04 4:50,"['태웅 단조', '태웅 단조']"
717,190907-14173-005,2020-12-04 6:50,"['태상 미음', '태상 미음']"
718,190214-14730-020,2020-12-04 6:50,"['태상 미음', '태상 미음']"
719,191029-19929-001,2020-12-04 16:10,"['태웅 단조', '태웅 단조']"
720,191029-19929-002,2020-12-04 16:10,"['태웅 단조', '태웅 단조']"
721,191029-17035-001,2020-12-05 0:50,"['태웅 단조', '태웅 단조']"
722,191029-17035-002,2020-12-05 0:50,"['태웅 단조', '태웅 단조']"
723,191003-19217-010,2020-12-05 2:50,"['태웅 단조', None]"
724,191106-KO483-001,2020-12-05 12:30,"['태상 미음', '태상 미음']"
725,191106-KO483-002,2020-12-05 12:30,"['태상 미음', '태상 미음']"
