,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
55,hold,,0,,,,,,,7.0,4,,,,,,2020-01-09 15:52:00,1262.2,,,,,2020-01-09 15:55:00,1255.5,,,1258.025,
56,open,,0,,,,,,,3.5,4,,,,,,2020-01-09 15:55:00,1255.5,,,,,2020-01-09 15:58:00,1058.1,,,,
57,reheat,,0,,,,,,,35.0,4,,,,0,,2020-01-09 15:58:00,1058.1,,,,,2020-01-09 16:07:00,,,,,
58,hold,,0,,,,,,,3.5,4,,,,,,2020-01-09 16:07:00,1264.4,,,,,2020-01-09 16:08:00,1264.3,,,1264.35,
59,open,,0,,,,,,,14.0,4,,,,,,2020-01-09 16:08:00,1264.3,,,,,2020-01-09 16:16:00,1057.7,,,,
60,reheat,,0,,,,,,,29.800000000745058,4,,,,0,,2020-01-09 16:16:00,1057.7,,,,,2020-01-09 16:24:00,,,,,
61,open,,0,,,,,,,77.39999999850988,4,,,,,,2020-01-09 16:25:00,1261.5,,,,,2020-01-09 16:55:00,1052.0,,,,
62,reheat,,0,,,,,,,54.5,4,,,,0,,2020-01-09 16:55:00,1052.0,,,,,2020-01-09 17:12:00,,,,,
63,hold,,0,,,,,,,88.30000000074506,4,,,,,,2020-01-09 17:12:00,1252.2,,,,,2020-01-09 17:52:00,1258.4,,,1251.5756097560975,
64,open,,0,,,,,,,14.199999999254942,4,,,,,,2020-01-09 17:52:00,1258.4,,,,,2020-01-09 18:01:00,1030.3,,,,
65,reheat,,0,,,,,,,31.800000000745058,4,,,,0,,2020-01-09 18:01:00,1030.3,,,,,2020-01-09 18:09:00,,,,,
66,open,,0,,,,,,,15.900000000372529,4,,,,,,2020-01-09 18:10:00,1266.0,,,,,2020-01-09 18:19:00,981.9,,,,
67,reheat,,0,,,,,,,36.90000000037253,4,,,,0,,2020-01-09 18:19:00,981.9,,,,,2020-01-09 18:27:00,,,,,
68,heat,5,0,76.44970414201183,,,increasing 0,645.9999999999999,8.45,2646.89999999851,4,1254.1,0,0,11,"['190905-19234-053', '190905-19234-053', '191228-19365-001', '191228-19365-001', '191228-19365-001', '191228-19365-001', '191228-19365-001', '191228-19365-001', '190905-19234-052', '190905-19234-052']",2020-01-09 22:04:00,608.1,2020-01-09 21:56:00,589.0,2020-01-09 18:44:00,,2020-01-10 06:31:00,1254.1,,0,,
69,open,,0,,,,,,,0.0,4,,,,,,2020-01-10 22:58:00,1272.6,,,,,2020-01-10 23:00:00,1082.9,,,,
70,reheat,,0,,,,,,,33.90000000037253,4,,,,0,,2020-01-10 23:00:00,1082.9,,,,,2020-01-10 23:09:00,,,,,
71,open,,0,,,,,,,5.299999998882413,4,,,,,,2020-01-10 23:10:00,1285.8,,,,,2020-01-10 23:14:00,1103.9,,,,
72,reheat,,0,,,,,,,60.600000001490116,4,,,,0,,2020-01-10 23:14:00,1103.9,,,,,2020-01-10 23:32:00,,,,,
73,hold,,0,,,,,,,578.2999999988824,4,,,,,,2020-01-10 23:32:00,1275.4,,,,,2020-01-11 03:59:00,1273.8,,,1271.2294776119404,
74,open,,0,,,,,,,3.599999999627471,4,,,,,,2020-01-11 03:59:00,1273.8,,,,,2020-01-11 04:03:00,1111.6,,,,
75,reheat,,0,,,,,,,30.700000001117587,4,,,,0,,2020-01-11 04:03:00,1111.6,,,,,2020-01-11 04:11:00,,,,,
76,open,,0,,,,,,,5.5,4,,,,,,2020-01-11 04:14:00,1286.7,,,,,2020-01-11 04:18:00,1105.7,,,,
77,reheat,,0,,,,,,,27.0,4,,,,2,,2020-01-11 04:18:00,1105.7,,,,,2020-01-11 04:25:00,,,,,
78,open,,0,,,,,,,9.0,4,,,,,,2020-01-11 04:31:00,1282.3,,,,,2020-01-11 04:37:00,1093.8,,,,
79,reheat,,0,,,,,,,34.29999999888241,4,,,,1,,2020-01-11 04:37:00,1093.8,,,,,2020-01-11 04:46:00,,,,,
80,open,,0,,,,,,,1.800000000745058,4,,,,,,2020-01-11 04:48:00,1290.2,,,,,2020-01-11 04:50:00,1072.3,,,,
81,reheat,,0,,,,,,,34.29999999888241,4,,,,1,,2020-01-11 04:50:00,1072.3,,,,,2020-01-11 04:59:00,,,,,
82,hold,,0,,,,,,,9.0,4,,,,,,2020-01-11 04:59:00,1291.2,,,,,2020-01-11 05:01:00,1288.0,,,1286.6333333333334,
83,open,,0,,,,,,,0.0,4,,,,,,2020-01-11 05:01:00,1288.0,,,,,2020-01-11 05:03:00,1074.9,,,,
84,reheat,,0,,,,,,,36.0,4,,,,1,,2020-01-11 05:03:00,1074.9,,,,,2020-01-11 05:12:00,,,,,
85,open,,0,,,,,,,1.800000000745058,4,,,,,,2020-01-11 05:14:00,1285.6,,,,,2020-01-11 05:16:00,1069.4,,,,
86,reheat,,0,,,,,,,41.40000000037253,4,,,,3,,2020-01-11 05:16:00,1069.4,,,,,2020-01-11 05:27:00,,,,,
87,open,,0,,,,,,,3.700000001117587,4,,,,,,2020-01-11 05:30:00,1287.5,,,,,2020-01-11 05:33:00,1047.0,,,,
88,reheat,,0,,,,,,,37.79999999888241,4,,,,2,,2020-01-11 05:33:00,1047.0,,,,,2020-01-11 05:42:00,,,,,
