순번,프레스명,작업일자,주/야간,수주번호,시리얼번호,할당가열로,장입가열로,수주치수,사내재질,단조작업내역,비고,강종,수량,투입중량,투입수량,원단위가스량
22,P8,2020-01-02,주간,191224-19226-002,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017","16,14",가열로16호기,3672.00 X 3318.00 X 125.00,S355NL,"1103*450*400
20/20/20",Φ600 R/B,CARBON,0,2462,17,65.95
23,P8,2020-01-02,주간,191224-19226-003,001,"16,14",가열로14호기,3666.00 X 3348.00 X 85.00,S355NL,"1020*450*385
25/25/37(시)",Φ600 R/B,CARBON,0,1830,1,9.75
24,P8,2020-01-02,주간,191224-19226-003,"002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017","16,14",가열로14호기,3666.00 X 3348.00 X 85.00,S355NL,"1003*450*380
25/25/30",Φ600 R/B,CARBON,0,1830,16,9.75
25,P8,2020-01-02,주간,191216-19168-004,"010,011,012","16,14",가열로14호기,4556.00 X 4000.00 X 110.00,TW S355,"1368*450*465
32/32/36",SLAB,CARBON,0,4775,3,25.45
26,P8,2020-01-02,주간,191017-19702-007,001,"16,14",가열로14호기,1310.00 X 810.00 X 736.00,TW S25C,"1168*450*815
35/35/35",히트확인,CARBON,0,5607,1,29.88
27,P8,2020-01-02,주간,190812-19968-004,001,"16,14",가열로14호기,2370.00 X 2050.00 X 425.00,TW S25C,"1262*450*555
30/30/30",히트확인,CARBON,0,4712,1,25.11
28,P8,2020-01-02,야간,191017-19226-018,001,"15,12",가열로15호기,4529.00 X 4189.00 X 125.00,S355NL,"1194*450*465
30/30/37(시)",절단완료,CARBON,0,3225,1,85.04
29,P8,2020-01-02,야간,191017-19226-018,"002,003","15,12",가열로15호기,4529.00 X 4189.00 X 125.00,S355NL,"1184*450*440
30/30/25",절단완료,CARBON,0,3225,2,85.04
30,P8,2020-01-02,야간,191205-19234-006,001,"15,12",가열로12호기,4975.00 X 4567.00 X 125.00,S355NL,"1260*450*535
35/35/37(시)",SLAB,CARBON,0,4359,1,101.18
31,P8,2020-01-02,야간,191205-19234-006,"002,003,004,005,006,007,008,009,010","15,12",가열로12호기,4975.00 X 4567.00 X 125.00,S355NL,"1246*450*525
35/35/30",SLAB,CARBON,0,4359,9,101.18
32,P8,2020-01-02,야간,191205-19234-007,"006,007,008,009,010","15,12",가열로15호기,4975.00 X 4567.00 X 125.00,S355NL,"1246*450*525
35/35/30",SLAB,CARBON,0,4359,5,114.94
33,P8,2020-01-02,야간,191122-19234-018,"003,004","15,12",가열로15호기,3929.00 X 3495.00 X 150.00,S355NL,"1279*450*450
30/30/25",SLAB,CARBON,0,3957,2,104.34
34,P8,2020-01-02,야간,191122-19234-019,"002,003,004","15,12",가열로15호기,3929.00 X 3495.00 X 150.00,S355NL,"1279*450*450
30/30/25",SLAB,CARBON,0,3957,3,104.34
35,P8,2020-01-02,야간,191121-19234-014,"001,002,003,004,005,006,007,008","15,12",가열로12호기,3929.00 X 3549.00 X 130.00,S355NL,"1178*450*435
30/30/25",Φ600 R/B,CARBON,0,3144,8,72.98
36,P8,2020-01-02,야간,191224-19226-008,001,"15,12",가열로15호기,3676.00 X 3282.00 X 135.00,S355NL,"1181*450*415
20/20/27(시)",Φ600 R/B,CARBON,0,2886,1,76.1
37,P8,2020-01-02,야간,191224-19226-008,"002,003","15,12",가열로15호기,3676.00 X 3282.00 X 135.00,S355NL,"1165*450*410
20/20/20",Φ600 R/B,CARBON,0,2886,2,76.1
38,P8,2020-01-02,야간,191203-15006-001,"001,002","15,12",가열로15호기,2106.00 X 1600.00 X 330.00,TW 350LF2,"1347*450*445
20/20/20",R/BLOOM,CARBON,0,4366,2,115.13
39,P15,2020-01-02,주간,191016-19175-001,1,"20,19,18,17",가열로17호기,"2844.80 X 0.00 X 2070.10
",SNCM431M1,투입완료  COG,17호기,,1,163859,1,137.26
40,P15,2020-01-02,주간,191216-19008-005,"1,2","20,19,18,17",가열로20호기,"2500.00 X 0.00 X 260.00
",A266MGr2,"400T  1차작업  높이 최대한 높게 쌓을 것
12/28 투입",,CARBON,2,12700,2,85.88
41,P15,2020-01-02,주간,191119-99010-007,2,"20,19,18,17",가열로19호기,"865SQ X 467SQ X 4456T
",A350LF2,700T 도면참고  절단완료,,CARBON,1,21000,1,82.25
42,P15,2020-01-02,주간,191118-19004-001,1,"20,19,18,17",가열로20호기,"1640.00 X 996.00 X 2367.00
",A266MGr2,"2,3차작업  60/940/150",,CARBON,1,36000,1,243.45
43,P15,2020-01-02,주간,190813-99010-001,"1,2","20,19,18,17",가열로19호기,"2500SQ X 1308SQ X 900T 
",SKT4,"단조수정  1차작업  12/28 투입
절단반에 보관중",,ALLOY,2,28000,2,109.67
44,P15,2020-01-02,주간,191209-19151-007,1,"20,19,18,17",가열로20호기,"1645.00 X 1503.00 X 2020.00
",F22,"1000 R/BLOOM  1차작업
12/28 주간예열(20호기),  12/28 야간절단
12/28 야간조 투입",,ALLOY,1,14250,1,96.37
45,P15,2020-01-02,주간,191209-19151-008,1,"20,19,18,17",가열로20호기,"1645.00 X 1503.00 X 2020.00
",F22,,,ALLOY,1,14250,1,96.37
46,P15,2020-01-02,주간,191121-19226-004,1,"20,19,18,17",가열로20호기,"4550.00 X 3750.00 X 175.00
",TWS355,400T  12/28 투입  불량 재제작,,CARBON,1,9340,1,63.16
47,P15,2020-01-02,주간,191206-19334-001,1,"20,19,18,17",가열로19호기,"1920.00 X 0.00 X 505.00
",SF490N,12/28 투입(절단반)  COG ,,CARBON,1,25100,1,98.31
48,P15,2020-01-02,주간,190520-19581-002,1,"20,19,18,17",가열로18호기,"676.00 X 0.00 X 7566.00
",SF490VM3,12/28 투입(절단반)   1/2 야간작업분,,CARBON,1,35100,1,139.95
49,P15,2020-01-02,주간,191019-15200-009,1,"20,19,18,17",가열로18호기,"4200.00 X 3800.00 X 381.00
",F304H,"12/28 투입(절단반)  COG  1,2차작업
가열시방 참고  T/TABLE에서 작업",,SUS 304,1,25000,1,99.68
50,P15,2020-01-02,주간,191019-15200-008,1,"20,19,18,17",가열로18호기,"4200.00 X 3800.00 X 380.00
",F304H,"12/28 투입(절단반)  COG  1,2차작업
가열시방 참고  T/TABLE에서 작업",,SUS 304,1,25000,1,99.68
51,P15,2020-01-02,주간,191019-15200-014,1,"20,19,18,17",가열로18호기,"1900.00 X 1311.60 X 552.00
",F304H,"12/28 투입(절단반)  COG  1,2차작업
가열시방 참고  T/TABLE에서 작업",,SUS 304,1,25000,1,99.68
52,P15,2020-01-02,주간,191019-15200-011,1,"20,19,18,17",가열로18호기,"4590.00 X 4200.00 X 390.00
",F304H,"12/28 투입(절단반)  COG  1,2차작업
가열시방 참고  T/TABLE에서 작업",,SUS 304,1,18100,1,72.17
53,P15,2020-01-02,야간,191019-15200-009,1,"18,13,06",가열로18호기,"4200.00 X 3800.00 X 381.00
",F304H,"3,4차작업(마무리)  COG",13호기,SUS 304,1,25000,1,19.71
54,P15,2020-01-02,야간,191019-15200-008,1,"18,13,06",가열로18호기,"4200.00 X 3800.00 X 380.00
",F304H,"3,4차작업(마무리)  COG",13호기,SUS 304,1,25000,1,19.71
55,P15,2020-01-02,야간,191019-15200-014,1,"18,13,06",가열로18호기,"1900.00 X 1311.60 X 552.00
",F304H,"3,4차작업(마무리)  COG",13호기,SUS 304,1,25000,1,19.71
56,P15,2020-01-02,야간,191019-15200-011,1,"18,13,06",가열로18호기,"4590.00 X 4200.00 X 390.00
",F304H,"3,4차작업(마무리)  COG",13호기,SUS 304,1,18100,1,14.27
57,P15,2020-01-02,야간,190520-19581-002,1,"18,13,06",가열로18호기,"676.00 X 0.00 X 7566.00
",SF490VM3,12/28 투입(절단반)   1/2 야간작업분,,CARBON,1,35100,1,27.67
58,P15,2020-01-02,야간,190813-99010-001,"1,2","18,13,06",가열로13호기,"2500SQ X 1308SQ X 900T 
",SKT4,단조수정  2차작업,,ALLOY,2,28000,2,186.55
59,P15,2020-01-02,야간,191212-99010-001,1,"18,13,06",가열로6호기,"SQ710 X 9350
",S45C,"1000 R/BLOOM  눕혀서 투입
700 M/BAR  12/28 투입 통째로 투입",6호기,CARBON,1,37000,1,192.75
60,P15,2020-01-02,야간,191206-99010-001,1,"18,13,06",가열로6호기,"800.00 X 0.00 X 6900.00
",S45C,"570 R/BLOOM  눕혀서 투입
180614-15111-010 제품 사용(절단반)
13호기 예열(12/28)  12/28 야간 절단",6호기,CARBON,1,30000,1,156.29
61,P15,2020-01-02,야간,가열로 다이,"1,2","18,13,06",가열로13호기,"SQ450 X 3600
",,압탕투입  12/28 투입  1/2 야간작업분,13호기,,2,18000,2,119.93
62,P5,2020-01-03,주간,"191025-19581-002
1/2차작업",001,"04,05",가열로4호기,"700.00 X 510.00 X 3320.00
",TW S360,S/N:001 시방서참고 R/TRUNK,"냉괴INGOT
1/2 입고예정",CARBON,1,10100,1,171
63,P5,2020-01-03,주간,191018-15200-007,001,"04,05",가열로4호기,"2150.00 X 0.00 X 142.00
",TW 350LF2,"50/35 S/N:001
2200 X 177  1차,2차작업","300T
SLAB",CARBON,1,5550,1,93.97
64,P5,2020-01-03,주간,191018-15200-008,001,"04,05",가열로4호기,"2150.00 X 0.00 X 142.00
",TW 350LF2,"50/35 S/N:001
2200 X 177  1차,2차작업","300T
SLAB",CARBON,1,5550,1,93.97
65,P5,2020-01-03,주간,191018-15200-009,001,"04,05",가열로4호기,"2150.00 X 0.00 X 142.00
",TW 350LF2,"50/35 S/N:001
2200 X 177  1차,2차작업","300T
SLAB",CARBON,1,5550,1,93.97
66,P5,2020-01-03,주간,191018-15200-010,001,"04,05",가열로4호기,"2150.00 X 0.00 X 142.00
",TW 350LF2,"50/35 S/N:001
2200 X 177  1차,2차작업","300T
SLAB",CARBON,1,5550,1,93.97
67,P5,2020-01-03,주간,191111-12005-001,"001,002","04,05",가열로5호기,"1200.00 X 620.00 X 940.00
",TW SF490V,"60/170/60 S/N:001-002  단조비 확보.
1260 X 450 X 1000   UT불량주의.","￠1000R/B
히트확인",CARBON,2,9030,2,121.05
68,P5,2020-01-03,주간,191224-19226-010,"001,002,003,004,005,006,007","04,05",가열로5호기,"3980.00 X 3320.00 X 155.00
",S355NL,"25/25/20 S/N:001-007
1480*450*460","R/BLOOM
￠800",CARBON,7,5970,7,80.03
69,P5,2020-01-03,야간,"191025-19581-002
2/2차작업",001,"01,03",가열로3호기,"700.00 X 510.00 X 3320.00
",TW S360,S/N:001 시방서참고 R/TRUNK,"1/3 P5주
1차작업분",CARBON,1,10100,1,245.15
70,P5,2020-01-03,야간,191209-19151-003,001,"01,03",가열로3호기,"1745.00 X 1218.00 X 663.00
",TW F22,"35/60/50 S/N:001
1400*500*770","열처리예열
1000 R/B",ALLOY,1,8600,1,208.74
71,P5,2020-01-03,야간,191209-19151-017,001,"01,03",가열로3호기,"1855.00 X 1329.00 X 703.00
",TW F22,"35/60/50 S/N:001
1445*500*810","열처리예열
1000 R/B",ALLOY,1,9730,1,236.17
72,P5,2020-01-03,야간,190613-12321-005,001,"01,03",가열로3호기,"530.00 X 0.00 X 4696.00
",TW S45SU,"S/N:001 시방서참고 R/STOCK
1차,2차작업","열처리예열
1000 R/B",CARBON,1,9210,1,223.55
73,P5,2020-01-03,야간,190812-19968-003,001,"01,03",가열로3호기,"1670.00 X 1160.00 X 770.00
",TW S45SU,"45/45/45 S/N:001
1366*500*865  1800T까지 쌓을것.","열처리예열
히트확인",CARBON,1,9130,1,221.6
74,P5,2020-01-03,야간,191211-12500-004,001,"01,03",가열로3호기,"2914.00 X 2026.00 X 198.00
",TW S45SU,"20/20/20 S/N:001
1698*450*375","열처리예열
히트확인",CARBON,1,6570,1,159.47
75,P5,2020-01-03,야간,191211-12500-009,001,"01,03",가열로3호기,"2088.00 X 1261.00 X 253.00
",TW S45SU,"25/25/25 S/N:001
1598*450*350","열처리예열
히트확인",CARBON,1,5390,1,130.83
76,P5,2020-01-03,야간,191224-19226-010,"008,009,010,011,012,013","01,03",가열로1호기,"3980.00 X 3320.00 X 155.00
",S355NL,"25/25/20 S/N:008-013
1480*450*460","R/BLOOM
￠800",CARBON,6,5970,6,82.03
77,P5,2020-01-03,야간,가열로다이,"001,002","01,03",가열로1호기,"SQ(450 X 450 X 3000)
",C-STEEL,P5사용,"R/B 테일부
및 압탕",,2,5000,2,68.7
78,P8,2020-01-03,주간,191224-19226-004,001,"16,14",가열로16호기,3927.00 X 3537.00 X 140.00,S355NL,"1209*450*440
25/25/27(시)",Φ600 R/B,CARBON,0,3240,1,51.27
79,P8,2020-01-03,주간,191224-19226-004,"002,003,004,005,006","16,14",가열로16호기,3927.00 X 3537.00 X 140.00,S355NL,"1193*450*435
25/25/20",Φ600 R/B,CARBON,0,3240,5,51.27
80,P8,2020-01-03,주간,191224-19226-005,"001,002,003,004,005,006,007,008,009,010,011,012,013,007","16,14",가열로16호기,3672.00 X 3318.00 X 125.00,S355NL,"1103*450*400
20/20/20",Φ600 R/B,CARBON,0,2462,13,38.96
81,P8,2020-01-03,주간,191224-19226-006,001,"16,14",가열로14호기,3666.00 X 3348.00 X 85.00,S355NL,"1020*450*385
25/25/37(시)",Φ600 R/B,CARBON,0,1830,1,38.69
82,P8,2020-01-03,주간,191224-19226-006,"002,003,004,005,006,007,008,009,010,011,012,013,014,015","16,14",가열로14호기,3666.00 X 3348.00 X 85.00,S355NL,"1003*450*380
25/25/30",Φ600 R/B,CARBON,0,1830,14,38.69
83,P8,2020-01-03,주간,191224-19226-008,"004,005,006,007,008,009,010,011,012,013","16,14",가열로14호기,3676.00 X 3282.00 X 135.00,S355NL,"1165*450*410
20/20/20",Φ600 R/B,CARBON,0,2886,10,61.02
84,P8,2020-01-03,주간,191224-19226-009,"001,002,003,004,005","16,14",가열로16호기,3666.00 X 3296.00 X 95.00,S355NL,"1138*450*355
25/25/35",Φ600 R/B,CARBON,0,2343,5,37.07
85,P8,2020-01-03,주간,"191025-19234-061
<긴급 재제작>REV.2",001,"16,14",가열로14호기,4421.00 X 4043.00 X 110.00,S355NL,"1164*450*470
30/30/35",Φ600 R/B,CARBON,0,3314,1,70.07
86,P8,2020-01-03,주간,191114-15133-008,001,"16,14",가열로14호기,1488.30 X 955.00 X 589.90,TW 350LF2,"1273*450*670
40/40/40",히트확인,CARBON,0,5819,1,123.04
87,P8,2020-01-03,야간,191017-19226-024,001,"15,12",가열로15호기,4529.00 X 4189.00 X 125.00,S355NL,"1194*450*465
30/30/37(시)",Φ600 R/B,CARBON,0,3225,1,61.84
88,P8,2020-01-03,야간,191017-19226-024,"002,003","15,12",가열로15호기,4529.00 X 4189.00 X 125.00,S355NL,"1184*450*440
30/30/25",Φ600 R/B,CARBON,0,3225,2,61.84
89,P8,2020-01-03,야간,191205-19234-008,"001,002,003","15,12",가열로12호기,3268.00 X 3010.00 X 400.00,S355NL,"1282*450*570
25/25/25","R/BLOOM
절단완료",CARBON,0,5067,3,101.47
90,P8,2020-01-03,야간,191205-19234-009,"001,002,003","15,12",가열로12호기,3919.00 X 3529.00 X 95.00,S355NL,"1126*450*415
30/30/35","R/BLOOM
절단완료",CARBON,0,2686,3,53.79
91,P8,2020-01-03,야간,191205-19234-010,"001,002","15,12",가열로12호기,3919.00 X 3529.00 X 95.00,S355NL,"1126*450*415
30/30/35","R/BLOOM
절단완료",CARBON,0,2686,2,53.79
92,P8,2020-01-03,야간,191224-19226-008,"014,015,016,017,018,019,020,021,022,023","15,12",가열로15호기,3676.00 X 3282.00 X 135.00,S355NL,"1165*450*410
20/20/20",Φ600 R/B,CARBON,0,2886,10,55.34
93,P8,2020-01-03,야간,"191224-19226-009
REV.1","006,007,008,009,010,011,012,013,014,015","15,12",가열로12호기,3666.00 X 3296.00 X 95.00,S355NL,"1138*450*355
25/25/35",Φ600 R/B,CARBON,0,2343,10,46.92
94,P8,2020-01-03,야간,191122-19234-021,"001,002,003,004,005,006,007,008","15,12",가열로15호기,2316.00 X 2070.00 X 375.00,S355NL,"1121*450*475
20/20/20",Φ600 R/B,CARBON,0,3055,8,58.58
95,P8,2020-01-03,야간,"191211-12500-006
REV.1",001,"15,12",가열로15호기,1269.00 X 676.00 X 274.00,TW S45SU,"1304 X 500 X 309
35/176/35","열처리 예열
￠800R/B",CARBON,0,2763,1,52.98
96,P8,2020-01-03,야간,"191211-12500-001
REV.1",001,"15,12",가열로15호기,2034.00 X 1276.00 X 219.00,TW S45SU,"1496*450*315
20/20/20","열처리 예열
￠1000R/B",CARBON,0,3892,1,74.63
97,P15,2020-01-03,주간,191209-19151-007,1,"20,19,17",가열로20호기,"1645.00 X 1503.00 X 2020.00
",F22,2차작업  60/60/130,,ALLOY,1,14250,1,57.74
98,P15,2020-01-03,주간,191209-19151-008,1,"20,19,17",가열로20호기,"1645.00 X 1503.00 X 2020.00
",F22,2차작업  60/60/130,,ALLOY,1,14250,1,57.74
99,P15,2020-01-03,주간,191216-19008-005,"1,2","20,19,17",가열로20호기,"2500.00 X 0.00 X 260.00
",A266MGr2,2차작업  단조후 외경절단,,CARBON,2,12700,2,51.46
100,P15,2020-01-03,주간,191218-15200-003,1,"20,19,17",가열로17호기,"1988.00 X 0.00 X 265.00
",F11,"300T  1,2차작업 단조비 충분히 줄 것
12/28 투입(13호기)  1/2 주간조 예열
1/2 주간조 절단",,ALLOY,1,7990,1,107.67
101,P15,2020-01-03,주간,191218-15200-004,1,"20,19,17",가열로17호기,"1988.00 X 0.00 X 265.00
",F11,,,ALLOY,1,7990,1,107.67
102,P15,2020-01-03,주간,191218-15200-005,1,"20,19,17",가열로17호기,"2173.00 X 0.00 X 305.00
",F11,,,ALLOY,1,10980,1,147.97
103,P15,2020-01-03,주간,191218-15200-006,1,"20,19,17",가열로17호기,"2173.00 X 0.00 X 305.00
",F11,"300T  1,2차작업 단조비 충분히 줄 것
12/28 투입(13호기)  1/2 주간조 예열
1/2 주간조 절단",,ALLOY,1,10980,1,147.97
104,P15,2020-01-03,주간,191218-15200-007,1,"20,19,17",가열로17호기,"2173.00 X 0.00 X 305.00
",F11,,,ALLOY,1,10980,1,147.97
105,P15,2020-01-03,주간,191210-19004-001,1,"20,19,17",가열로20호기,"2650.00 X 1580.00 X 400.00
",A350LF2,700T  잔재사용  H/R,,CARBON,2,12950,1,52.47
106,P15,2020-01-03,주간,190905-19234-042,"1,2","20,19,17",가열로19호기,"6522.00 X 5342.00 X 201.00
",S355Mn,700T   1/3 야간작업분,,CARBON,2,25950,2,105.72
107,P15,2020-01-03,주간,191213-19415-002,1,"20,19,17",가열로19호기,"2819.40 X 0.00 X 38.10
",F304L,"190812-15008-034 불량품 사용
1,2차작업(마무리)  150톤 크레인장
1/3 야간작업분",,SUS 304,1,11800,1,48.07
108,P15,2020-01-03,주간,191008-12321-001,1,"20,19,17",가열로20호기,"425.00 X 0.00 X 6487.00
",A350LF2,"700T  잔재사용  1차작업  시방서 참고
작업후 절단반으로 이동",,CARBON,1,12950,1,52.47
109,P15,2020-01-03,야간,190905-19234-042,"1,2","19,18,06",가열로19호기,"6522.00 X 5342.00 X 201.00
",S355Mn,700T  투입완료  1차작업,,CARBON,2,25950,2,22.79
110,P15,2020-01-03,야간,191209-19151-007,1,"19,18,06",가열로19호기,"1645.00 X 1503.00 X 2020.00
",F22,1/4 주간작업분,,ALLOY,1,14250,1,12.51
111,P15,2020-01-03,야간,191209-19151-008,1,"19,18,06",가열로19호기,"1645.00 X 1503.00 X 2020.00
",F22,1/4 주간작업분,,ALLOY,1,14250,1,12.51
112,P15,2020-01-03,야간,191213-19415-002,1,"19,18,06",가열로19호기,"2819.40 X 0.00 X 38.10
",F304L,"190812-15008-034 불량품 사용
1,2차작업(마무리)  투입완료",,SUS 304,1,11800,1,10.36
113,P15,2020-01-03,야간,191225-19090-002,"5,6","19,18,06",가열로18호기,"5371.00 X 4510.00 X 194.00
",TWS355,700T  단조비 충분히 줄 것,,CARBON,2,14150,2,75.11
114,P15,2020-01-03,야간,191225-19090-003,"1,2,3","19,18,06",가열로18호기,"5371.00 X 4510.00 X 194.00
",TWS355,700T  단조비 충분히 줄 것,,CARBON,3,14150,3,75.11
115,P15,2020-01-03,야간,191218-15200-008,1,"19,18,06",가열로18호기,"2173.00 X 0.00 X 305.00
",F11,"300T  1,2차작업 단조비 충분히 줄 것
1/2 열처리 주간조 예열  1/2 야간조 절단",,ALLOY,1,10980,1,58.29
116,P15,2020-01-03,야간,191218-15200-009,1,"19,18,06",가열로18호기,"2173.00 X 0.00 X 307.00
",F11,"300T  1,2차작업 단조비 충분히 줄 것
1/2 열처리 주간조 예열  1/2 야간조 절단",,ALLOY,1,11045,1,58.63
117,P15,2020-01-03,야간,191206-19334-001,1,"19,18,06",가열로18호기,"1920.00 X 0.00 X 505.00
",SF490N,코깅바 사용  FLAT DIE 작업,,CARBON,1,13800,1,73.26
118,P15,2020-01-03,야간,191218-19054-001,"1,2,3,4","19,18,06",가열로6호기,"4804.00 X 3684.00 X 270.00
",TWS355,700T  단조비 충분히 줄 것,6호기,CARBON,4,19615,4,91.61
119,P15,2020-01-03,야간,191218-19054-011,1,"19,18,06",가열로6호기,"4804.00 X 3684.00 X 270.00
",TWS355,700T  단조비 충분히 줄 것,6호기,CARBON,1,19615,1,91.61
120,P5,2020-01-04,주간,200204-19180-362,001,"02,05",가열로2호기,"COGGING
","WTG-113
(INGOT)","GE 2.3MW M/SHAFT COGGING
(NEW TYPE) (중량절감 INGOT사용건)","INGOT
열괴",ALLOY,1,14850,1,79.85
121,P5,2020-01-04,주간,200204-19180-363,001,"02,05",가열로2호기,"COGGING
","WTG-113
(INGOT)","GE 2.3MW M/SHAFT COGGING
(NEW TYPE) (중량절감 INGOT사용건)","INGOT
열괴",ALLOY,1,14850,1,79.85
122,P5,2020-01-04,주간,200204-19180-364,001,"02,05",가열로2호기,"COGGING
","WTG-113
(INGOT)","GE 2.3MW M/SHAFT COGGING
(NEW TYPE) (중량절감 INGOT사용건)","INGOT
열괴",ALLOY,1,14850,1,79.85
123,P5,2020-01-04,주간,200204-19180-365,001,"02,05",가열로2호기,"COGGING
","WTG-113
(INGOT)","GE 2.3MW M/SHAFT COGGING
(NEW TYPE) (중량절감 INGOT사용건)","INGOT
열괴",ALLOY,1,14850,1,79.85
