순번,프레스명,작업일자,주/야간,가열로명,소재개수,중량(kg),최대중량(kg),최소홀딩시간,최대홀딩시간,시작온도,가열시작일시,가열종료일시,종료온도,소요시간(분),총가스사용량,단위가스사용량(사용량/중량)
68,프레스(P15000),2020-01-06,주간,가열로19호기,6,150180,31850,20,0,-,2020-01-04 19:00,2020-01-06 14:48,-,2628,8374.9,55.8
69,프레스(P15000),2020-01-06,주간,가열로20호기,3,181900,130000,24,0,-,2020-01-04 19:00,2020-01-06 16:27,-,2727,7290.6,40.1
70,프레스(P5000),2020-01-07,야간,가열로2호기,8,92800,11600,12,13,-,2020-01-07 03:31,2020-01-07 23:16,-,1185,4777.1,51.5
71,프레스(P5000),2020-01-07,주간,가열로3호기,5,63600,21850,12,13,-,2020-01-06 19:04,2020-01-07 16:08,-,1264,5271.5,82.9
72,프레스(P5000),2020-01-07,주간,가열로4호기,6,80880,13480,12,13,-,2020-01-06 15:25,2020-01-07 20:15,-,1730,7114.8,88
73,프레스(P5000),2020-01-07,야간,가열로5호기,8,96270,13480,12,13,-,2020-01-07 07:00,2020-01-08 06:00,-,1380,5647.3,58.7
74,링밀(R/M 9500),2020-01-07,주간,가열로7호기,16,35520,2400,4,10,-,2020-01-06 20:48,2020-01-07 15:52,-,1144,1972.7,55.5
75,링밀(R/M 9500),2020-01-07,야간,가열로7호기,10,33500,3410,4,10,-,2020-01-07 17:06,2020-01-08 01:50,-,524,747,22.3
76,프레스(P8000),2020-01-07,주간,가열로8호기,15,59135.3,4030,7.5,7.5,-,2020-01-06 12:24,2020-01-07 11:34,-,1390,2772.1,46.9
77,링밀(R/M 9500),2020-01-07,야간,가열로9호기,11,49570,7845,4,10,-,2020-01-07 09:23,2020-01-08 05:28,-,1205,3203.6,64.6
78,링밀(R/M 9500),2020-01-07,주간,가열로10호기,15,48330,5070,4,10,-,2020-01-06 00:00,2020-01-08 00:00,-,2880,-,0
79,링밀(R/M 9500),2020-01-07,주간,가열로11호기,12,39360,4830,4,10,-,2020-01-06 00:00,2020-01-08 00:00,-,2880,-,0
80,링밀(R/M 9500),2020-01-07,야간,가열로11호기,21,82630,4450,4,10,-,2020-01-06 00:00,2020-01-08 00:00,-,2880,-,0
81,프레스(P15000),2020-01-07,주간,가열로13호기,6,59820,25950,6,13,-,2020-01-07 02:50,2020-01-07 11:35,-,525,2336.1,39.1
82,링밀(R/M 9500),2020-01-07,주간,가열로13호기,6,59820,25950,4,10,-,2020-01-07 11:41,2020-01-07 13:08,-,87,469.5,7.8
83,프레스(P8000),2020-01-07,야간,가열로14호기,18,65938.4,4331,7.5,7.5,-,2020-01-07 06:13,2020-01-08 07:06,-,1493,3667.7,55.6
84,프레스(P8000),2020-01-07,주간,가열로15호기,27,84394,3185,7.5,7.5,-,2020-01-06 19:53,2020-01-07 19:27,-,1414,4741.1,56.2
85,프레스(P8000),2020-01-07,야간,가열로16호기,20,65864.2,4030,7.5,7.5,-,2020-01-06 22:43,2020-01-07 22:45,-,1442,3302.3,50.1
86,프레스(P15000),2020-01-07,야간,가열로17호기,7,70460,11045,12,0,-,2020-01-07 06:35,2020-01-08 06:08,-,1413,6987,99.2
87,프레스(P15000),2020-01-07,야간,가열로18호기,7,127125,25000,15,0,-,2020-01-07 01:36,2020-01-08 05:50,-,1694,9869.3,77.6
88,프레스(P15000),2020-01-07,주간,가열로19호기,6,151250,61100,18,0,-,2020-01-06 15:09,2020-01-07 18:02,-,1613,6992.1,46.2
89,프레스(P15000),2020-01-07,주간,가열로20호기,5,161380,130000,10,0,-,2020-01-06 16:45,2020-01-07 15:29,-,1364,5235.9,32.4
90,프레스(P5000),2020-01-08,야간,가열로2호기,7,90980,21600,12,13,-,2020-01-08 02:30,2020-01-09 01:33,-,1383,4496.4,49.4
91,프레스(P5000),2020-01-08,주간,가열로3호기,8,88800,11100,12,13,-,2020-01-07 16:11,2020-01-08 15:28,-,1397,5702.3,64.2
92,프레스(P5000),2020-01-08,주간,가열로4호기,4,67650,21600,12,13,-,2020-01-07 20:31,2020-01-08 18:04,-,1293,3638.2,53.8
93,프레스(P5000),2020-01-08,야간,가열로5호기,8,76432,9554,12,13,-,2020-01-08 07:03,2020-01-09 06:17,-,1394,6701.8,87.7
94,링밀(R/M 9500),2020-01-08,주간,가열로7호기,8,16320,2040,4,10,-,2020-01-08 11:07,2020-01-08 21:41,-,634,1251.7,76.7
95,링밀(R/M 9500),2020-01-08,야간,가열로7호기,16,56290,4220,4,10,-,2020-01-08 21:44,2020-01-09 10:43,-,779,1167.6,20.7
96,프레스(P8000),2020-01-08,주간,가열로8호기,16,59198.9,3957,7.5,7.5,-,2020-01-07 13:36,2020-01-08 11:39,-,1323,2774.5,46.9
97,링밀(R/M 9500),2020-01-08,주간,가열로9호기,16,61070,4650,4,10,-,2020-01-08 05:30,2020-01-08 22:22,-,1012,3074.7,50.3
98,링밀(R/M 9500),2020-01-08,야간,가열로9호기,4,60470,16085,4,10,-,2020-01-08 22:23,2020-01-09 06:27,-,484,1333.2,22
99,링밀(R/M 9500),2020-01-08,주간,가열로10호기,4,59135,15560,4,10,-,2020-01-07 00:00,2020-01-09 00:00,-,2880,-,0
100,링밀(R/M 9500),2020-01-08,야간,가열로10호기,17,60330,6120,4,10,-,2020-01-07 00:00,2020-01-09 00:00,-,2880,-,0
101,링밀(R/M 9500),2020-01-08,주간,가열로11호기,16,49440,3090,4,10,-,2020-01-07 00:00,2020-01-09 00:00,-,2880,-,0
102,링밀(R/M 9500),2020-01-08,야간,가열로11호기,4,56600,14150,4,10,-,2020-01-07 00:00,2020-01-09 00:00,-,2880,-,0
103,프레스(P15000),2020-01-08,주간,가열로13호기,6,170600,38100,12,0,-,2020-01-07 15:57,2020-01-08 14:51,-,1374,8669,50.8
104,프레스(P15000),2020-01-08,야간,가열로13호기,8,190600,38100,18,0,-,2020-01-08 14:51,2020-01-09 05:22,-,871,4091,21.5
105,프레스(P8000),2020-01-08,야간,가열로14호기,19,86383.6,4842,7.5,7.5,-,2020-01-08 07:38,2020-01-09 06:34,-,1376,4181.1,48.4
106,프레스(P8000),2020-01-08,주간,가열로15호기,27,85508.1,4842,7.5,7.5,-,2020-01-07 19:46,2020-01-08 18:47,-,1381,3920.9,45.9
107,프레스(P8000),2020-01-08,야간,가열로16호기,18,66093.1,4024,7.5,7.5,-,2020-01-07 22:59,2020-01-08 23:07,-,1448,3250.9,49.2
108,프레스(P15000),2020-01-08,야간,가열로18호기,5,139315,50445,18,0,-,2020-01-08 05:59,2020-01-09 03:05,-,1266,5898.4,42.3
109,프레스(P15000),2020-01-08,주간,가열로19호기,7,120750,25000,12,0,-,2020-01-07 18:19,2020-01-08 16:19,-,1320,5902.1,48.9
110,프레스(P15000),2020-01-08,주간,가열로20호기,4,176320,130000,12,0,-,2020-01-07 15:51,2020-01-08 14:15,-,1344,5047.6,28.6
111,프레스(P5000),2020-01-09,야간,가열로2호기,6,109350,20600,12,13,-,2020-01-09 03:00,2020-01-09 23:18,-,1218,4409.5,40.3
112,프레스(P5000),2020-01-09,주간,가열로3호기,4,57400,20350,12,13,-,2020-01-08 15:31,2020-01-09 14:13,-,1362,5232.7,91.2
113,프레스(P5000),2020-01-09,주간,가열로4호기,8,76432,9554,12,13,-,2020-01-08 18:40,2020-01-09 18:49,-,1449,4214.1,55.1
114,프레스(P5000),2020-01-09,야간,가열로5호기,8,62810,15700,12,13,-,2020-01-09 06:55,2020-01-10 07:09,-,1454,6134.7,97.7
115,프레스(P15000),2020-01-09,야간,가열로6호기,4,68890,23400,12,0,-,2020-01-08 16:49,2020-01-10 03:38,-,2089,10727.5,155.7
116,링밀(R/M 9500),2020-01-09,주간,가열로7호기,24,91130,5140,4,10,-,2020-01-09 11:00,2020-01-09 21:53,-,653,1227.9,13.5
117,링밀(R/M 9500),2020-01-09,야간,가열로7호기,15,59280,4690,4,10,-,2020-01-09 21:53,2020-01-10 02:33,-,280,411.3,6.9
118,프레스(P8000),2020-01-09,주간,가열로8호기,14,54492.5,3803,7.5,7.5,-,2020-01-08 12:20,2020-01-09 13:00,-,1480,2886.2,53
119,링밀(R/M 9500),2020-01-09,야간,가열로8호기,19,73980,4700,4,10,-,2020-01-09 14:34,2020-01-10 11:40,-,1266,2036,27.5
120,링밀(R/M 9500),2020-01-09,주간,가열로9호기,9,40440,6120,4,10,-,2020-01-09 06:30,2020-01-09 20:36,-,846,2257.6,55.8
121,링밀(R/M 9500),2020-01-09,야간,가열로9호기,3,42450,14150,4,10,-,2020-01-09 20:41,2020-01-11 07:01,-,2060,5104.6,120.2
122,링밀(R/M 9500),2020-01-09,주간,가열로10호기,14,64230,5140,4,10,-,2020-01-08 00:00,2020-01-10 00:00,-,2880,-,0
123,링밀(R/M 9500),2020-01-09,주간,가열로11호기,2,28300,14150,4,10,-,2020-01-08 00:00,2020-01-10 00:00,-,2880,-,0
124,링밀(R/M 9500),2020-01-09,야간,가열로11호기,6,21960,3660,4,10,-,2020-01-08 00:00,2020-01-10 00:00,-,2880,-,0
125,프레스(P15000),2020-01-09,야간,가열로13호기,4,175900,47100,18,0,-,2020-01-09 05:46,2020-01-10 04:49,-,1383,7558.4,43
126,프레스(P8000),2020-01-09,야간,가열로14호기,19,69695,5036,7.5,7.5,-,2020-01-09 07:11,2020-01-10 07:11,-,1440,3942.4,56.6
127,프레스(P8000),2020-01-09,주간,가열로15호기,24,88119.9,3957,7.5,7.5,-,2020-01-08 19:21,2020-01-09 18:47,-,1406,4853.8,55.1
128,프레스(P8000),2020-01-09,야간,가열로16호기,24,66652.8,3423,7.5,7.5,-,2020-01-08 23:30,2020-01-09 23:37,-,1447,3250,48.8
129,프레스(P15000),2020-01-09,주간,가열로17호기,4,172450,130000,12,0,-,2020-01-08 08:35,2020-01-09 16:31,-,1916,7851.4,45.5
130,프레스(P15000),2020-01-09,야간,가열로18호기,5,125850,50445,12,0,-,2020-01-09 03:07,2020-01-10 05:56,-,1609,5269.2,41.9
131,프레스(P15000),2020-01-09,주간,가열로19호기,1,13600,13600,10,0,-,2020-01-08 16:24,2020-01-09 10:21,-,1077,2849.1,209.5
132,프레스(P15000),2020-01-09,주간,가열로20호기,6,126380,41100,18,0,-,2020-01-08 19:34,2020-01-09 18:00,-,1346,6824.1,54
133,프레스(P5000),2020-01-10,주간,가열로1호기,6,55150,9900,12,13,-,2020-01-09 09:21,2020-01-10 19:08,-,2027,5770.3,104.6
134,프레스(P5000),2020-01-10,야간,가열로2호기,11,81210,13730,12,13,-,2020-01-09 23:55,2020-01-10 22:43,-,1368,5093.6,62.7
135,프레스(P5000),2020-01-10,주간,가열로3호기,7,101330,20600,12,13,-,2020-01-09 14:22,2020-01-10 23:40,-,1998,8089.6,79.8
136,프레스(P5000),2020-01-10,야간,가열로4호기,10,82810,9970,12,13,-,2020-01-09 21:56,2020-01-11 05:47,-,1911,6126.2,74
137,프레스(P15000),2020-01-10,야간,가열로6호기,4,48970,16085,12,0,-,2020-01-10 03:45,2020-01-10 22:17,-,1112,5797,118.4
138,링밀(R/M 9500),2020-01-10,주간,가열로7호기,15,46720,3660,4,10,-,2020-01-10 02:33,2020-01-10 11:43,-,550,689.2,14.8
139,링밀(R/M 9500),2020-01-10,야간,가열로7호기,15,65340,9900,4,10,-,2020-01-10 11:49,2020-01-11 05:47,-,1078,1574.3,24.1
140,링밀(R/M 9500),2020-01-10,주간,가열로8호기,12,72110,6730,4,10,-,2020-01-10 11:44,2020-01-10 15:24,-,220,273,3.8
141,링밀(R/M 9500),2020-01-10,야간,가열로8호기,10,60360,9900,4,10,-,2020-01-10 16:46,2020-01-10 23:07,-,381,699.2,11.6
142,링밀(R/M 9500),2020-01-10,주간,가열로11호기,15,34840,3660,4,10,-,2020-01-09 00:00,2020-01-11 00:00,-,2880,-,0
143,링밀(R/M 9500),2020-01-10,야간,가열로11호기,25,108440,16085,4,10,-,2020-01-09 00:00,2020-01-11 00:00,-,2880,-,0
144,프레스(P8000),2020-01-10,주간,가열로12호기,20,53933.9,3812,7.5,7.5,-,2020-01-09 08:19,2020-01-10 20:22,-,2163,4883.9,90.6
145,프레스(P15000),2020-01-10,야간,가열로13호기,2,93780,50445,8,0,-,2020-01-10 05:59,2020-01-11 06:42,-,1483,5720.9,61
146,프레스(P8000),2020-01-10,야간,가열로14호기,21,70308.7,4027,7.5,7.5,-,2020-01-10 07:34,2020-01-11 06:17,-,1363,3822.8,54.4
147,프레스(P8000),2020-01-10,주간,가열로15호기,21,79690.8,4775,7.5,7.5,-,2020-01-09 19:07,2020-01-10 18:13,-,1386,4812.2,60.4
148,프레스(P8000),2020-01-10,야간,가열로16호기,24,66767.3,4027,7.5,7.5,-,2020-01-09 23:48,2020-01-10 23:03,-,1395,3265.3,48.9
149,프레스(P15000),2020-01-10,주간,가열로17호기,2,147000,130000,6,0,-,2020-01-09 16:49,2020-01-10 15:54,-,1385,4504.7,30.6
150,프레스(P15000),2020-01-10,야간,가열로18호기,4,107760,30480,8,0,-,2020-01-10 06:00,2020-01-11 02:16,-,1216,4623.4,42.9
151,프레스(P15000),2020-01-10,주간,가열로19호기,7,124375,30480,14,0,-,2020-01-09 14:24,2020-01-10 16:33,-,1569,8736,70.2
152,프레스(P15000),2020-01-10,주간,가열로20호기,2,186033,173703,12,0,-,2020-01-09 18:10,2020-01-10 11:05,-,1015,4564.4,24.5
153,프레스(P15000),2020-01-10,야간,가열로20호기,1,173703,173703,18,0,-,2020-01-10 11:07,2020-01-11 07:00,-,1193,3239.9,18.7
154,프레스(P5000),2020-01-13,주간,가열로2호기,10,84590,9970,12,13,-,2020-01-11 08:25,2020-01-13 16:30,-,3365,8939.6,105.7
155,프레스(P5000),2020-01-13,야간,가열로3호기,11,91550,14150,12,13,-,2020-01-11 08:25,2020-01-13 23:37,-,3792,9252.6,101.1
156,프레스(P5000),2020-01-13,주간,가열로4호기,5,73770,19600,12,13,-,2020-01-11 08:25,2020-01-13 14:17,-,3232,5876.2,79.7
