,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부
31,692.1,11400,9420,671.1,0,0,0,0,0,0,4,24160,6040,0,0,0,0,0,0,0,0,0,4,24160,6040,0,0,0,0,0,0,4,24160,6040,9960,3,누락없음,1,2019-07-12,주간,2019-07-11 16:48,목,안겹침,0,9,0,S,평일
32,587.8,4080,4020,576.4,8,88000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88000,11000,0,0,0,0,0,0,8,88000,11000,20640,0,누락없음,5,2019-07-12,야간,2019-07-12 4:14,금,안겹침,0,8,0,A,평일
33,2906.6,64020,53340,585.8,1,11500,11500,8,70040,9360,0,0,0,0,0,0,0,0,0,0,0,0,9,81540,11500,0,0,0,0,0,0,9,81540,11500,68340,0,누락없음,2,2019-07-15,주간,2019-07-14 2:15,일,안겹침,0,8,0,AC,주말
34,3678.9,74100,54780,490.2,8,78696,9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78696,9837,0,0,0,0,0,0,8,78696,9837,67500,0,누락없음,5,2019-07-15,주간,2019-07-13 23:45,토,안겹침,0,8,0,A,주말
35,3068.2,81000,59460,454.8,0,0,0,6,68760,11460,0,0,0,0,0,0,0,0,0,0,0,0,6,68760,11460,0,0,0,0,0,0,6,68760,11460,107220,0,누락없음,4,2019-07-15,야간,2019-07-13 22:17,토,안겹침,0,6,0,C,주말
36,2881.4,76440,66540,466.4,0,0,0,6,44000,10350,0,0,0,0,0,0,0,0,0,0,0,0,6,44000,10350,0,0,0,0,0,0,6,44000,10350,138780,0,누락없음,1,2019-07-15,야간,2019-07-14 10:47,일,안겹침,0,4,0,C,주말
37,2771.2,17160,16140,800.1,0,0,0,10,87630,9190,0,0,0,0,0,0,0,0,0,0,0,0,10,87630,9190,0,0,0,0,0,0,10,87630,9190,265920,1,누락없음,3,2019-07-16,주간,2019-07-15 16:27,월,안겹침,0,5,0,C,주말
38,1162.8,14160,14160,764.6,0,0,0,8,65110,9020,0,0,0,0,0,0,0,0,0,0,0,0,8,65110,9020,0,0,0,0,0,0,8,65110,9020,900,0,누락없음,1,2019-07-16,야간,2019-07-16 7:24,화,안겹침,0,6,0,C,평일
39,999.9,18600,18540,720.9,0,0,0,3,21240,7080,2,12080,6040,0,0,0,0,0,0,0,0,0,5,33320,7080,0,0,0,0,0,0,5,33320,7080,13740,0,누락없음,2,2019-07-16,주간,2019-07-15 19:24,월,안겹침,0,9,0,CS,평일
40,1123.9,12420,10500,980.9,6,96600,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96600,16100,0,0,0,0,0,0,6,96600,16100,11400,3,누락없음,4,2019-07-16,야간,2019-07-16 0:43,화,안겹침,0,6,0,A,평일
