,°¡¿­·Î ¹øÈ£,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,in,out,cycle,ÆòÀÏ/ÁÖ¸»,drop_flag,gradient,part_types,temp diff,time diff,°¡½º»ç¿ë·®(¸¶Áö¸· ±¸°£),°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
48,5,2019-07-09 22:20:00,2019-07-09 22:25:00,8.400000000372527,open,[''],2019-07-09,¾ß°£,[],[],5.0,,0.0,,,,,,,,,,1272.8,,,,1003.0,,,4,4.0,°ãÄ§
49,5,2019-07-10 20:11:00,2019-07-10 20:16:00,3.400000000372529,open,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,,1271.4,,,,937.4,,,4,4.0,°ãÄ§
50,5,2019-07-10 20:39:00,2019-07-10 20:43:00,5.0,open,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,,1271.5,,,,967.7,,,4,4.0,°ãÄ§
51,5,2019-07-10 21:07:00,2019-07-10 21:10:00,3.400000000372529,open,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,,1271.3,,,,975.9,,,4,4.0,°ãÄ§
52,5,2019-07-10 21:45:00,2019-07-10 21:49:00,6.699999999254942,open,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,,1270.7,,,,1016.4,,,4,4.0,°ãÄ§
53,5,2019-07-10 22:15:00,2019-07-10 22:18:00,1.7000000011175869,open,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,,1271.4,,,,983.5,,,4,4.0,°ãÄ§
54,5,2019-07-10 22:43:00,2019-07-10 22:46:00,5.0,open,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,,1270.8,,,,990.2,,,4,4.0,°ãÄ§
55,5,2019-07-10 23:09:00,2019-07-10 23:13:00,5.099999999627472,open,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,,1271.1,,,,958.6,,,4,4.0,°ãÄ§
56,5,2019-07-10 23:40:00,2019-07-10 23:44:00,5.0,open,[''],2019-07-10,¾ß°£,[],[],6.0,,0.0,,,,,,,,,,1272.1,,,,969.4,,,4,4.0,°ãÄ§
57,5,2019-07-11 20:14:00,2019-07-11 20:18:00,3.300000000745058,open,[''],2019-07-11,¾ß°£,[],[],7.0,,0.0,,,,,,,,,,1269.9,,,,1040.0,,,4,4.0,°ãÄ§
58,5,2019-07-11 20:31:00,2019-07-11 20:35:00,3.299999998882413,open,[''],2019-07-11,¾ß°£,[],[],7.0,,0.0,,,,,,,,,,1274.5,,,,953.6,,,4,4.0,°ãÄ§
59,5,2019-07-11 21:03:00,2019-07-11 21:09:00,13.299999998882413,open,[''],2019-07-11,¾ß°£,[],[],7.0,,0.0,,,,,,,,,,1291.4,,,,1021.1,,,4,4.0,°ãÄ§
60,5,2019-07-11 21:35:00,2019-07-11 21:39:00,5.0,open,[''],2019-07-11,¾ß°£,[],[],7.0,,0.0,,,,,,,,,,1271.1,,,,1072.0,,,4,4.0,°ãÄ§
61,5,2019-07-11 21:55:00,2019-07-11 21:59:00,5.0,open,[''],2019-07-11,¾ß°£,[],[],7.0,,0.0,,,,,,,,,,1272.4,,,,1002.8,,,4,4.0,°ãÄ§
62,5,2019-07-11 22:10:00,2019-07-11 22:16:00,13.300000000745056,open,[''],2019-07-11,¾ß°£,[],[],7.0,,0.0,,,,,,,,,,1285.2,,,,985.0,,,4,4.0,°ãÄ§
63,5,2019-07-12 05:44:00,2019-07-12 06:04:00,3.299999998882413,open,[''],2019-07-12,¾ß°£,[],[],8.0,,0.0,,,,,,,,,,1251.3,,,,632.1,,,4,4.0,°ãÄ§
64,5,2019-07-12 07:15:00,2019-07-12 07:25:00,28.40000000037253,open,[''],2019-07-12,¾ß°£,[],[],8.0,,0.0,,,,,,,,,,1001.8,,,,883.5,,,4,4.0,°ãÄ§
65,5,2019-07-12 20:39:00,2019-07-12 20:42:00,1.699999999254942,open,[''],2019-07-12,¾ß°£,[],[],8.0,,0.0,,,,,,,,,,1255.7,,,,1048.5,,,4,4.0,°ãÄ§
66,5,2019-07-12 21:06:00,2019-07-12 21:12:00,3.300000000745058,open,[''],2019-07-12,¾ß°£,[],[],8.0,,0.0,,,,,,,,,,1252.1,,,,854.9,,,4,4.0,°ãÄ§
67,5,2019-07-12 21:35:00,2019-07-12 21:41:00,3.299999998882413,open,[''],2019-07-12,¾ß°£,[],[],8.0,,0.0,,,,,,,,,,1251.6,,,,864.9,,,4,4.0,°ãÄ§
68,5,2019-07-12 22:06:00,2019-07-12 22:10:00,6.599999999627472,open,[''],2019-07-12,¾ß°£,[],[],8.0,,0.0,,,,,,,,,,1251.5,,,,995.3,,,4,4.0,°ãÄ§
