,Type,cycle,drop_flag,in,out,가스사용량,가스사용량(마지막),가스사용량(총),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
87,reheat,,0,[],[],40.200000001117594,,,2,,,,1.0,,2019-07-13 06:01:00,1022.0,,,,,2019-07-13 06:12:00,,,,,
88,hold,,0,[],[],15.099999999627473,,,2,,,,,,2019-07-13 06:12:00,,,,,,2019-07-13 06:16:00,,,,1286.52,
89,open,,0,[],[],8.300000000745058,,,2,,,,,,2019-07-13 06:16:00,1284.8,,,,,2019-07-13 06:22:00,942.5,,,,
90,reheat,,0,[],[],35.199999999254935,,,2,,,,0.0,,2019-07-13 06:22:00,942.5,,,,,2019-07-13 06:31:00,,,,,
91,hold,,0,[],[],15.099999999627473,,,2,,,,,,2019-07-13 06:31:00,,,,,,2019-07-13 06:34:00,,,,1284.9499999999996,
92,open,,0,[],[],11.700000001117587,,,2,,,,,,2019-07-13 06:34:00,1289.9,,,,,2019-07-13 06:38:00,1203.8,,,,
93,reheat,,0,[],[],11.699999999254944,,,2,,,,0.0,,2019-07-13 06:38:00,1203.8,,,,,2019-07-13 06:41:00,,,,,
94,hold,,0,[],[],3.300000000745058,,,2,,,,,,2019-07-13 06:41:00,,,,,,2019-07-13 06:42:00,,,,1266.0,
95,open,,0,[],[],5.0,,,2,,,,,,2019-07-13 06:42:00,1266.7,,,,,2019-07-13 06:45:00,1003.3,,,,
96,reheat,,0,[],[],60.19999999925494,,,2,,,,0.0,,2019-07-13 06:45:00,1003.3,,,,,2019-07-13 07:00:00,,,,,
97,heat,4.0,1,[],[],,2906.6000000014897,2906.6000000014897,2,1257.8,0,0.0,178.0,[''],2019-07-14 02:15:00,585.8,2019-07-13 08:00:00,668.9,2019-07-13 07:16:00,,2019-07-14 20:02:00,,,0.0,,
98,hold,,0,[],[],2280.699999999255,,,2,,,,,,2019-07-14 20:02:00,,,,,,2019-07-15 07:31:00,,,,1257.3297101449275,
99,open,,0,[],[],5.099999999627472,,,2,,,,,,2019-07-15 07:31:00,1274.9,,,,,2019-07-15 07:34:00,988.2,,,,
100,reheat,,0,[],[],33.5,,,2,,,,1.0,,2019-07-15 07:34:00,988.2,,,,,2019-07-15 07:43:00,,,,,
101,hold,,0,[],[],23.5,,,2,,,,,,2019-07-15 07:43:00,,,,,,2019-07-15 07:49:00,,,,1288.4714285714285,
102,open,,0,[],[],1.7000000011175869,,,2,,,,,,2019-07-15 07:49:00,1292.1,,,,,2019-07-15 07:51:00,1017.8,,,,
103,reheat,,0,[],[],31.899999998509887,,,2,,,,1.0,,2019-07-15 07:51:00,1017.8,,,,,2019-07-15 08:00:00,,,,,
104,hold,,0,[],[],25.10000000149012,,,2,,,,,,2019-07-15 08:00:00,,,,,,2019-07-15 08:05:00,,,,1288.7833333333333,
105,open,,0,[],[],3.399999998509884,,,2,,,,,,2019-07-15 08:05:00,1292.2,,,,,2019-07-15 08:12:00,793.4,,,,
106,reheat,,0,[],[],66.80000000074506,,,2,,,,1.0,,2019-07-15 08:12:00,793.4,,,,,2019-07-15 08:25:00,,,,,
107,hold,,0,[],[],28.300000000745055,,,2,,,,,,2019-07-15 08:25:00,,,,,,2019-07-15 08:29:00,,,,1287.24,
108,open,,0,[],[],11.699999999254944,,,2,,,,,,2019-07-15 08:29:00,1284.3,,,,,2019-07-15 08:35:00,898.6,,,,
109,reheat,,0,[],[],98.5,,,2,,,,0.0,,2019-07-15 08:35:00,898.6,,,,,2019-07-15 08:54:00,,,,,
110,hold,,0,[],[],90.40000000037253,,,2,,,,,,2019-07-15 08:54:00,,,,,,2019-07-15 09:20:00,,,,1277.5962962962965,
111,open,,0,[],[],3.299999998882413,,,2,,,,,,2019-07-15 09:20:00,1275.3,,,,,2019-07-15 09:23:00,990.4,,,,
112,reheat,,0,[],[],75.30000000074506,,,2,,,,1.0,,2019-07-15 09:23:00,990.4,,,,,2019-07-15 09:41:00,,,,,
113,hold,,0,[],[],50.19999999925494,,,2,,,,,,2019-07-15 09:41:00,,,,,,2019-07-15 09:56:00,,,,1280.23125,
114,open,,0,[],[],5.0,,,2,,,,,,2019-07-15 09:56:00,1276.2,,,,,2019-07-15 09:59:00,989.8,,,,
115,reheat,,0,[],[],75.10000000149013,,,2,,,,1.0,,2019-07-15 09:59:00,989.8,,,,,2019-07-15 10:18:00,,,,,
116,hold,,0,[],[],15.099999999627473,,,2,,,,,,2019-07-15 10:18:00,,,,,,2019-07-15 10:22:00,,,,1287.1600000000005,
117,open,,0,[],[],10.0,,,2,,,,,,2019-07-15 10:22:00,1289.9,,,,,2019-07-15 10:27:00,1013.9,,,,
118,reheat,,0,[],[],65.0,,,2,,,,1.0,,2019-07-15 10:27:00,1013.9,,,,,2019-07-15 10:43:00,,,,,
119,hold,,0,[],[],237.7999999988824,,,2,,,,,,2019-07-15 10:43:00,,,,,,2019-07-15 11:51:00,,,,1236.8565217391306,
120,open,,0,[],[],15.0,,,2,,,,,,2019-07-15 11:51:00,1290.3,,,,,2019-07-15 11:56:00,1038.3,,,,
121,reheat,,0,[],[],53.100000001490116,,,2,,,,0.0,,2019-07-15 11:56:00,1038.3,,,,,2019-07-15 12:08:00,,,,,
122,hold,,0,[],[],234.1999999992549,,,2,,,,,,2019-07-15 12:08:00,,,,,,2019-07-15 13:28:00,,,,1276.6654320987657,
123,open,,0,[],[],8.199999999254942,,,2,,,,,,2019-07-15 13:28:00,1274.9,,,,,2019-07-15 13:32:00,991.7,,,,
124,reheat,,0,[],[],38.0,,,2,,,,1.0,,2019-07-15 13:32:00,991.7,,,,,2019-07-15 13:42:00,,,,,
125,open,,0,[],[],3.299999998882413,,,2,,,,,,2019-07-15 13:43:00,1293.0,,,,,2019-07-15 13:47:00,888.6,,,,
126,reheat,,0,[],[],16.600000001490116,,,2,,,,1.0,,2019-07-15 13:47:00,888.6,,,,,2019-07-15 13:53:00,,,,,
127,open,,0,[],[],5.0,,,2,,,,,,2019-07-15 13:54:00,1165.7,,,,,2019-07-15 13:56:00,990.4,,,,
128,reheat,,0,[],[],55.900000000372536,,,2,,,,1.0,,2019-07-15 13:56:00,990.4,,,,,2019-07-15 14:08:00,,,,,
129,open,,0,[],[],11.5,,,2,,,,,,2019-07-15 14:08:00,1289.2,,,,,2019-07-15 14:11:00,1006.3,,,,
130,reheat,,0,[],[],79.09999999962747,,,2,,,,1.0,,2019-07-15 14:11:00,1006.3,,,,,2019-07-15 14:28:00,,,,,
131,hold,,0,[],[],201.40000000037256,,,2,,,,,,2019-07-15 14:28:00,,,,,,2019-07-15 15:35:00,,,,1275.1514705882353,
132,heat,5.0,1,[],[],,999.9000000003723,999.9000000003723,2,1205.3,0,0.0,1.0,[''],2019-07-15 19:24:00,720.9,2019-07-15 16:10:00,664.3,2019-07-15 15:35:00,,2019-07-16 00:34:00,,,0.0,,
133,hold,,0,[],[],1455.8000000007448,,,2,,,,,,2019-07-16 00:34:00,,,,,,2019-07-16 08:57:00,,,,1206.903373015873,
134,open,,0,[],[],10.0,,,2,,,,,,2019-07-16 08:57:00,1233.9,,,,,2019-07-16 09:02:00,1012.4,,,,
135,reheat,,0,[],[],64.69999999925494,,,2,,,,1.0,,2019-07-16 09:02:00,1012.4,,,,,2019-07-16 09:22:00,,,,,
136,hold,,0,[],[],1.7000000011175869,,,2,,,,,,2019-07-16 09:22:00,,,,,,2019-07-16 09:23:00,,,,1236.85,
137,open,,0,[],[],8.299999998882411,,,2,,,,,,2019-07-16 09:23:00,1237.1,,,,,2019-07-16 09:28:00,944.2,,,,
138,reheat,,0,[],[],54.599999999627464,,,2,,,,1.0,,2019-07-16 09:28:00,944.2,,,,,2019-07-16 09:41:00,,,,,
139,hold,,0,[],[],31.40000000037253,,,2,,,,,,2019-07-16 09:41:00,,,,,,2019-07-16 09:49:00,,,,1249.0555555555557,
140,open,,0,[],[],6.700000001117588,,,2,,,,,,2019-07-16 09:49:00,1252.3,,,,,2019-07-16 09:54:00,950.5,,,,
141,reheat,,0,[],[],36.299999998882406,,,2,,,,0.0,,2019-07-16 09:54:00,950.5,,,,,2019-07-16 10:03:00,,,,,
142,hold,,0,[],[],3.300000000745058,,,2,,,,,,2019-07-16 10:03:00,,,,,,2019-07-16 10:04:00,,,,1250.9,
143,open,,0,[],[],8.299999998882411,,,2,,,,,,2019-07-16 10:04:00,1253.7,,,,,2019-07-16 10:08:00,926.4,,,,
144,reheat,,0,[],[],42.90000000037253,,,2,,,,0.0,,2019-07-16 10:08:00,926.4,,,,,2019-07-16 10:16:00,,,,,
145,open,,0,[],[],3.300000000745058,,,2,,,,,,2019-07-16 10:17:00,1281.7,,,,,2019-07-16 10:19:00,1057.1,,,,
146,reheat,,0,[],[],69.40000000037253,,,2,,,,0.0,,2019-07-16 10:19:00,1057.1,,,,,2019-07-16 10:33:00,,,,,
147,hold,,0,[],[],59.69999999925494,,,2,,,,,,2019-07-16 10:33:00,,,,,,2019-07-16 10:49:00,,,,1281.7941176470588,
148,open,,0,[],[],1.7000000011175869,,,2,,,,,,2019-07-16 10:49:00,1274.5,,,,,2019-07-16 10:51:00,1023.5,,,,
149,reheat,,0,[],[],14.899999998509884,,,2,,,,1.0,,2019-07-16 10:51:00,1023.5,,,,,2019-07-16 10:56:00,,,,,
150,hold,,0,[],[],14.900000000372527,,,2,,,,,,2019-07-16 10:56:00,,,,,,2019-07-16 11:01:00,,,,1199.9166666666667,
151,open,,0,[],[],1.599999999627471,,,2,,,,,,2019-07-16 11:01:00,1217.9,,,,,2019-07-16 11:03:00,969.1,,,,
152,reheat,,0,[],[],85.70000000111759,,,2,,,,1.0,,2019-07-16 11:03:00,969.1,,,,,2019-07-16 11:20:00,,,,,
153,hold,,0,[],[],99.29999999888241,,,2,,,,,,2019-07-16 11:20:00,,,,,,2019-07-16 11:48:00,,,,1278.5862068965514,
154,open,,0,[],[],8.200000001117589,,,2,,,,,,2019-07-16 11:48:00,1275.9,,,,,2019-07-16 11:53:00,961.8,,,,
155,reheat,,0,[],[],64.19999999925494,,,2,,,,1.0,,2019-07-16 11:53:00,961.8,,,,,2019-07-16 12:07:00,,,,,
156,hold,,0,[],[],168.80000000074506,,,2,,,,,,2019-07-16 12:07:00,,,,,,2019-07-16 13:01:00,,,,1276.569090909091,
157,open,,0,[],[],0.0,,,2,,,,,,2019-07-16 13:01:00,1273.5,,,,,2019-07-16 13:03:00,1025.7,,,,
158,reheat,,0,[],[],24.79999999888241,,,2,,,,0.0,,2019-07-16 13:03:00,1025.7,,,,,2019-07-16 13:10:00,,,,,
159,open,,0,[],[],1.600000001490116,,,2,,,,,,2019-07-16 13:11:00,1272.9,,,,,2019-07-16 13:14:00,905.2,,,,
160,reheat,,0,[],[],128.7999999988824,,,2,,,,1.0,,2019-07-16 13:14:00,905.2,,,,,2019-07-16 13:45:00,,,,,
161,hold,,0,[],[],225.7000000011176,,,2,,,,,,2019-07-16 13:45:00,,,,,,2019-07-16 15:13:00,,,,1274.034831460674,
162,open,,0,[],[],3.299999998882413,,,2,,,,,,2019-07-16 15:13:00,1275.7,,,,,2019-07-16 15:15:00,1179.7,,,,
163,reheat,,0,[],[],28.0,,,2,,,,1.0,,2019-07-16 15:15:00,1179.7,,,,,2019-07-16 15:24:00,,,,,
164,hold,,0,[],[],14.800000000745056,,,2,,,,,,2019-07-16 15:24:00,,,,,,2019-07-16 15:29:00,,,,1277.1166666666668,
165,open,,0,[],[],10.0,,,2,,,,,,2019-07-16 15:29:00,1277.6,,,,,2019-07-16 15:33:00,1050.8,,,,
166,reheat,,0,[],[],99.09999999962747,,,2,,,,1.0,,2019-07-16 15:33:00,1050.8,,,,,2019-07-16 16:05:00,,,,,
167,hold,,0,[],[],18.099999999627467,,,2,,,,,,2019-07-16 16:05:00,,,,,,2019-07-16 16:12:00,,,,1274.525,
168,open,,0,[],[],8.300000000745058,,,2,,,,,,2019-07-16 16:12:00,1276.6,,,,,2019-07-16 16:16:00,1046.6,,,,
169,reheat,,0,[],[],71.0,,,2,,,,1.0,,2019-07-16 16:16:00,1046.6,,,,,2019-07-16 16:38:00,,,,,
170,hold,,0,[],[],208.0,,,2,,,,,,2019-07-16 16:38:00,,,,,,2019-07-16 18:00:00,,,,1274.4373493975902,
171,open,,0,[],[],4.900000000372528,,,2,,,,,,2019-07-16 18:00:00,1276.4,,,,,2019-07-16 18:04:00,941.9,,,,
172,reheat,,0,[],[],52.89999999850989,,,2,,,,1.0,,2019-07-16 18:04:00,941.9,,,,,2019-07-16 18:17:00,,,,,
173,hold,,0,[],[],84.70000000111759,,,2,,,,,,2019-07-16 18:17:00,,,,,,2019-07-16 18:46:00,,,,1279.49,
174,open,,0,[],[],6.699999999254942,,,2,,,,,,2019-07-16 18:46:00,1273.7,,,,,2019-07-16 18:51:00,952.8,,,,
175,reheat,,0,[],[],72.80000000074506,,,2,,,,1.0,,2019-07-16 18:51:00,952.8,,,,,2019-07-16 19:09:00,,,,,
176,heat,6.0,1,[],[],,379.8000000007451,415.0,2,1243.1,2019-07-17 02:06:00,1.0,4.0,[''],2019-07-17 01:55:00,808.6,2019-07-17 02:00:00,972.6,2019-07-16 19:13:00,,2019-07-17 02:53:00,,,672.4,,
177,hold,,0,[],[],60.299999998882406,,,2,,,,,,2019-07-17 02:53:00,,,,,,2019-07-17 03:01:00,,,,1240.6,
178,open,,0,[],[],20.200000001117587,,,2,,,,,,2019-07-17 03:01:00,1241.1,,,,,2019-07-17 03:08:00,801.0,,,,
179,reheat,,0,[],[],172.40000000037256,,,2,,,,1.0,,2019-07-17 03:08:00,801.0,,,,,2019-07-17 03:32:00,,,,,
180,open,,0,[],[],10.100000001490118,,,2,,,,,,2019-07-17 03:33:00,1208.5,,,,,2019-07-17 03:40:00,702.8,,,,
181,reheat,,0,[],[],197.39999999850986,,,2,,,,1.0,,2019-07-17 03:40:00,702.8,,,,,2019-07-17 04:07:00,,,,,
182,hold,,0,[],[],73.80000000074506,,,2,,,,,,2019-07-17 04:07:00,,,,,,2019-07-17 04:15:00,,,,1126.5,
183,open,,0,[],[],3.300000000745058,,,2,,,,,,2019-07-17 04:15:00,1135.9,,,,,2019-07-17 04:20:00,701.8,,,,
184,reheat,,0,[],[],1386.0,,,2,,,,1.0,,2019-07-17 04:20:00,701.8,,,,,2019-07-17 06:53:00,,,,,
