,Type,cycle,drop_flag,in,out,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
56,reheat,,0,,,113.89999999850988,,5,,,,1,,2019-07-03 10:21:00,865.5,,,,,2019-07-03 10:38:00,,,,,
57,hold,,0,,,167.2000000011176,,5,,,,,,2019-07-03 10:38:00,1288.0,,,,,2019-07-03 11:13:00,1272.4,,,1206.1111111111113,
58,open,,0,,,5.0,,5,,,,,,2019-07-03 11:13:00,1272.4,,,,,2019-07-03 11:17:00,899.7,,,,
59,reheat,,0,,,39.69999999925494,,5,,,,2,,2019-07-03 11:17:00,899.7,,,,,2019-07-03 11:26:00,,,,,
60,open,,0,,,5.0,,5,,,,,,2019-07-03 11:26:00,1218.2,,,,,2019-07-03 11:36:00,724.7,,,,
61,reheat,,0,,,226.40000000037253,,5,,,,1,,2019-07-03 11:36:00,724.7,,,,,2019-07-03 12:13:00,,,,,
62,hold,,0,,,150.09999999962747,,5,,,,,,2019-07-03 12:13:00,1271.4,,,,,2019-07-03 12:56:00,1271.1,,,1271.2522727272726,
63,open,,0,,,3.400000000372529,,5,,,,,,2019-07-03 12:56:00,1271.1,,,,,2019-07-03 12:58:00,1065.7,,,,
64,reheat,,0,,,78.0,,5,,,,1,,2019-07-03 12:58:00,1065.7,,,,,2019-07-03 13:15:00,,,,,
65,hold,,0,,,50.19999999925494,,5,,,,,,2019-07-03 13:15:00,1271.2,,,,,2019-07-03 13:33:00,1272.3,,,1271.178947368421,
66,open,,0,,,5.0,,5,,,,,,2019-07-03 13:33:00,1272.3,,,,,2019-07-03 13:37:00,962.8,,,,
67,reheat,,0,,,72.70000000111759,,5,,,,1,,2019-07-03 13:37:00,962.8,,,,,2019-07-03 13:49:00,,,,,
68,heat,3,1,,,1435.5,1435.5,5,1276.6,2019-07-03 15:43:00,0,0,[],2019-07-03 15:43:00,679.2,2019-07-03 15:45:00,782.0,2019-07-03 13:54:00,,2019-07-03 18:41:00,1276.6,,679.2,,
69,open,,0,,,15.0,,5,,,,,,2019-07-03 19:25:00,1270.7,,,,,2019-07-03 19:36:00,762.0,,,,
70,reheat,,0,,,405.69999999925494,,5,,,,2,,2019-07-03 19:36:00,762.0,,,,,2019-07-03 20:40:00,,,,,
71,hold,,0,,,1779.1000000014901,,5,,,,,,2019-07-03 20:40:00,1252.2,,,,,2019-07-04 07:52:00,1258.3,,,1253.3164933135215,
72,open,,0,,,3.399999998509884,,5,,,,,,2019-07-04 07:52:00,1258.3,,,,,2019-07-04 07:57:00,1018.7,,,,
73,reheat,,0,,,58.20000000111759,,5,,,,1,,2019-07-04 07:57:00,1018.7,,,,,2019-07-04 08:08:00,,,,,
74,hold,,0,,,87.0,,5,,,,,,2019-07-04 08:08:00,1257.0,,,,,2019-07-04 08:45:00,1256.2,,,1253.9552631578947,
75,open,,0,,,3.299999998882413,,5,,,,,,2019-07-04 08:45:00,1256.2,,,,,2019-07-04 08:52:00,844.3,,,,
76,reheat,,0,,,49.5,,5,,,,7,,2019-07-04 08:52:00,844.3,,,,,2019-07-04 09:06:00,,,,,
77,hold,,0,,,0.0,,5,,,,,,2019-07-04 09:06:00,1270.9,,,,,2019-07-04 09:44:00,1252.0,,,1252.7102564102565,
78,open,,0,,,0.0,,5,,,,,,2019-07-04 09:44:00,1252.0,,,,,2019-07-04 09:50:00,862.0,,,,
79,reheat,,0,,,0.0,,5,,,,14,,2019-07-04 09:50:00,862.0,,,,,2019-07-04 10:04:00,,,,,
80,hold,,0,,,0.0,,5,,,,,,2019-07-04 10:04:00,1271.4,,,,,2019-07-04 10:20:00,1272.2,,,1267.4470588235295,
81,open,,0,,,0.0,,5,,,,,,2019-07-04 10:20:00,1272.2,,,,,2019-07-04 10:26:00,877.1,,,,
82,reheat,,0,,,449.0,,5,,,,6,,2019-07-04 10:26:00,877.1,,,,,2019-07-04 10:44:00,,,,,
83,hold,,0,,,34.5,,5,,,,,,2019-07-04 10:44:00,1287.9,,,,,2019-07-04 10:52:00,1270.9,,,1277.7,
84,open,,0,,,6.600000001490116,,5,,,,,,2019-07-04 10:52:00,1270.9,,,,,2019-07-04 10:59:00,829.8,,,,
85,reheat,,0,,,130.2999999988824,,5,,,,1,,2019-07-04 10:59:00,829.8,,,,,2019-07-04 11:19:00,,,,,
86,hold,,0,,,29.5,,5,,,,,,2019-07-04 11:19:00,1287.0,,,,,2019-07-04 11:26:00,1271.2,,,1277.75,
87,open,,0,,,3.300000000745058,,5,,,,,,2019-07-04 11:26:00,1271.2,,,,,2019-07-04 11:28:00,1044.2,,,,
88,reheat,,0,,,16.40000000037253,,5,,,,1,,2019-07-04 11:28:00,1044.2,,,,,2019-07-04 11:34:00,,,,,
89,open,,0,,,3.299999998882413,,5,,,,,,2019-07-04 11:34:00,1172.4,,,,,2019-07-04 11:41:00,759.1,,,,
90,reheat,,0,,,256.0,,5,,,,2,,2019-07-04 11:41:00,759.1,,,,,2019-07-04 12:23:00,,,,,
91,hold,,0,,,120.30000000074506,,5,,,,,,2019-07-04 12:23:00,1271.8,,,,,2019-07-04 12:58:00,1270.9,,,1271.3722222222223,
92,open,,0,,,6.599999999627471,,5,,,,,,2019-07-04 12:58:00,1270.9,,,,,2019-07-04 13:04:00,868.5,,,,
93,reheat,,0,,,135.40000000037253,,5,,,,2,,2019-07-04 13:04:00,868.5,,,,,2019-07-04 13:28:00,,,,,
94,hold,,0,,,14.799999998882413,,5,,,,,,2019-07-04 13:28:00,1272.6,,,,,2019-07-04 13:32:00,1271.6,,,1272.1599999999999,
95,open,,0,,,8.200000001117587,,5,,,,,,2019-07-04 13:32:00,1271.6,,,,,2019-07-04 13:36:00,993.2,,,,
96,reheat,,0,,,71.90000000037253,,5,,,,1,,2019-07-04 13:36:00,993.2,,,,,2019-07-04 13:48:00,,,,,
97,heat,4,1,,,3017.0,3017.0,5,1255.3,0,0,0,[],2019-07-04 19:00:00,763.7,2019-07-04 19:20:00,817.3,2019-07-04 14:13:00,,2019-07-05 01:10:00,1255.3,,0,,
98,open,,0,,,13.400000000372529,,5,,,,,,2019-07-05 03:16:00,1251.4,,,,,2019-07-05 03:20:00,995.8,,,,
99,reheat,,0,,,146.40000000037253,,5,,,,2,,2019-07-05 03:20:00,995.8,,,,,2019-07-05 03:44:00,,,,,
100,hold,,0,,,26.699999999254942,,5,,,,,,2019-07-05 03:44:00,1253.0,,,,,2019-07-05 03:48:00,1252.0,,,1252.4,
101,open,,0,,,11.599999999627471,,5,,,,,,2019-07-05 03:48:00,1252.0,,,,,2019-07-05 03:52:00,1023.4,,,,
102,reheat,,0,,,79.60000000149012,,5,,,,1,,2019-07-05 03:52:00,1023.4,,,,,2019-07-05 04:06:00,,,,,
103,hold,,0,,,43.19999999925494,,5,,,,,,2019-07-05 04:06:00,1264.1,,,,,2019-07-05 04:12:00,1253.9,,,1257.4857142857143,
104,open,,0,,,15.0,,5,,,,,,2019-07-05 04:12:00,1253.9,,,,,2019-07-05 04:16:00,998.4,,,,
105,reheat,,0,,,53.30000000074506,,5,,,,1,,2019-07-05 04:16:00,998.4,,,,,2019-07-05 04:28:00,,,,,
106,open,,0,,,15.0,,5,,,,,,2019-07-05 04:29:00,1253.1,,,,,2019-07-05 04:35:00,968.4,,,,
107,reheat,,0,,,174.40000000037253,,5,,,,1,,2019-07-05 04:35:00,968.4,,,,,2019-07-05 05:00:00,,,,,
108,hold,,0,,,938.4000000003725,,5,,,,,,2019-07-05 05:00:00,1252.5,,,,,2019-07-05 09:08:00,1270.9,,,1266.0590361445782,
109,open,,0,,,6.699999999254942,,5,,,,,,2019-07-05 09:08:00,1270.9,,,,,2019-07-05 09:12:00,1070.3,,,,
110,reheat,,0,,,54.59999999962747,,5,,,,1,,2019-07-05 09:12:00,1070.3,,,,,2019-07-05 09:24:00,,,,,
111,hold,,0,,,66.40000000037253,,5,,,,,,2019-07-05 09:24:00,1273.3,,,,,2019-07-05 09:46:00,1271.5,,,1271.6739130434785,
112,open,,0,,,5.0,,5,,,,,,2019-07-05 09:46:00,1271.5,,,,,2019-07-05 09:49:00,1058.5,,,,
113,reheat,,0,,,58.0,,5,,,,2,,2019-07-05 09:49:00,1058.5,,,,,2019-07-05 10:01:00,,,,,
114,hold,,0,,,53.30000000074506,,5,,,,,,2019-07-05 10:01:00,1275.8,,,,,2019-07-05 10:19:00,1271.3,,,1272.3684210526314,
115,open,,0,,,8.299999998882413,,5,,,,,,2019-07-05 10:19:00,1271.3,,,,,2019-07-05 10:24:00,982.3,,,,
116,reheat,,0,,,105.80000000074506,,5,,,,1,,2019-07-05 10:24:00,982.3,,,,,2019-07-05 10:45:00,,,,,
117,hold,,0,,,18.299999998882413,,5,,,,,,2019-07-05 10:45:00,1271.3,,,,,2019-07-05 10:51:00,1271.1,,,1271.1714285714286,
118,open,,0,,,6.600000001490116,,5,,,,,,2019-07-05 10:51:00,1271.1,,,,,2019-07-05 10:56:00,962.5,,,,
119,reheat,,0,,,110.69999999925494,,5,,,,1,,2019-07-05 10:56:00,962.5,,,,,2019-07-05 11:17:00,,,,,
120,heat,5,1,,,1910.2999999988824,1910.2999999988824,5,1275.3,2019-07-09 03:25:00,0,5,[],2019-07-09 03:25:00,587.6,2019-07-09 03:20:00,579.9,2019-07-05 14:00:00,,2019-07-09 07:12:00,1275.3,,587.6,,
121,open,,0,,,5.099999999627471,,5,,,,,,2019-07-09 20:18:00,1272.9,,,,,2019-07-09 20:21:00,1044.3,,,,
122,reheat,,0,,,61.59999999962747,,5,,,,2,,2019-07-09 20:21:00,1044.3,,,,,2019-07-09 20:33:00,,,,,
123,hold,,0,,,31.800000000745058,,5,,,,,,2019-07-09 20:33:00,1275.7,,,,,2019-07-09 20:43:00,1271.9,,,1272.9818181818182,
124,open,,0,,,6.699999999254942,,5,,,,,,2019-07-09 20:43:00,1271.9,,,,,2019-07-09 20:47:00,999.5,,,,
125,reheat,,0,,,56.40000000037253,,5,,,,1,,2019-07-09 20:47:00,999.5,,,,,2019-07-09 21:02:00,,,,,
126,open,,0,,,28.399999998509884,,5,,,,,,2019-07-09 21:03:00,1291.2,,,,,2019-07-09 21:12:00,994.0,,,,
127,reheat,,0,,,66.20000000111759,,5,,,,2,,2019-07-09 21:12:00,994.0,,,,,2019-07-09 21:24:00,,,,,
128,hold,,0,,,61.90000000037253,,5,,,,,,2019-07-09 21:24:00,1282.7,,,,,2019-07-09 21:42:00,1271.5,,,1273.2,
129,open,,0,,,1.699999999254942,,5,,,,,,2019-07-09 21:42:00,1271.5,,,,,2019-07-09 21:45:00,988.4,,,,
130,reheat,,0,,,64.59999999962747,,5,,,,1,,2019-07-09 21:45:00,988.4,,,,,2019-07-09 21:56:00,,,,,
131,hold,,0,,,78.5,,5,,,,,,2019-07-09 21:56:00,1278.2,,,,,2019-07-09 22:20:00,1272.8,,,1272.588,
132,open,,0,,,8.400000000372529,,5,,,,,,2019-07-09 22:20:00,1272.8,,,,,2019-07-09 22:25:00,1003.0,,,,
