,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
73,reheat,,0,,,,,,,71.79999999888241,,2,,,,1,,2019-07-13 03:57:00,838.6,,,,,2019-07-13 04:12:00,,,,,
74,hold,,0,,,,,,,284.90000000037253,,2,,,,,,2019-07-13 04:12:00,1294.5,,,,,2019-07-13 05:57:00,1276.7,,,1275.5603773584908,
75,open,,0,,,,,,,5.099999999627471,,2,,,,,,2019-07-13 05:57:00,1276.7,,,,,2019-07-13 06:01:00,1022.0,,,,
76,reheat,,0,,,,,,,40.20000000111759,,2,,,,1,,2019-07-13 06:01:00,1022.0,,,,,2019-07-13 06:12:00,,,,,
77,hold,,0,,,,,,,5.0,,2,,,,,,2019-07-13 06:12:00,1287.7,,,,,2019-07-13 06:13:00,1292.0,,,1289.85,
78,open,,0,,,,,,,18.40000000037253,,2,,,,,,2019-07-13 06:13:00,1292.0,,,,,2019-07-13 06:22:00,942.5,,,,
79,reheat,,0,,,,,,,41.899999998509884,,2,,,,0,,2019-07-13 06:22:00,942.5,,,,,2019-07-13 06:32:00,,,,,
80,open,,0,,,,,,,11.700000001117587,,2,,,,,,2019-07-13 06:34:00,1289.9,,,,,2019-07-13 06:38:00,1203.8,,,,
81,reheat,,0,,,,,,,11.699999999254942,,2,,,,0,,2019-07-13 06:38:00,1203.8,,,,,2019-07-13 06:41:00,,,,,
82,open,,0,,,,,,,5.0,,2,,,,,,2019-07-13 06:42:00,1266.7,,,,,2019-07-13 06:45:00,1003.3,,,,
83,reheat,,0,,,,,,,63.5,,2,,,,0,,2019-07-13 06:45:00,1003.3,,,,,2019-07-13 07:01:00,,,,,
84,heat,4,1,41.76923076923082,,,increasing 0,72.40000000000009,1.7333333333333334,159.2000000011176,159.2000000011176,2,658.2,0,0,178,[],2019-07-14 02:15:00,585.8,2019-07-13 08:00:00,668.9,2019-07-13 07:16:00,,2019-07-14 03:59:00,658.2,,0,,
85,heat,4,1,74.63414634146342,,,increasing 1,612.0,8.2,2151.5,2151.5,2,1257.8,0,0,178,[],2019-07-14 11:50:00,645.8,2019-07-13 08:00:00,668.9,2019-07-13 07:16:00,,2019-07-14 20:02:00,1257.8,,0,,
86,open,,0,,,,,,,5.099999999627471,,2,,,,,,2019-07-15 07:31:00,1274.9,,,,,2019-07-15 07:34:00,988.2,,,,
87,reheat,,0,,,,,,,45.30000000074506,,2,,,,1,,2019-07-15 07:34:00,988.2,,,,,2019-07-15 07:46:00,,,,,
88,hold,,0,,,,,,,11.699999999254942,,2,,,,,,2019-07-15 07:46:00,1291.0,,,,,2019-07-15 07:49:00,1292.1,,,1290.6,
89,open,,0,,,,,,,1.700000001117587,,2,,,,,,2019-07-15 07:49:00,1292.1,,,,,2019-07-15 07:51:00,1017.8,,,,
90,reheat,,0,,,,,,,31.899999998509884,,2,,,,1,,2019-07-15 07:51:00,1017.8,,,,,2019-07-15 08:00:00,,,,,
91,open,,0,,,,,,,16.799999998882413,,2,,,,,,2019-07-15 08:02:00,1292.9,,,,,2019-07-15 08:12:00,793.4,,,,
92,reheat,,0,,,,,,,66.80000000074506,,2,,,,1,,2019-07-15 08:12:00,793.4,,,,,2019-07-15 08:25:00,,,,,
93,open,,0,,,,,,,31.699999999254942,,2,,,,,,2019-07-15 08:26:00,1291.1,,,,,2019-07-15 08:35:00,898.6,,,,
94,reheat,,0,,,,,,,103.5,,2,,,,0,,2019-07-15 08:35:00,898.6,,,,,2019-07-15 08:55:00,,,,,
95,hold,,0,,,,,,,60.19999999925494,,2,,,,,,2019-07-15 08:55:00,1291.1,,,,,2019-07-15 09:12:00,1278.4,,,1278.9055555555556,
96,open,,0,,,,,,,28.5,,2,,,,,,2019-07-15 09:12:00,1278.4,,,,,2019-07-15 09:23:00,990.4,,,,
97,reheat,,0,,,,,,,75.30000000074506,,2,,,,1,,2019-07-15 09:23:00,990.4,,,,,2019-07-15 09:41:00,,,,,
