,가열로번호,cycle,에너지,시작시간,종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
114,18,138,1875.7,2020-07-02 21:48:00,2020-07-03 08:23:00,38100,0.04923097110000001,1255.7,1250.6,4,127300,41000,CARBON,0,1,0,2,46200,23100,2,81100,41000,이상없음,0
115,18,27,142.0,2020-02-06 15:21:00,2020-02-06 16:09:00,2880,0.049305555599999995,1254.7,1257.4,3,111900,49100,CARBON,0,1,0,2,96200,49100,1,15700,15700,이상없음,0
116,18,131,195.3,2020-06-26 08:56:00,2020-06-26 10:02:00,3960,0.0493181818,1248.5,1248.3,4,107890,56280,CARBON,0,1,0,1,56280,56280,3,51610,26500,이상없음,0
117,18,40,299.1,2020-02-21 13:19:00,2020-02-21 15:00:00,6060,0.0493564356,1245.7,1250.7,3,145695,86615,ALLOY,1,0,0,0,0,0,3,145695,86615,이상없음,0
118,18,115,643.1,2020-06-08 09:23:00,2020-06-08 13:00:00,13020,0.0493932412,1249.8,1248.5,6,97800,24100,ALLOY,1,0,0,0,0,0,6,97800,24100,이상없음,0
119,18,96,231.7,2020-05-18 16:49:00,2020-05-18 18:07:00,4680,0.049508547,1251.3,1250.8,2,97700,60700,CARBON,0,1,0,0,0,0,2,97700,60700,이상없음,0
120,18,55,527.4,2020-03-11 22:24:00,2020-03-12 01:21:00,10620,0.04966101690000001,1237.5,1256.4,5,166400,38600,CARBON,0,1,0,5,166400,38600,0,0,0,이상없음,0
121,18,154,630.6,2020-07-21 11:30:00,2020-07-21 15:01:00,12660,0.049810426500000005,1250.6,1248.9,4,197079,110879,CARBON,0,1,0,1,66600,66600,3,130479,110879,이상없음,0
122,18,112,1252.0,2020-06-04 06:57:00,2020-06-04 13:55:00,25080,0.04992025519999999,1218.5,1248.7,3,157800,55100,CARBON,0,1,0,0,0,0,3,157800,55100,이상없음,0
123,18,161,2386.5,2020-07-28 21:44:00,2020-07-29 11:00:00,47760,0.049968593,1253.3,1249.2,2,196879,110879,CARBON,0,1,0,0,0,0,2,196879,110879,이상없음,0
124,18,4,222.0,2020-01-06 20:36:00,2020-01-06 21:50:00,4440,0.05,1256.2,1258.2,3,111050,44600,ALLOY,1,0,0,3,111050,44600,0,0,0,이상없음,0
125,18,170,984.4,2020-08-17 21:59:00,2020-08-18 03:26:00,19620,0.050173292599999995,1250.6,1248.6,3,41658,13886,CARBON,0,1,0,0,0,0,3,41658,13886,이상없음,0
