,가열로번호,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,cycle,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
133,3,398.0,11/6/2019 6:18,11/6/2019 6:59,2460,541.1,1260.8,7,94360,13480,ALLOY,1,0,0,1380,60,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,0,0,0,0,누락없음,2340,11/6/2019,야간,수,안겹침,이상없음,4,0,A,평일,0
134,4,132.9,11/5/2019 14:05,11/5/2019 14:22,1020,952.4,1254.6,6,89100,14850,ALLOY,1,0,0,15360,57,6,89100,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,89100,14850,0,0,0,0,누락없음,960,11/6/2019,주간,화,안겹침,이상없음,4,0,A,평일,0
135,6,3745.3,11/6/2019 15:15,11/7/2019 0:59,35040,333.7,1174.5,8,100100,24800,SUS,0,0,1,37080,18,0,0,0,7,75300,11800,1,24800,24800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,100100,24800,0,누락없음,34260,11/7/2019,야간,수,안겹침,이상없음,8,0,CS,평일,0
136,5,2224.9,11/6/2019 18:48,11/7/2019 0:24,20160,663.7,1255.1,7,89907,13480,ALLOY,1,0,0,1440,67,6,80880,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,89907,13480,0,0,0,0,강종누락,19800,11/7/2019,주간,수,안겹침,이상없음,7,0,A,평일,0
137,4,1102.3,11/6/2019 19:19,11/6/2019 21:03,6240,729.4,1251.2,8,88800,11100,ALLOY,1,0,0,19980,58,8,88800,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88800,11100,0,0,0,0,누락없음,5640,11/7/2019,주간,수,안겹침,이상없음,6,0,A,평일,0
138,3,954.9,11/8/2019 2:53,11/8/2019 4:46,6780,574.7,1261.8,10,83180,9410,CARBON,0,1,0,1380,62,0,0,0,10,83180,9410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,83180,9410,0,누락없음,6720,11/8/2019,야간,금,안겹침,이상없음,8,0,C,평일,0
139,5,2485.2,11/7/2019 19:17,11/8/2019 1:24,22020,707.3,1257.0,8,59120,7750,CARBON,0,1,0,2400,68,0,0,0,8,59120,7750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,59120,7750,0,누락없음,21840,11/8/2019,주간,목,안겹침,이상없음,7,0,C,평일,0
140,6,3266.6,11/8/2019 4:24,11/8/2019 10:14,21000,437.3,1255.0,8,73480,9185,CARBON,0,1,0,6480,19,0,0,0,8,73480,9185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,73480,9185,0,누락없음,20580,11/8/2019,야간,금,안겹침,이상없음,8,0,C,평일,0
141,2,1654.1,11/8/2019 7:08,11/8/2019 11:13,14700,598.5,1270.5,9,76080,11800,CARBON,0,1,0,2280,67,0,0,0,9,76080,11800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11800,11800,8,64280,8320,0,누락없음,14640,11/8/2019,야간,금,안겹침,이상없음,8,0,C,평일,0
142,5,2173.0,11/10/2019 8:07,11/10/2019 17:26,33540,659.6,1230.8,5,31990,7550,CARBON,0,1,0,87960,69,0,0,0,5,31990,7550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31990,7550,0,누락없음,-2940,11/11/2019,주간,일,겹침,이상없음,5,5,C,주말,0
