,시작온도,종료온도,시간(총),velocity,constant,prediction,error,mape
28,698.7,1256.1,8160.0,0.06830882352941174,0.07332275780045591,7602.00538988093,557.9946101190699,6.838169241655267
29,700.6,1256.5,11760.0,0.047270408163265304,0.07332275780045591,7581.547894213868,4178.452105786132,35.531055321310646
30,707.6,1256.2,7800.0,0.07033333333333333,0.0951043729719956,5768.399315997179,2031.6006840028213,26.046162615420787
31,709.9,1250.4,7200.0,0.07506944444444447,0.0951043729719956,5683.229730762807,1516.7702692371931,21.06625373940546
32,719.1,1249.8,8880.0,0.05976351351351351,0.0951043729719956,5580.1850473928225,3299.8149526071775,37.16007829512587
33,725.4,1250.2,7440.0,0.07053763440860215,0.0951043729719956,5518.147942098651,1921.8520579013493,25.83134486426545
34,727.7,1256.5,6660.0,0.0793993993993994,0.0951043729719956,5560.206996535377,1099.7930034646233,16.51340846042978
35,731.8,1252.8,4980.0,0.10461847389558233,0.0951043729719956,5478.191840383759,498.191840383759,10.003852216541345
36,736.1,1259.0,4080.0,0.12816176470588234,0.0951043729719956,5498.169891241204,1418.169891241204,34.759065961794214
37,736.6,1215.9,8160.0,0.058737745098039224,0.0951043729719956,5039.726197880876,3120.2738021191244,38.23864953577358
38,738.6,1254.9,5880.0,0.0878061224489796,0.0951043729719956,5428.772451420605,451.22754857939526,7.673937901010124
39,745.8,1256.4,6120.0,0.08343137254901963,0.0951043729719956,5368.838298848269,751.161701151731,12.27388400574724
40,747.7,1236.5,6300.0,0.07758730158730158,0.0951043729719956,5139.616452168102,1160.3835478318979,18.41878647352219
41,758.2,1258.6,2400.0,0.20849999999999994,0.0951043729719956,5261.587710034611,2861.5877100346106,119.2328212514421
42,759.5,1255.5,4860.0,0.10205761316872428,0.0951043729719956,5215.3227501542115,355.32275015421146,7.311167698646326
43,765.2,1252.6,3960.0,0.12308080808080804,0.0951043729719956,5124.895783115247,1164.8957831152466,29.41656017967794
44,765.6,1259.4,5040.0,0.0979761904761905,0.0951043729719956,5192.190270214012,152.19027021401234,3.019648218531991
45,765.8,1260.2,3480.0,0.1420689655172414,0.0951043729719956,5198.499128379522,1718.4991283795216,49.382158861480505
46,769.4,1256.5,6720.0,0.07248511904761905,0.0951043729719956,5121.741354032493,1598.2586459675067,23.7836108030879
47,770.0,1258.7,4440.0,0.11006756756756758,0.0951043729719956,5138.564975807185,698.564975807185,15.733445401062724
