수주재질,사내재질,열처리민감소재여부,열처리비고,Crack민감재질,Crack매우민감재질,11
P280GH,TW 350MLF2,,,,,해당없음
P295GH,S355NL,,,,,해당없음
P305GH,TW S355,,,,,해당없음
P355GH,TW 350LF2,,,,,해당없음
P355NH,A350LF2M,,,,,해당없음
P355QH,TW S355,,,,,해당없음
P355QH1,TW 350LF2,,,,,해당없음
Q460D,TW Q460,뭔지 모르겠음,,,,
RSF440,SF440,,,,,해당없음
RSF450,TW 350LF2,,,,,해당없음
RSF480H,TW 350LF2,,,,,해당없음
RSF520H,TW S355,,,,,해당없음
RSF560,TW SF490V,,,,,해당없음
RSF650AH,TW SCM420,,,O,,
RST37-2,TW S355,,,,,해당없음
S17MoS,,,,,,
S19R,TW S355,,,,,해당없음
S20C-N,TW S25C,,,,,해당없음
S20CrMoVS,TW S20CrMoVS,,,O,,
S235J2,S355NL,,,,,해당없음
S235JR,S355NL,,,,,해당없음
S235JRG2,S355NL,,,,,해당없음
S25C,TW S25C,,,,,해당없음
S25C-N,TW S25C,,,,,해당없음
S25Mo,,,,,,
S275 & TWSF490,TW S355,,,,,해당없음
S275JR,TW S355,,,,,해당없음
S275N,TW S355,,,,,해당없음
S275N & TWSF490,TW S355,,,,,해당없음
S30Mn,TW S30MN,,,,,해당없음
S30MnH,TW S30MN,,,,,해당없음
S32205,TW F51,,,,O,
S355G10,S355G10,,,,,해당없음
S355J0,S355NL,,,,,해당없음
S355J0-Z25,TW S355,,,,,해당없음
S355J2,A350LF2N,,,,,해당없음
S355J2+N,TW S355,,,,,해당없음
S355J2+N/EN 10025,TW S355,,,,,해당없음
S355J2+N-Z25,S355NL,,,,,해당없음
S355J2+N-Z35,S355NL,,,,,해당없음
S355J2G3,TW S355,,,,,해당없음
S355J2G3-Z35,TW S355,,,,,해당없음
S355J2N-Z25,TW S355,,,,,해당없음
S355J2-Z25,S355NL,,,,,해당없음
S355J2-Z25+N,S355NL,,,,,해당없음
S355J2-Z35,S355NL,,,,,해당없음
S355J2-Z35+N,TW S355,,,,,해당없음
S355JR+N,S355NL,,,,,해당없음
S355K2+N-Z35,TW S355,,,,,해당없음
S355N,S355NL,,,,,해당없음
S355N & TWSF520,TW S355,,,,,해당없음
S355NL,S355NL,,,,,해당없음
S355NL-Z15,S355NL,,,,,해당없음
S355NL-Z25,S355NL,,,,,해당없음
S355NL-Z25N,TW S355,,,,,해당없음
S355NL-Z35,TW S355,,,,,해당없음
S355NL-Z35N,S355NL,,,,,해당없음
S355N-Z25,S355NL,,,,,해당없음
S35C,TW S35C,,,O,,
S35C-N,TW S35C,,,O,,
S42Cr1S,42CRMO4(STW),주의 재질,,O,,
S45C,TW S45SU,,,O,,
S45C-H,TW S45SU,,,O,,
S45C-N,TW S45SU,,,O,,
S45C-QT,TW S45SU,,,O,,
S45SU,TW S45SU,,,O,,
S48C,TW S45SU,,,O,,
S55C,S55C,,,O,,
S55C-N,S55C,,,O,,
S58C,S55C,,,O,O,
SA105,SA105,,,,,해당없음
SA105 + HIC,TW 350LF2(C 0.17~20),,,,,해당없음
SA105M,SA105,,,,,해당없음
SA105M+N,TW 350LF2,,,,,해당없음
SA105MN,TW 350LF2,,,,,해당없음
SA105N,TW 350LF2,,,,,해당없음
SA181Gr60,TW S355,,,,,해당없음
SA182 S31803,TW F51,,,,O,
SA182 UNS31803,TW F51,,,,O,
SA182F1,TW F1,,,O,,
SA182F11CL1,TW F11,,,O,,
SA182F11CL2,F11,,,O,,
SA182F11CL3,TW F11,,,O,,
SA182F12CL2,F12,,,O,,
SA182F22CL1,TW F22,,,O,,
SA182F22CL2,TW F22,,,O,,
SA182F22CL3,TW F22,,,O,,
SA182F22V,TW F22V,,,O,,
SA182F304,TW F304L,,,,,해당없음
SA182F304/F304H DUAL,,,,,,
SA182F304/F304L,TW F304L,,,,,해당없음
SA182F304H,TW F304H,,,,,해당없음
SA182F304L,TW F304L,,,,,해당없음
SA182F304N,TW F304N,,,,,해당없음
SA182F310,SA965F310,,,O,,
SA182F316,TW F316L,,,O,,
SA182F316/F316L,SA336F316L,,,O,,
SA182F316H,TW F316H,,,O,,
SA182F316L,TW F316L,,,O,,
SA182F317/317L,TW F317L,,,O,,
SA182F317L,SA182F317L,,,O,,
SA182F321,TW F321H,,,O,,
SA182F321H,TW F321H,,,O,,
SA182F347,TW F347H,,,O,,
SA182F347H,SA336F347/F347H,,,O,,
SA182F44,TW F44,,,,O,
SA182F5,TW F5,주의 재질,NT 시 큰 문제 없음,O,,
SA182F51,TW F51,,,,O,
SA182F51/F60,TW F51,,,,O,
SA182F53,TW F53,,,,O,
SA182F5A,TW F5,주의 재질,NT 시 큰 문제 없음,O,,
SA182F60,TW F51,,,,O,
SA182F6A,SA182F6A M3,주의 재질,NT 시 큰 문제 없음,,O,
