순번,프레스명,작업일자,주/야간,가열로명,소재개수,중량(kg),최대중량(kg),최소홀딩시간,최대홀딩시간,시작온도,가열시작일시,가열종료일시,종료온도,소요시간(분),총가스사용량,단위가스사용량(사용량/중량)
25,프레스(P15000),2020-03-02,주간,가열로20호기,4,174085,86615,28,0,-,2020-02-29 07:09,2020-03-02 11:23,-,3134,10489.2,60.3
26,프레스(P5000),2020-03-03,야간,가열로2호기,7,103950,14850,12,13,-,2020-03-03 04:45,2020-03-04 02:06,-,1281,5168.6,49.7
27,프레스(P5000),2020-03-03,야간,가열로3호기,3,38600,17100,12,13,-,2020-03-03 05:08,2020-03-04 05:12,-,1444,4552.5,117.9
28,프레스(P5000),2020-03-03,주간,가열로4호기,8,121050,17100,12,13,-,2020-03-02 08:56,2020-03-03 15:09,-,1813,8777,72.5
29,프레스(P5000),2020-03-03,주간,가열로5호기,3,42090,17100,12,13,-,2020-03-02 19:58,2020-03-03 19:12,-,1394,4220.9,100.3
30,프레스(P15000),2020-03-03,야간,가열로6호기,6,92220,32200,12,13,-,2020-03-03 03:58,2020-03-03 23:19,-,1161,7923.3,85.9
31,링밀(R/M 9500),2020-03-03,주간,가열로7호기,6,53460,10670,4,10,-,2020-03-03 04:10,2020-03-03 19:47,-,937,1343.8,25.1
32,프레스(P15000),2020-03-03,주간,가열로8호기,2,22065,11395,12,0,-,2020-03-02 21:37,2020-03-03 15:11,-,1054,1851.9,83.9
33,링밀(R/M 9500),2020-03-03,주간,가열로9호기,24,69420,3070,4,10,-,2020-03-02 22:45,2020-03-03 13:35,-,890,2486.6,35.8
34,링밀(R/M 9500),2020-03-03,야간,가열로9호기,14,58210,6180,4,10,-,2020-03-03 13:35,2020-03-04 11:48,-,1333,3764.6,64.7
35,링밀(R/M 9500),2020-03-03,주간,가열로10호기,18,70020,5070,4,10,-,2020-03-02 00:00,2020-03-04 00:00,-,2880,-,0
36,링밀(R/M 9500),2020-03-03,야간,가열로10호기,5,53350,10670,4,10,-,2020-03-02 00:00,2020-03-04 00:00,-,2880,-,0
37,링밀(R/M 9500),2020-03-03,주간,가열로11호기,7,60550,8650,4,10,-,2020-03-02 00:00,2020-03-04 00:00,-,2880,-,0
38,링밀(R/M 9500),2020-03-03,야간,가열로11호기,13,50840,6180,4,10,-,2020-03-02 00:00,2020-03-04 00:00,-,2880,-,0
39,프레스(P8000),2020-03-03,주간,가열로12호기,20,59842.3,5840,7.5,7.5,-,2020-03-02 11:55,2020-03-03 11:15,-,1400,4094,68.4
40,프레스(P15000),2020-03-03,야간,가열로13호기,1,67500,67500,10,0,-,2020-03-03 07:31,2020-03-04 07:31,-,1440,5872,87
41,프레스(P8000),2020-03-03,야간,가열로14호기,17,73540.7,6456,7.5,7.5,-,2020-03-03 07:17,2020-03-04 07:09,-,1432,4004.3,54.5
42,프레스(P8000),2020-03-03,주간,가열로15호기,22,75635.2,5840,7.5,7.5,-,2020-03-02 19:34,2020-03-03 19:14,-,1420,3869.4,51.2
43,프레스(P8000),2020-03-03,야간,가열로16호기,24,62967.2,2870,7.5,7.5,-,2020-03-03 01:26,2020-03-03 23:08,-,1302,3237,51.4
44,프레스(P15000),2020-03-03,주간,가열로17호기,2,73000,36500,6,0,-,2020-03-03 05:53,2020-03-03 18:31,-,758,3026.4,41.5
45,프레스(P15000),2020-03-03,주간,가열로18호기,6,125030,61600,12,0,-,2020-03-02 17:06,2020-03-03 14:04,-,1258,5667.1,45.3
46,프레스(P15000),2020-03-03,야간,가열로20호기,4,148200,61600,25,0,-,2020-03-02 18:03,2020-03-04 04:30,-,2067,9430.3,63.6
47,프레스(P5000),2020-03-04,야간,가열로1호기,4,32960,8240,12,13,-,2020-03-04 02:30,2020-03-05 06:36,-,1686,4429.5,134.4
48,프레스(P5000),2020-03-04,야간,가열로2호기,6,89100,14850,12,13,-,2020-03-04 02:30,2020-03-04 23:28,-,1258,4460.3,50.1
49,프레스(P5000),2020-03-04,야간,가열로3호기,7,94360,13480,12,13,-,2020-03-04 05:28,2020-03-05 03:27,-,1319,4460.9,47.3
50,프레스(P5000),2020-03-04,주간,가열로4호기,9,113820,14850,12,13,-,2020-03-03 15:35,2020-03-04 14:15,-,1360,5086.9,44.7
51,프레스(P5000),2020-03-04,주간,가열로5호기,8,102600,13480,12,13,-,2020-03-03 19:12,2020-03-04 16:56,-,1304,5633.5,54.9
52,프레스(P15000),2020-03-04,야간,가열로6호기,7,109440,19920,12,0,-,2020-03-03 23:28,2020-03-05 01:01,-,1533,9415.1,86
53,링밀(R/M 9500),2020-03-04,주간,가열로7호기,18,46890,3230,4,10,-,2020-03-03 20:38,2020-03-04 15:22,-,1124,1312.2,28
54,링밀(R/M 9500),2020-03-04,야간,가열로7호기,4,31810,8240,4,10,-,2020-03-04 15:27,2020-03-05 10:11,-,1124,1548.9,48.7
55,링밀(R/M 9500),2020-03-04,주간,가열로8호기,8,21920,2740,4,10,-,2020-03-04 08:40,2020-03-05 11:26,-,1606,2594.3,118.4
56,링밀(R/M 9500),2020-03-04,주간,가열로9호기,2,19520,9760,4,10,-,2020-03-04 11:58,2020-03-04 22:10,-,612,2001.8,102.6
57,링밀(R/M 9500),2020-03-04,야간,가열로9호기,1,20500,20500,4,10,-,2020-03-04 22:14,2020-03-05 22:03,-,1429,3501.5,170.8
58,링밀(R/M 9500),2020-03-04,주간,가열로10호기,7,48160,6880,4,10,-,2020-03-03 00:00,2020-03-05 00:00,-,2880,-,0
59,링밀(R/M 9500),2020-03-04,주간,가열로11호기,10,28460,3230,4,10,-,2020-03-03 00:00,2020-03-05 00:00,-,2880,-,0
60,프레스(P8000),2020-03-04,주간,가열로12호기,21,64693.9,5840,7.5,7.5,-,2020-03-03 11:40,2020-03-04 11:23,-,1423,4485.7,69.3
61,프레스(P15000),2020-03-04,야간,가열로13호기,1,67500,67500,12,0,-,2020-03-04 07:31,2020-03-04 21:41,-,850,3008.6,44.6
62,프레스(P8000),2020-03-04,야간,가열로14호기,20,77417.1,4219,7.5,7.5,-,2020-03-04 07:31,2020-03-05 06:40,-,1389,3870.6,50
63,프레스(P8000),2020-03-04,주간,가열로15호기,20,74772.4,6456,7.5,7.5,-,2020-03-03 19:44,2020-03-04 19:11,-,1407,3680.3,49.2
64,프레스(P8000),2020-03-04,야간,가열로16호기,23,67522,5399,7.5,7.5,-,2020-03-03 23:16,2020-03-04 00:58,-,102,187.6,2.8
65,프레스(P15000),2020-03-04,주간,가열로17호기,6,82640,15700,12,0,-,2020-03-03 18:55,2020-03-04 13:50,-,1135,5751,69.6
66,프레스(P15000),2020-03-04,주간,가열로18호기,3,108600,61600,26,0,-,2020-03-03 14:04,2020-03-04 15:29,-,1525,5346,49.2
67,프레스(P15000),2020-03-04,야간,가열로20호기,4,88100,32200,12,0,-,2020-03-04 04:48,2020-03-05 05:36,-,1488,6102.6,69.3
68,프레스(P5000),2020-03-05,야간,가열로1호기,7,56330,8240,12,13,-,2020-03-05 06:50,2020-03-06 06:40,-,1430,3451.5,61.3
69,프레스(P5000),2020-03-05,야간,가열로2호기,8,96460,13480,12,13,-,2020-03-05 03:35,2020-03-06 03:26,-,1431,5350.5,55.5
70,프레스(P5000),2020-03-05,야간,가열로3호기,7,100950,20350,12,13,-,2020-03-05 05:21,2020-03-06 09:57,-,1716,4803.7,47.6
71,프레스(P5000),2020-03-05,주간,가열로4호기,5,83500,20350,12,13,-,2020-03-04 14:16,2020-03-05 15:10,-,1494,4342.1,52
72,프레스(P5000),2020-03-05,주간,가열로5호기,6,80880,13480,12,13,-,2020-03-04 19:02,2020-03-05 19:08,-,1446,6007.8,74.3
73,프레스(P15000),2020-03-05,야간,가열로6호기,6,100680,19920,12,12,-,2020-03-05 01:14,2020-03-06 01:58,-,1484,9365.7,93
74,링밀(R/M 9500),2020-03-05,야간,가열로7호기,3,39040,15400,4,10,-,2020-03-05 10:23,2020-03-05 22:20,-,717,1313.7,33.7
75,프레스(P15000),2020-03-05,주간,가열로8호기,2,25000,12500,12,12,-,2020-03-05 11:31,2020-03-05 21:44,-,613,903.7,36.1
76,프레스(P15000),2020-03-05,야간,가열로8호기,2,25000,12500,6,6,-,2020-03-05 21:45,2020-03-06 07:52,-,607,840.4,33.6
77,링밀(R/M 9500),2020-03-05,야간,가열로9호기,3,15360,5440,4,10,-,2020-03-05 22:12,2020-03-05 22:03,-,-9,0,0
78,링밀(R/M 9500),2020-03-05,야간,가열로10호기,23,98600,12840,4,10,-,2020-03-04 00:00,2020-03-06 00:00,-,2880,-,0
79,링밀(R/M 9500),2020-03-05,야간,가열로11호기,15,52840,4510,4,10,-,2020-03-04 00:00,2020-03-06 00:00,-,2880,-,0
80,프레스(P8000),2020-03-05,주간,가열로12호기,20,42537.8,2196,7.5,7.5,-,2020-03-04 11:42,2020-03-05 11:07,-,1405,4271.8,100.4
81,프레스(P15000),2020-03-05,야간,가열로13호기,1,67500,67500,8,8,-,2020-03-04 21:41,2020-03-06 04:40,-,1859,7411.2,109.8
82,프레스(P8000),2020-03-05,야간,가열로14호기,23,70880.1,6153,7.5,7.5,-,2020-03-05 07:09,2020-03-06 07:12,-,1443,4310.9,60.8
83,프레스(P8000),2020-03-05,주간,가열로15호기,25,72363,6153,7.5,7.5,-,2020-03-04 19:30,2020-03-05 19:02,-,1412,3678.9,50.8
84,프레스(P8000),2020-03-05,야간,가열로16호기,25,69912.3,5067,7.5,7.5,-,2020-03-04 01:18,2020-03-05 00:57,-,1419,3337.1,47.7
85,프레스(P15000),2020-03-05,주간,가열로17호기,5,109720,38100,18,18,-,2020-03-04 16:07,2020-03-05 18:02,-,1555,8746.6,79.7
86,프레스(P15000),2020-03-05,주간,가열로18호기,8,127750,32200,12,12,-,2020-03-04 15:42,2020-03-05 15:34,-,1432,8078.3,63.2
87,프레스(P15000),2020-03-05,야간,가열로20호기,4,111500,36200,12,12,-,2020-03-05 05:45,2020-03-06 07:45,-,1560,7408.3,66.4
88,프레스(P5000),2020-03-06,야간,가열로1호기,1,13970,13970,12,12,-,2020-03-06 06:45,2020-03-07 05:54,-,1389,2324.1,166.4
89,프레스(P5000),2020-03-06,야간,가열로2호기,8,88800,11100,12,13,-,2020-03-06 04:00,2020-03-06 23:33,-,1173,4287.7,48.3
90,프레스(P5000),2020-03-06,주간,가열로3호기,6,80600,14600,12,13,-,2020-03-06 14:43,2020-03-07 19:36,-,1733,2741.1,34
91,프레스(P5000),2020-03-06,야간,가열로3호기,6,80600,14600,12,13,-,2020-03-06 19:38,2020-03-07 03:33,-,475,1456.5,18.1
92,프레스(P5000),2020-03-06,주간,가열로4호기,8,84240,10530,12,13,-,2020-03-05 15:16,2020-03-06 16:48,-,1532,5484.8,65.1
93,프레스(P15000),2020-03-06,야간,가열로6호기,6,76240,12810,12,12,-,2020-03-06 02:10,2020-03-07 06:24,-,1694,8746.5,114.7
94,링밀(R/M 9500),2020-03-06,주간,가열로7호기,19,72210,7790,4,10,-,2020-03-05 22:39,2020-03-07 04:32,-,1793,2723.5,37.7
95,프레스(P15000),2020-03-06,주간,가열로8호기,2,21000,10500,6,6,-,2020-03-06 07:52,2020-03-06 08:29,-,37,42.9,2
96,링밀(R/M 9500),2020-03-06,주간,가열로9호기,21,54270,2970,4,10,-,2020-03-05 22:12,2020-03-06 13:20,-,908,2484,45.8
97,링밀(R/M 9500),2020-03-06,야간,가열로9호기,18,56240,5120,4,10,-,2020-03-06 13:21,2020-03-07 04:17,-,896,2507.6,44.6
98,링밀(R/M 9500),2020-03-06,주간,가열로10호기,11,76410,19100,4,10,-,2020-03-05 00:00,2020-03-07 00:00,-,2880,-,0
99,링밀(R/M 9500),2020-03-06,야간,가열로10호기,3,55925,19920,4,10,-,2020-03-05 00:00,2020-03-07 00:00,-,2880,-,0
100,링밀(R/M 9500),2020-03-06,주간,가열로11호기,4,79680,19920,4,10,-,2020-03-05 00:00,2020-03-07 00:00,-,2880,-,0
101,링밀(R/M 9500),2020-03-06,야간,가열로11호기,3,48255,16085,4,10,-,2020-03-05 00:00,2020-03-07 00:00,-,2880,-,0
102,프레스(P8000),2020-03-06,주간,가열로12호기,26,71327.4,4697,7.5,7.5,-,2020-03-05 11:45,2020-03-06 11:08,-,1403,4507.4,63.2
103,프레스(P15000),2020-03-06,야간,가열로13호기,6,111850,19920,6,6,-,2020-03-06 05:09,2020-03-06 19:07,-,838,6177.4,55.2
104,링밀(R/M 9500),2020-03-06,야간,가열로13호기,2,39840,19920,4,10,-,2020-03-05 00:00,2020-03-07 00:00,-,2880,-,0
105,프레스(P8000),2020-03-06,야간,가열로14호기,20,77923.8,4697,7.5,7.5,-,2020-03-06 07:38,2020-03-07 07:27,-,1429,3507.6,45
106,프레스(P8000),2020-03-06,주간,가열로15호기,26,79429,4697,7.5,7.5,-,2020-03-05 19:51,2020-03-06 18:58,-,1387,3731.3,47
107,프레스(P8000),2020-03-06,야간,가열로16호기,25,72152.1,4376,7.5,7.5,-,2020-03-05 01:29,2020-03-06 00:58,-,1409,3488.2,48.3
108,프레스(P15000),2020-03-06,주간,가열로17호기,4,113680,36200,12,12,-,2020-03-05 18:12,2020-03-06 18:15,-,1443,8114.6,71.4
109,프레스(P15000),2020-03-06,야간,가열로17호기,2,66680,36200,6,6,-,2020-03-06 18:15,2020-03-07 05:37,-,682,3887.7,58.3
110,프레스(P15000),2020-03-06,주간,가열로18호기,5,77985,22000,12,12,-,2020-03-05 16:00,2020-03-06 16:27,-,1467,7502.9,96.2
111,프레스(P15000),2020-03-06,야간,가열로18호기,3,69000,23500,6,6,-,2020-03-06 16:27,2020-03-06 22:44,-,377,1793.2,26
112,프레스(P5000),2020-03-09,야간,가열로1호기,7,57050,8250,12,12,-,2020-03-07 07:00,2020-03-10 06:34,-,4294,5196,91.1
113,프레스(P5000),2020-03-09,주간,가열로2호기,11,96380,14270,12,13,-,2020-03-07 07:00,2020-03-09 17:07,-,3487,7776.7,80.7
114,프레스(P5000),2020-03-09,주간,가열로3호기,8,76432,9554,12,13,-,2020-03-07 07:00,2020-03-09 11:08,-,3128,6014.7,78.7
115,프레스(P5000),2020-03-09,야간,가열로4호기,6,57324,9554,12,13,-,2020-03-07 07:00,2020-03-09 21:42,-,3762,5534.5,96.5
116,프레스(P15000),2020-03-09,주간,가열로6호기,6,91400,24000,12,12,-,2020-03-07 07:00,2020-03-09 15:47,-,3407,7418.8,81.2
117,프레스(P15000),2020-03-09,야간,가열로6호기,5,52100,24000,6,6,-,2020-03-09 15:47,2020-03-10 05:33,-,826,3017.5,57.9
118,프레스(P15000),2020-03-09,주간,가열로7호기,4,28100,7050,10,10,-,2020-03-07 07:00,2020-03-09 11:27,-,3147,2894.1,103
119,링밀(R/M 9500),2020-03-09,야간,가열로7호기,19,82820,5120,4,10,-,2020-03-09 11:35,2020-03-10 00:00,-,745,1333.2,16.1
120,프레스(P8000),2020-03-09,야간,가열로8호기,19,67681,4219,7.5,7.5,-,2020-03-08 20:14,2020-03-09 23:17,-,1623,4046,59.8
121,링밀(R/M 9500),2020-03-09,야간,가열로9호기,15,109690,30480,4,10,-,2020-03-09 07:46,2020-03-10 00:00,-,974,4117.6,37.5
122,링밀(R/M 9500),2020-03-09,주간,가열로10호기,15,89230,6690,4,10,-,2020-03-08 00:00,2020-03-10 00:00,-,2880,-,0
123,링밀(R/M 9500),2020-03-09,야간,가열로10호기,10,45100,4510,4,10,-,2020-03-08 00:00,2020-03-10 00:00,-,2880,-,0
124,링밀(R/M 9500),2020-03-09,주간,가열로11호기,24,57475,3510,4,10,-,2020-03-08 00:00,2020-03-10 00:00,-,2880,-,0
125,링밀(R/M 9500),2020-03-09,야간,가열로11호기,18,72670,8250,4,10,-,2020-03-08 00:00,2020-03-10 00:00,-,2880,-,0
126,프레스(P15000),2020-03-09,주간,가열로13호기,1,67500,67500,12,12,-,2020-03-07 07:00,2020-03-09 20:00,-,3660,12222.2,181.1
127,프레스(P15000),2020-03-09,야간,가열로13호기,1,30480,30480,6,6,-,2020-03-09 20:00,2020-03-10 02:21,-,381,1675.1,55
128,프레스(P8000),2020-03-09,주간,가열로14호기,25,77549.6,4376,7.5,7.5,-,2020-03-08 09:33,2020-03-09 18:52,-,1999,4606.4,59.4
129,프레스(P8000),2020-03-09,야간,가열로15호기,22,82597.3,4837,7.5,7.5,-,2020-03-08 18:54,2020-03-10 07:02,-,2168,5476.6,66.3
130,프레스(P8000),2020-03-09,주간,가열로16호기,16,74906,4697,7.5,7.5,-,2020-03-06 01:21,2020-03-06 23:04,-,1303,3245.8,43.3
131,프레스(P15000),2020-03-09,야간,가열로18호기,3,50600,32200,12,12,-,2020-03-09 11:07,2020-03-10 02:48,-,941,6933.7,137
132,프레스(P15000),2020-03-09,주간,가열로19호기,5,153700,45100,18,18,-,2020-03-05 16:47,2020-03-09 19:04,-,5897,11337.1,73.8
133,프레스(P5000),2020-03-09,야간,가열로19호기,3,60800,21600,12,13,-,2020-03-07 07:00,2020-03-10 00:00,-,3900,-,0
134,프레스(P15000),2020-03-09,야간,가열로20호기,6,135250,28850,12,12,-,2020-03-07 08:44,2020-03-10 06:53,-,4209,9691.6,71.7
135,프레스(P5000),2020-03-10,야간,가열로1호기,6,39795,8611,12,13,-,2020-03-10 06:40,2020-03-11 05:36,-,1376,3036.6,76.3
136,프레스(P5000),2020-03-10,주간,가열로2호기,4,36300,11000,12,13,-,2020-03-09 18:00,2020-03-10 18:40,-,1480,4165,114.7
137,프레스(P5000),2020-03-10,주간,가열로3호기,7,103950,14850,12,13,-,2020-03-09 15:05,2020-03-10 15:08,-,1443,5878.9,56.6
138,프레스(P5000),2020-03-10,야간,가열로4호기,8,111850,14850,12,13,-,2020-03-09 22:55,2020-03-11 02:05,-,1630,5999.2,53.6
139,링밀(R/M 9500),2020-03-10,주간,가열로7호기,16,58680,5190,4,10,-,2020-03-09 00:00,2020-03-10 16:01,-,2401,3825.3,65.2
140,링밀(R/M 9500),2020-03-10,야간,가열로7호기,17,81560,5440,4,10,-,2020-03-10 16:18,2020-03-11 05:20,-,782,1288.4,15.8
141,프레스(P8000),2020-03-10,야간,가열로8호기,19,57840,4378,7.5,7.5,-,2020-03-09 23:35,2020-03-10 20:22,-,1247,2801.1,48.4
142,링밀(R/M 9500),2020-03-10,주간,가열로9호기,35,139560,4780,4,10,-,2020-03-09 00:00,2020-03-10 20:57,-,2697,8267.7,59.2
143,링밀(R/M 9500),2020-03-10,야간,가열로9호기,5,17100,4770,4,10,-,2020-03-09 00:00,2020-03-11 00:00,-,2880,-,0
144,링밀(R/M 9500),2020-03-10,주간,가열로10호기,17,50050,3180,4,10,-,2020-03-09 00:00,2020-03-11 00:00,-,2880,-,0
145,링밀(R/M 9500),2020-03-10,야간,가열로10호기,13,66940,7090,4,10,-,2020-03-09 00:00,2020-03-11 00:00,-,2880,-,0
146,링밀(R/M 9500),2020-03-10,주간,가열로11호기,11,65200,8250,4,10,-,2020-03-09 00:00,2020-03-11 00:00,-,2880,-,0
147,링밀(R/M 9500),2020-03-10,야간,가열로11호기,33,117140,9810,4,10,-,2020-03-09 00:00,2020-03-11 00:00,-,2880,-,0
148,프레스(P15000),2020-03-10,주간,가열로13호기,17,79020,5370,6,12,-,2020-03-10 02:21,2020-03-10 03:29,-,68,0,0
149,프레스(P15000),2020-03-10,야간,가열로13호기,30,67286,4970,6,12,-,2020-03-10 03:29,2020-03-11 07:46,-,1697,14905.2,221.5
150,프레스(P8000),2020-03-10,주간,가열로14호기,20,57939.6,2733,7.5,7.5,-,2020-03-09 19:33,2020-03-10 19:08,-,1415,3864.7,66.7
151,프레스(P8000),2020-03-10,야간,가열로15호기,14,54078,5067,7.5,7.5,-,2020-03-10 07:18,2020-03-11 06:36,-,1398,4277,79.1
152,프레스(P8000),2020-03-10,주간,가열로16호기,17,72284.6,4378,7.5,7.5,-,2020-03-08 07:19,2020-03-09 13:44,-,1825,4644.7,64.3
153,프레스(P15000),2020-03-10,주간,가열로17호기,3,193323,173703,44,66,-,2020-03-07 05:37,2020-03-10 13:02,-,4765,20025.3,103.6
154,프레스(P15000),2020-03-10,주간,가열로18호기,3,50600,32200,8,0,-,2020-03-10 02:48,2020-03-10 17:59,-,911,4592,90.8
155,프레스(P15000),2020-03-10,주간,가열로19호기,4,189900,49600,20,35,-,2020-03-09 21:47,2020-03-10 16:41,-,1134,5490.5,28.9
156,프레스(P15000),2020-03-10,야간,가열로19호기,3,146800,49600,12,13,-,2020-03-10 16:41,2020-03-11 03:40,-,659,1979.6,13.5
157,프레스(P5000),2020-03-11,주간,가열로2호기,7,94360,13480,12,12,-,2020-03-10 19:05,2020-03-11 21:09,-,1564,4799.8,50.9
158,프레스(P5000),2020-03-11,주간,가열로3호기,6,89100,14850,12,12,-,2020-03-10 15:45,2020-03-11 14:28,-,1363,5148.1,57.8
159,프레스(P5000),2020-03-11,야간,가열로4호기,7,111200,22100,12,13,-,2020-03-11 02:07,2020-03-12 02:19,-,1452,4554.8,41
160,프레스(P5000),2020-03-11,야간,가열로5호기,7,94360,13480,12,13,-,2020-03-10 20:20,2020-03-12 07:00,-,2080,11933.5,126.5
161,프레스(P5000),2020-03-11,주간,가열로6호기,2,43200,22100,12,12,-,2020-03-10 19:00,2020-03-11 00:00,-,300,-,0
162,프레스(P15000),2020-03-11,야간,가열로6호기,1,27350,27350,15,15,-,2020-03-10 07:00,2020-03-12 04:01,-,2701,9910.1,362.3
163,링밀(R/M 9500),2020-03-11,주간,가열로7호기,25,84180,7090,4,10,-,2020-03-11 05:23,2020-03-11 16:21,-,658,934.1,11.1
164,링밀(R/M 9500),2020-03-11,야간,가열로7호기,6,47900,9810,4,10,-,2020-03-11 16:22,2020-03-12 02:28,-,606,788.9,16.5
165,프레스(P8000),2020-03-11,야간,가열로8호기,19,86779,6456,7.5,7.5,-,2020-03-10 20:23,2020-03-10 22:45,-,142,207,2.4
166,링밀(R/M 9500),2020-03-11,주간,가열로9호기,20,53350,5120,4,10,-,2020-03-10 00:00,2020-03-12 00:00,-,2880,-,0
167,링밀(R/M 9500),2020-03-11,야간,가열로9호기,1,23000,23000,4,10,-,2020-03-10 00:00,2020-03-12 00:00,-,2880,-,0
168,링밀(R/M 9500),2020-03-11,주간,가열로10호기,24,78040,5240,4,10,-,2020-03-10 00:00,2020-03-12 00:00,-,2880,-,0
169,링밀(R/M 9500),2020-03-11,야간,가열로10호기,23,84710,6690,4,10,-,2020-03-10 00:00,2020-03-12 00:00,-,2880,-,0
170,링밀(R/M 9500),2020-03-11,주간,가열로11호기,7,22480,5440,4,10,-,2020-03-10 00:00,2020-03-12 00:00,-,2880,-,0
171,링밀(R/M 9500),2020-03-11,야간,가열로11호기,18,67460,4470,4,10,-,2020-03-10 00:00,2020-03-12 00:00,-,2880,-,0
172,프레스(P15000),2020-03-11,주간,가열로13호기,11,102140,12810,6,6,-,2020-03-10 07:59,2020-03-11 16:09,-,1930,14797.6,144.9
173,프레스(P15000),2020-03-11,야간,가열로13호기,11,102140,12810,6,6,-,2020-03-11 16:09,2020-03-12 02:45,-,636,2447.1,24
174,프레스(P8000),2020-03-11,주간,가열로14호기,21,82581.4,6456,7.5,7.5,-,2020-03-10 19:27,2020-03-11 19:01,-,1414,3684.3,44.6
175,프레스(P8000),2020-03-11,야간,가열로15호기,26,67683.1,3423,7.5,7.5,-,2020-03-11 07:21,2020-03-12 07:39,-,1458,3852.8,56.9
176,프레스(P8000),2020-03-11,주간,가열로16호기,22,78221.6,4775,7.5,7.5,-,2020-03-09 14:00,2020-03-10 13:02,-,1382,3623.6,46.3
177,프레스(P15000),2020-03-11,주간,가열로17호기,1,173703,173703,12,12,-,2020-03-10 14:20,2020-03-11 08:59,-,1119,3664.7,21.1
178,프레스(P15000),2020-03-11,주간,가열로18호기,6,189400,38600,20,20,-,2020-03-10 18:17,2020-03-11 15:38,-,1281,6204.4,32.8
