,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
57,1654.1,14700,14640,598.5,0,0,0,9,76080,11800,0,0,0,0,0,0,0,0,0,0,0,0,9,76080,11800,0,0,0,2,14360,7180,7,61720,11800,2280,0,누락없음,2,2019-11-08,야간,2019-11-08 7:08,금,안겹침,1,8,0,C,평일,0
58,3412.9,155340,79680,648.7,0,0,0,6,38180,8790,0,0,0,0,0,0,0,0,0,0,0,0,6,38180,8790,0,0,0,4,26180,8790,2,12000,6000,21120,0,누락없음,2,2019-11-11,야간,2019-11-09 11:16,토,안겹침,0,9,0,C,주말,0
59,2254.4,19080,15600,552.0,6,89100,14850,1,23100,23100,0,0,0,0,0,0,0,0,0,0,0,0,7,112200,23100,0,0,0,7,112200,23100,0,0,0,65160,3,누락없음,2,2019-11-13,야간,2019-11-13 0:19,수,안겹침,0,6,0,AC,평일,0
60,842.1,5640,5580,528.7,8,88800,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88800,11100,0,0,0,8,88800,11100,0,0,0,6840,0,누락없음,2,2019-11-14,야간,2019-11-14 3:44,목,안겹침,0,7,0,A,평일,0
61,671.6,8460,4860,847.2,8,76432,9554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,76432,9554,0,0,0,8,76432,9554,0,0,0,15060,1,누락없음,2,2019-11-15,야간,2019-11-15 3:37,금,겹침,0,8,2,A,평일,0
62,4030.4,87360,76500,449.2,1,8900,8900,8,68090,9410,0,0,0,0,0,0,0,0,0,0,0,0,9,76990,9410,0,0,0,1,8900,8900,8,68090,9410,74580,0,누락없음,2,2019-11-18,주간,2019-11-16 19:21,토,안겹침,0,8,0,AC,주말,0
63,2370.0,32940,31260,665.9,0,0,0,9,87680,9940,0,0,0,0,0,0,0,0,0,0,0,0,9,87680,9940,0,0,0,0,0,0,9,87680,9940,2880,0,누락없음,2,2019-11-19,주간,2019-11-18 18:44,월,안겹침,0,9,0,C,평일,0
64,1331.9,8580,8460,661.5,9,115420,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,115420,13480,0,0,0,9,115420,13480,0,0,0,1560,0,누락없음,2,2019-11-20,주간,2019-11-19 19:22,화,안겹침,0,9,0,A,평일,0
65,1074.8,6900,6840,639.8,2,19108,9554,8,80000,16870,0,0,0,0,0,0,1,10100,10100,0,0,0,11,109208,16870,1,10100,10100,4,52848,16870,7,56360,10100,2100,0,누락없음,2,2019-11-21,주간,2019-11-20 20:26,수,겹침,1,9,2,AC,평일,0
66,465.0,3300,3240,682.6,2,21970,12750,9,60810,7940,0,0,0,0,0,0,0,0,0,0,0,0,11,82780,12750,0,0,0,4,28970,12750,7,53810,7940,1260,0,누락없음,2,2019-11-22,주간,2019-11-21 19:30,목,안겹침,0,11,0,AC,평일,0
