,가열로 번호,cycle,시작시간,종료시간,가스사용량,Type,소재 list,작업일자,주/야간,평일/주말,in,out,STATUS,drop_flag,gradient,part_types,temp diff,time diff,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,종료온도,최종 가열시작 온도,평균온도
23,4,21.0,2020-03-31 19:26:00,2020-03-31 20:04:00,258.59999999962747,heat,"['200212-15045-006', '200212-15045-006', '191031-19581-004']",,,,,,OK,0.0,420.9473684210527,increasing 0,266.6,0.6333333333333333,1258.5,2020-03-31 19:26:00,0.0,0.0,991.9,2020-03-31 19:27:00,1006.7,2020-03-31 18:28:00,1258.5,991.9,
24,4,22.0,2020-04-01 19:45:00,2020-04-01 22:09:00,1542.4000000003725,heat,"['190614-19581-007', '190905-19234-094', '190905-19234-094', '190905-19234-095', '190905-19234-095', '200217-15226-127', '200314-19004-001', '200314-19004-002']",,,,,,OK,0.0,243.83333333333337,increasing 0,585.2,2.4,1258.4,0,0.0,1.0,673.2,2020-04-01 19:45:00,673.2,2020-04-01 18:05:00,1258.4,0.0,
25,4,23.0,2020-04-02 19:32:00,2020-04-02 20:02:00,164.40000000037253,heat,"['200217-15226-094', '200212-14730-036', '200212-14730-061', '200212-14730-053']",,,,,,OK,0.0,210.0,increasing 0,105.0,0.5,1250.2,0,0.0,8.0,1145.2,2020-04-02 19:22:00,952.6,2020-04-02 17:58:00,1250.2,0.0,
26,4,24.0,2020-04-03 16:13:00,2020-04-03 18:00:00,1048.2999999988824,heat,"['190905-19234-106', '190905-19234-107', '190905-19234-107', '200324-12084-001', '190905-19234-106', '200217-15226-127', '200324-12084-002']",,,,,,OK,0.0,318.05607476635515,increasing 0,567.1999999999998,1.7833333333333334,1248.6,0,0.0,1.0,681.4,2020-04-03 16:13:00,681.4,2020-04-03 13:51:00,1248.6,0.0,
27,4,25.0,2020-04-06 08:11:00,2020-04-06 12:29:00,2440.7999999988824,heat,"['200401-19234-008', '200401-19234-008', '200401-19234-009', '200401-19234-009', '200401-19234-010', '200401-19234-010', '200313-19095-006', '200313-19095-007', '200305-15133-001']",,,,,,OK,0.0,211.46511627906975,increasing 0,909.3,4.3,1270.5,0,0.0,7.0,361.2,2020-04-06 07:20:00,350.2,2020-04-04 12:58:00,1270.5,0.0,
28,4,26.0,2020-04-07 06:51:00,2020-04-07 07:10:00,161.7999999988824,heat,"['200217-12333-001', '200217-12333-001', '200212-15045-006', '200212-15045-006']",,,,,,OK,0.0,935.3684210526313,increasing 0,296.19999999999993,0.31666666666666665,1255.1,2020-04-07 06:51:00,0.0,1.0,958.9,2020-04-07 06:49:00,938.1,2020-04-06 19:10:00,1255.1,958.9,
29,4,27.0,2020-04-08 06:52:00,2020-04-08 08:13:00,821.8000000007451,heat,"['200204-19180-686', '200204-19180-685', '200204-19180-687', '200204-19180-688', '200204-19180-690', '200204-19180-691', '200204-19180-689']",,,,,,OK,0.0,367.4074074074074,increasing 0,496.0,1.35,1255.5,0,0.0,8.0,759.5,2020-04-08 06:52:00,759.5,2020-04-08 06:20:00,1255.5,0.0,
30,4,28.0,2020-04-09 07:08:00,2020-04-09 08:54:00,1060.8999999985099,heat,"['200302-19581-002', '200302-19581-002', '200313-19095-012', '200319-19004-002', '190122-19915-024', '200319-19004-001']",,,,,,DOOR OPENED WHILE HEATING,0.0,350.09433962264154,increasing 0,618.5,1.7666666666666666,1255.7,2020-04-09 07:27:00,1.0,15.0,637.2,2020-04-09 07:08:00,637.2,2020-04-09 06:02:00,1255.7,773.1,
31,4,29.0,2020-04-10 02:54:00,2020-04-10 05:55:00,1607.9000000003725,heat,"['200401-99010-001', '200312-99914-010', '200312-99914-010', '200312-99914-010', '200312-99914-010', '200312-99914-010', '200312-99914-010', '200312-99914-016', '200312-99914-016', '200312-99914-016']",,,,,,DOOR OPENED WHILE HEATING,0.0,156.09944751381212,increasing 0,470.8999999999999,3.0166666666666666,1201.1,2020-04-10 04:28:00,2.0,23.0,730.2,2020-04-10 02:54:00,730.2,2020-04-10 02:19:00,1201.1,734.3,
32,4,30.0,2020-04-13 08:44:00,2020-04-13 10:34:00,1275.9000000003725,heat,"['200204-19180-698', '200204-19180-697', '200204-19180-696', '200204-19180-695', '200204-19180-694', '200204-19180-693', '200204-19180-692']",,,,,,GAS OFF/TEMP OFF,1.0,250.91791443849988,increasing 0,460.0161764705831,1.8333333333333333,1258.0,2020-04-13 08:44:00,0.0,1.0,797.9838235294168,2020-04-13 08:45:00,800.4558823529463,2020-04-10 21:50:00,1258.0,797.9838235294168,
33,4,31.0,2020-04-14 14:19:00,2020-04-14 16:49:00,1136.8000000007448,heat,"['200105-19180-462', '200105-19180-461', '200105-19180-460', '200105-19180-459', '200105-19180-458', '200105-19180-457', '200105-19180-455', '200105-19180-454']",,,,,,DOOR OPENED WHILE HEATING,0.0,63.679999999999936,increasing 0,159.19999999999982,2.5,1255.1,2020-04-14 15:51:00,4.0,20.0,1095.9,2020-04-14 14:19:00,1095.9,2020-04-14 14:14:00,1255.1,885.0,
