,가열로 번호,cycle,시작시간,종료시간,가스사용량,Type,소재 list,작업일자,주/야간,평일/주말,in,out,drop_flag,gradient,part_types,temp diff,time diff,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,종료온도,최종 가열시작 온도,평균온도,겹침수량,직전 사이클 소재 수량,겹침여부
365,19,3,2020-03-12 18:41:00,2020-03-12 19:05:00,199,heat,"['200116-17035-001', '200102-19157-009', '200102-19157-009']",2020-03-13,주간,평일,,,0,986.25,increasing 0,394.5,0.4,1256.6,0,0,2,862.1,2020-03-12 18:41:00,862.1,2020-03-12 18:33:00,1256.6,0,,1,3,겹침
366,19,5,2020-03-17 06:08:00,2020-03-17 06:21:00,100.7,heat,"['200213-19151-007', '200213-19151-007']",2020-03-17,주간,평일,,,0,1082.307692,increasing 0,234.5,0.216666667,1248.4,0,0,1,1013.9,2020-03-17 06:07:00,1064.7,2020-03-17 06:05:00,1248.4,0,,2,4,겹침
367,19,7,2020-03-18 23:12:00,2020-03-18 23:35:00,141.8,heat,"['200206-60176-001', '200214-15226-003', '200212-KO483-002']",2020-03-19,주간,평일,,,0,356.6086957,increasing 0,136.7,0.383333333,1225.8,0,0,1,1089.1,2020-03-18 23:09:00,1095.8,2020-03-18 23:06:00,1225.8,0,,1,5,겹침
368,19,8,2020-03-19 16:54:00,2020-03-19 17:22:00,294.2,heat,"['200102-19157-009', '200102-19157-009', '190905-19234-090', '190905-19234-090', '190909-19581-006']",2020-03-20,주간,평일,,,0,777.6428571,increasing 0,362.9,0.466666667,1266.5,0,0,1,903.6,2020-03-19 16:54:00,903.6,2020-03-19 16:35:00,1266.5,0,,0,3,안겹침
369,19,9,2020-03-20 18:16:00,2020-03-20 18:47:00,217.3,heat,"['190905-19234-090', '190905-19234-090', '200102-19157-009', '200102-19157-009']",2020-03-20,야간,평일,,,0,373.5483871,increasing 0,193,0.516666667,1245.6,2020-03-20 18:26:00,1,5,1052.6,2020-03-20 18:14:00,1069.4,2020-03-20 18:11:00,1245.6,1006.2,,4,5,겹침
370,19,11,2020-03-23 19:05:00,2020-03-23 19:47:00,263.5,heat,"['200213-19151-006', '200104-17035-002']",2020-03-23,야간,주말,,,0,397,increasing 0,277.9,0.7,1255.9,2020-03-23 19:26:00,1,6,978,2020-03-23 19:04:00,1035.5,2020-03-23 19:00:00,1255.9,941.3,,1,3,겹침
371,19,12,2020-03-24 06:53:00,2020-03-24 07:42:00,347.8,heat,"['191020-15200-005', '200104-17035-002', '200206-60176-001']",2020-03-24,주간,평일,,,0,514.2857143,increasing 0,420,0.816666667,1225.6,0,0,2,805.6,2020-03-24 06:35:00,976.5,2020-03-24 06:30:00,1225.6,0,,1,2,겹침
372,19,13,2020-03-24 09:33:00,2020-03-24 10:00:00,236.3,heat,"['200214-15226-006', '200214-15226-003', '200104-17035-002']",2020-03-24,야간,평일,,,0,1051.333333,increasing 0,473.1,0.45,1234.2,0,0,2,761.1,2020-03-24 09:23:00,893.4,2020-03-24 09:05:00,1234.2,0,,1,3,겹침
373,19,14,2020-03-25 05:42:00,2020-03-25 06:22:00,447.5,heat,"['191118-15111-003', '191118-15111-003', '190508-15111-002', '190508-15111-002']",2020-03-25,야간,평일,,,0,478.8,increasing 0,319.2,0.666666667,1244.9,2020-03-25 05:50:00,1,5,925.7,2020-03-25 05:29:00,854.7,2020-03-25 05:20:00,1244.9,770.6,,0,3,안겹침
374,19,15,2020-03-26 04:37:00,2020-03-26 05:02:00,156.7,heat,"['200213-19151-005', '190508-15111-002', '190508-15111-002']",2020-03-26,야간,평일,,,0,459.12,increasing 0,191.3,0.416666667,1245.4,0,0,1,1054.1,2020-03-26 04:37:00,1054.1,2020-03-26 04:26:00,1245.4,0,,2,4,겹침
