,가열로 번호,cycle,시작시간,종료시간,가스사용량,Type,소재 list,작업일자,주/야간,평일/주말,in,out,drop_flag,gradient,part_types,temp diff,time diff,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,종료온도,최종 가열시작 온도,평균온도,겹침수량,직전 사이클 소재 수량,겹침여부
10,2,53,2020-05-23 08:16:00,2020-05-24 20:19:00,1579.2,heat,"['200204-19411-060', '200204-19411-060', '가열로다이', 'SUS 압탕코깅', 'SUS 압탕코깅', 'SUS 압탕코깅', '200521-19226-004', '200521-19226-004', '200521-19226-004', '200521-19226-004', '200521-19226-004']",2020-05-25,야간,주말,,,0,0.0970873786,holding 0,3.5,36.05,353.9,0,0,1292,350.4,2020-05-23 07:36:00,233.7,0,353.9,0,,11,11,겹침
11,2,58,2020-06-03 23:49:00,2020-06-04 01:36:00,126.8,heat,"['200604-051', '200513-13530-007', '200513-13530-003', '200513-13530-001', '200513-13530-005']",2020-06-04,야간,평일,,,0,32.41121495,holding 0,57.8,1.783333333,815.8,2020-06-04 02:01:00,5,221,873.6,2020-06-03 21:10:00,581.0125,0,815.8,810.2,,5,5,겹침
12,2,58,2020-06-04 03:21:00,2020-06-04 06:24:00,346.5,heat,"['200604-051', '200513-13530-007', '200513-13530-003', '200513-13530-001', '200513-13530-005']",2020-06-04,야간,평일,,,0,2.573770492,holding 1,7.85,3.05,888.5,2020-06-04 02:01:00,5,221,880.65,2020-06-03 21:10:00,581.0125,0,888.5,810.2,,5,5,겹침
13,2,80,2020-07-12 11:49:00,2020-07-12 14:44:00,105.9,heat,"['200629-15491-003', '200629-15491-003', '200629-15491-004', '200702-15133-004', '200413-19922-002', '200413-19922-002']",2020-07-13,야간,주말,,,0,2.845714286,holding 0,8.3,2.916666667,349,0,0,136,340.7,2020-07-11 06:45:00,390.9,0,349,0,,0,7,안겹침
14,3,3,2020-03-05 05:41:00,2020-03-05 08:22:00,153,heat,"['191210-12321-001', '200305-051', '200305-051', '200305-051', '200305-051', '200305-052', '200305-052']",2020-03-05,야간,평일,,,0,0.223602484,holding 0,0.6,2.683333333,854.6,0,0,99,855.2,2020-03-05 05:21:00,653.4,0,854.6,0,,7,7,겹침
15,3,44,2020-05-05 14:00:00,2020-05-05 17:44:00,668,heat,"['200312-99914-050', '200312-99914-050', '200312-99914-050', '200212-15045-010', '200212-15045-010']",2020-05-06,야간,평일,,,0,1.205357143,holding 0,4.5,3.733333333,842.4,0,0,19,846.9,2020-05-05 07:30:00,319.2,0,842.4,0,,5,5,겹침
16,3,62,2020-05-30 13:51:00,2020-05-30 19:56:00,148.4,heat,"['200407-19001-024', '200407-19001-023', '200407-19001-022', '200407-19001-021', '200522-19711-001', '200520-15491-002', '200520-15491-001', '200522-19439-002', '200522-19439-003']",2020-06-01,야간,주말,,,0,0.756164384,holding 0,4.6,6.083333333,367.3,0,0,1507,371.9,2020-05-30 07:22:00,290.5,0,367.3,0,,9,9,겹침
17,3,67,2020-06-07 06:30:00,2020-06-07 09:15:00,440.6,heat,"['200409-19001-020', '200409-19001-019', '200409-19001-018', '200513-13530-002', '200513-13530-001']",2020-06-08,주간,주말,,,0,0.945454545,holding 0,2.6,2.75,694.3,0,0,1113,691.7,2020-06-06 06:24:00,371.3,0,694.3,0,,5,5,겹침
18,3,68,2020-06-08 21:04:00,2020-06-09 08:54:00,1459.1,heat,"['200525-19149-001', '200525-19149-001', '200525-19149-002', '200212-15045-001', '200212-15045-010']",2020-06-09,주간,주말,,,0,0.287323944,holding 0,3.4,11.83333333,1053.8,2020-06-09 09:09:00,2,68,1057.2,2020-06-08 19:24:00,812.2,0,1053.8,946.4,,5,5,겹침
19,4,4,2020-03-09 06:14:00,2020-03-09 07:57:00,176.6,heat,"['200105-19180-395', '200105-19180-394', '200105-19180-393', '200105-19180-392', '200105-19180-391', '200105-19180-390']",2020-03-09,야간,평일,,,0,1.048543689,holding 0,1.8,1.716666667,654.9,2020-03-08 21:47:00,0,185,653.1,2020-03-07 07:00:00,658.9,0,654.9,480,,6,6,겹침
