,가열로명,가열시작일시,가열종료일시,단위가스사용량(사용량/중량),소요시간(분),소재개수,순번,시작온도,작업일자,종료온도,주/야간,중량(kg),총가스사용량,최대중량(kg),최대홀딩시간,최소홀딩시간,프레스명,DETECTED,STATUS
30,가열로1호기,2020-04-27 19:30,2020-04-28 14:26,46.2,1136.0,9.0,901.0,-,2020-04-28,-,주간,66260.0,3063,8600.0,13.0,12.0,프레스(P5000),FOUND,OK
31,가열로1호기,2020-04-29 20:03,2020-04-30 06:38,18.7,635.0,9.0,927.0,-,2020-04-29,-,야간,55650.0,1041.7,8960.0,13.0,12.0,프레스(P5000),FOUND,OK
32,가열로1호기,2020-04-30 06:48,2020-05-01 07:47,67.4,1499.0,7.0,951.0,-,2020-04-30,-,야간,50610.0,3413.4,7230.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
33,가열로1호기,2020-05-05 07:30,2020-05-07 02:25,115.6,2575.0,8.0,974.0,-,2020-05-06,-,야간,48400.0,5596.6,6050.0,13.0,12.0,프레스(P5000),FOUND,OK
34,가열로1호기,2020-05-07 06:05,2020-05-08 11:30,39.4,1765.0,6.0,1009.0,-,2020-05-08,-,주간,65880.0,2595,10980.0,13.0,12.0,프레스(P5000),FOUND,OK
35,가열로1호기,2020-05-09 02:50,2020-05-10 00:14,89.7,1284.0,8.0,1031.0,-,2020-05-09,-,야간,38130.0,3420,6640.0,13.0,12.0,프레스(P5000),FOUND,OK
36,가열로1호기,2020-05-11 19:40,2020-05-12 06:05,0.0,625.0,0.0,1076.0,-,2020-05-12,-,주간,0.0,2019.7,0.0,13.0,12.0,프레스(P5000),FOUND,NO MATERIAL
37,가열로1호기,2020-05-12 19:15,2020-05-13 18:07,74.1,1372.0,4.0,1090.0,-,2020-05-13,-,주간,46160.0,3421.6,11920.0,13.0,12.0,프레스(P5000),FOUND,OK
38,가열로1호기,2020-05-23 07:30,2020-05-26 03:55,120.4,4105.0,8.0,1272.0,-,2020-05-25,-,야간,49840.0,6000.5,6230.0,13.0,12.0,프레스(P5000),FOUND,OK
39,가열로1호기,2020-05-26 04:20,2020-05-27 06:14,68.1,1554.0,8.0,1296.0,-,2020-05-26,-,야간,55040.0,3749.6,6880.0,13.0,12.0,프레스(P5000),FOUND,OK
40,가열로1호기,2020-05-27 07:10,2020-05-28 07:08,57.8,1438.0,7.0,1316.0,-,2020-05-27,-,야간,52210.0,3016.3,15760.0,13.0,12.0,프레스(P5000),FOUND,OK
41,가열로1호기,2020-05-28 07:25,2020-05-29 07:06,54.8,1421.0,6.0,1336.0,-,2020-05-28,-,야간,60720.0,3330.3,10120.0,13.0,12.0,프레스(P5000),FOUND,OK
42,가열로1호기,2020-05-29 07:20,2020-05-30 07:03,73.4,1423.0,5.0,1357.0,-,2020-05-29,-,야간,45230.0,3319.6,10300.0,13.0,12.0,프레스(P5000),FOUND,OK
43,가열로1호기,2020-05-30 07:40,2020-06-01 13:54,67.0,3254.0,5.0,1375.0,-,2020-06-01,-,주간,69060.0,4629.2,15660.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
44,가열로1호기,2020-06-03 13:02,2020-06-04 19:46,119.4,1844.0,5.0,1429.0,-,2020-06-04,-,주간,37780.0,4512.7,12000.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
45,가열로1호기,2020-06-04 19:58,2020-06-05 18:53,55.5,1375.0,7.0,1451.0,-,2020-06-05,-,주간,48770.0,2705.1,8030.0,12.0,12.0,프레스(P5000),FOUND,OK
46,가열로1호기,2020-06-06 06:22,2020-06-09 06:30,58.1,4328.0,7.0,1472.0,-,2020-06-08,-,야간,91660.0,5325.9,15760.0,13.0,12.0,프레스(P5000),FOUND,OK
47,가열로1호기,2020-06-09 06:43,2020-06-10 06:22,76.2,1419.0,6.0,1484.0,-,2020-06-09,-,야간,46650.0,3556.7,10000.0,13.0,12.0,프레스(P5000),FOUND,OK
48,가열로1호기,2020-06-10 06:33,2020-06-11 06:32,167.8,1439.0,6.0,1495.0,-,2020-06-10,-,야간,15560.0,2611.7,4220.0,13.0,12.0,프레스(P5000),FOUND,OK
49,가열로1호기,2020-06-11 06:38,2020-06-12 01:55,64.5,1157.0,4.0,1513.0,-,2020-06-11,-,야간,35760.0,2305.2,8940.0,13.0,12.0,프레스(P5000),FOUND,OK
50,가열로1호기,2020-06-12 05:13,2020-06-13 03:55,76.7,1362.0,7.0,1529.0,-,2020-06-12,-,야간,38130.0,2922.9,6130.0,13.0,12.0,프레스(P5000),FOUND,OK
51,가열로1호기,2020-06-13 06:45,2020-06-16 06:41,174.4,4316.0,5.0,1539.0,-,2020-06-15,-,야간,27050.0,4716.3,5570.0,13.0,12.0,프레스(P5000),FOUND,OK
52,가열로1호기,2020-06-16 07:27,2020-06-17 05:50,61.7,1343.0,6.0,1557.0,-,2020-06-16,-,야간,52120.0,3215,10000.0,13.0,12.0,프레스(P5000),FOUND,OK
53,가열로1호기,2020-06-17 09:50,2020-06-17 17:20,0.0,450.0,0.0,1577.0,-,2020-06-17,-,야간,0.0,18.4,0.0,13.0,12.0,프레스(P5000),NOT FOUND,
54,가열로1호기,2020-06-20 06:30,2020-06-23 03:41,169.3,4151.0,8.0,1633.0,-,2020-06-22,-,야간,28990.0,4908.3,4350.0,13.0,12.0,프레스(P5000),FOUND,GAS OFF/TEMP OFF
55,가열로1호기,2020-06-23 04:33,2020-06-24 03:12,61.4,1359.0,7.0,1644.0,-,2020-06-23,-,야간,41960.0,2575.3,15100.0,13.0,12.0,프레스(P5000),FOUND,OK
56,가열로1호기,2020-06-24 05:34,2020-06-25 02:53,50.1,1279.0,8.0,1656.0,-,2020-06-24,-,야간,62480.0,3128,7810.0,13.0,12.0,프레스(P5000),FOUND,OK
57,가열로1호기,2020-06-25 20:00,2020-06-26 18:00,252.7,1320.0,1.0,1691.0,-,2020-06-26,-,주간,11300.0,2855.1,11300.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
58,가열로1호기,2020-06-27 06:50,2020-06-29 18:25,175.7,3575.0,4.0,1706.0,-,2020-06-29,-,주간,28320.0,4976.6,8520.0,13.0,12.0,프레스(P5000),FOUND,OK
59,가열로1호기,2020-06-29 19:16,2020-06-30 18:04,106.1,1368.0,4.0,1726.0,-,2020-06-30,-,주간,22160.0,2351.4,5540.0,13.0,12.0,프레스(P5000),FOUND,OK
60,가열로1호기,2020-06-30 18:30,2020-07-01 10:10,48.2,940.0,8.0,1746.0,-,2020-07-01,-,주간,48700.0,2347.5,6710.0,13.0,12.0,프레스(P5000),FOUND,OK
61,가열로1호기,2020-07-01 20:51,2020-07-02 18:46,48.6,1315.0,8.0,1767.0,-,2020-07-02,-,주간,48700.0,2365.1,6710.0,13.0,12.0,프레스(P5000),FOUND,OK
62,가열로1호기,2020-07-04 06:19,2020-07-07 05:50,95.0,4291.0,8.0,1800.0,-,2020-07-06,-,야간,53570.0,5090.8,10800.0,13.0,12.0,프레스(P5000),NOT FOUND,
63,가열로1호기,2020-07-07 06:08,2020-07-08 06:35,18.4,1467.0,5.0,1819.0,-,2020-07-07,-,야간,66240.0,1221.9,16600.0,13.0,12.0,프레스(P5000),FOUND,OK
64,가열로1호기,2020-07-08 07:00,2020-07-08 22:50,0.0,950.0,4.0,1839.0,-,2020-07-08,-,야간,49640.0,0,12410.0,13.0,12.0,프레스(P5000),NOT FOUND,
65,가열로1호기,2020-07-10 02:53,2020-07-11 01:08,105.9,1335.0,4.0,1884.0,-,2020-07-10,-,야간,30040.0,3182.1,7810.0,13.0,12.0,프레스(P5000),FOUND,OK
66,가열로1호기,2020-07-11 06:46,2020-07-13 13:00,94.9,3254.0,4.0,1907.0,-,2020-07-13,-,주간,49640.0,4708.8,12410.0,13.0,12.0,프레스(P5000),FOUND,OK
67,가열로1호기,2020-07-14 13:30,2020-07-15 14:57,80.7,1527.0,5.0,1938.0,-,2020-07-15,-,주간,55000.0,4437.7,11000.0,12.0,12.0,프레스(P5000),FOUND,OK
68,가열로2호기,2020-02-29 08:15,2020-03-02 22:41,141.4,3746.0,6.0,2.0,-,2020-03-02,-,주간,54140.0,7654.9,9410.0,13.0,12.0,프레스(P5000),NOT FOUND,
69,가열로2호기,2020-03-03 04:45,2020-03-04 02:06,49.7,1281.0,7.0,26.0,-,2020-03-03,-,야간,103950.0,5168.6,14850.0,13.0,12.0,프레스(P5000),FOUND,OK
70,가열로2호기,2020-03-04 02:30,2020-03-04 23:28,50.1,1258.0,6.0,48.0,-,2020-03-04,-,야간,89100.0,4460.3,14850.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
71,가열로2호기,2020-03-05 03:35,2020-03-06 03:26,55.5,1431.0,8.0,69.0,-,2020-03-05,-,야간,96460.0,5350.5,13480.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
72,가열로2호기,2020-03-06 04:00,2020-03-06 23:33,48.3,1173.0,8.0,89.0,-,2020-03-06,-,야간,88800.0,4287.7,11100.0,13.0,12.0,프레스(P5000),FOUND,OK
73,가열로2호기,2020-03-07 07:00,2020-03-09 17:07,80.7,3487.0,11.0,113.0,-,2020-03-09,-,주간,96380.0,7776.7,14270.0,13.0,12.0,프레스(P5000),FOUND,OK
74,가열로2호기,2020-03-09 18:00,2020-03-10 18:40,114.7,1480.0,4.0,136.0,-,2020-03-10,-,주간,36300.0,4165,11000.0,13.0,12.0,프레스(P5000),FOUND,OK
75,가열로2호기,2020-03-10 19:05,2020-03-11 21:09,50.9,1564.0,7.0,157.0,-,2020-03-11,-,주간,94360.0,4799.8,13480.0,12.0,12.0,프레스(P5000),FOUND,OK
76,가열로2호기,2020-03-11 21:27,2020-03-12 18:42,44.4,1275.0,7.0,182.0,-,2020-03-12,-,주간,100480.0,4459,19600.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
77,가열로2호기,2020-03-12 19:16,2020-03-13 19:23,79.1,1447.0,8.0,203.0,-,2020-03-13,-,주간,59400.0,4700.8,8250.0,13.0,12.0,프레스(P5000),FOUND,OK
78,가열로2호기,2020-03-18 01:27,2020-03-19 02:33,71.8,1506.0,7.0,264.0,-,2020-03-18,-,야간,94360.0,6772,13480.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
79,가열로2호기,2020-03-19 02:48,2020-03-20 02:15,46.7,1407.0,7.0,282.0,-,2020-03-19,-,야간,102980.0,4811.4,22100.0,13.0,12.0,프레스(P5000),FOUND,OK
80,가열로2호기,2020-03-20 05:00,2020-03-21 18:21,0.0,2241.0,6.0,300.0,-,2020-03-20,-,야간,89100.0,-,14850.0,12.0,12.0,프레스(P5000),FOUND,OK
81,가열로2호기,2020-03-23 10:40,2020-03-24 14:19,68.5,1659.0,8.0,341.0,-,2020-03-24,-,주간,122300.0,8375.7,18350.0,13.0,12.0,프레스(P5000),NOT FOUND,
82,가열로2호기,2020-03-24 15:05,2020-03-25 15:20,47.5,1455.0,9.0,361.0,-,2020-03-25,-,주간,113190.0,5372.3,14850.0,13.0,12.0,프레스(P5000),FOUND,GAS OFF/TEMP OFF
83,가열로2호기,2020-03-25 16:10,2020-03-26 14:15,51.5,1325.0,8.0,381.0,-,2020-03-26,-,주간,88800.0,4576.7,11100.0,13.0,12.0,프레스(P5000),FOUND,OK
84,가열로2호기,2020-03-26 15:20,2020-03-28 06:28,70.2,2348.0,8.0,397.0,-,2020-03-27,-,주간,106510.0,7479,20350.0,13.0,12.0,프레스(P5000),FOUND,OK
85,가열로2호기,2020-03-28 08:30,2020-03-31 02:23,111.5,3953.0,7.0,417.0,-,2020-03-30,-,야간,81330.0,9069.5,19100.0,13.0,12.0,프레스(P5000),FOUND,OK
86,가열로2호기,2020-03-31 03:10,2020-04-01 01:40,46.3,1350.0,7.0,435.0,-,2020-03-31,-,야간,103950.0,4813,14850.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
87,가열로2호기,2020-04-01 02:52,2020-04-02 01:10,38.8,1338.0,8.0,451.0,-,2020-04-01,-,야간,118300.0,4588.1,15100.0,12.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
88,가열로2호기,2020-04-02 03:10,2020-04-04 05:49,75.3,3039.0,8.0,475.0,-,2020-04-02,-,야간,133430.0,10042.1,20100.0,13.0,12.0,프레스(P5000),FOUND,OK
89,가열로2호기,2020-04-04 06:20,2020-04-05 06:07,66.2,1427.0,10.0,515.0,-,2020-04-04,-,야간,78450.0,5196.5,14100.0,13.0,12.0,프레스(P5000),FOUND,GAS OFF/TEMP OFF
90,가열로2호기,2020-04-05 07:30,2020-04-06 23:12,95.8,2382.0,5.0,538.0,-,2020-04-06,-,주간,46580.0,4463.6,14100.0,13.0,12.0,프레스(P5000),FOUND,GAS OFF/TEMP OFF
91,가열로2호기,2020-04-06 23:47,2020-04-07 23:34,49.9,1427.0,7.0,561.0,-,2020-04-07,-,야간,103950.0,5184.4,14850.0,13.0,12.0,프레스(P5000),FOUND,OK
92,가열로2호기,2020-04-08 02:26,2020-04-09 02:00,54.1,1414.0,5.0,581.0,-,2020-04-08,-,야간,78190.0,4229,20350.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
93,가열로2호기,2020-04-09 02:10,2020-04-10 09:51,178.3,1901.0,4.0,601.0,-,2020-04-09,-,야간,33200.0,5919.1,8600.0,13.0,12.0,프레스(P5000),FOUND,OK
94,가열로2호기,2020-04-11 13:47,2020-04-14 02:10,139.1,3623.0,7.0,644.0,-,2020-04-13,-,야간,56660.0,7884.1,9310.0,13.0,12.0,프레스(P5000),FOUND,OK
95,가열로2호기,2020-04-14 02:55,2020-04-15 01:25,45.7,1350.0,8.0,667.0,-,2020-04-14,-,야간,111470.0,5091.1,14600.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
96,가열로2호기,2020-04-15 02:35,2020-04-16 05:56,59.4,1641.0,7.0,688.0,-,2020-04-15,-,야간,94360.0,5607.3,13480.0,13.0,12.0,프레스(P5000),FOUND,OK
97,가열로2호기,2020-04-16 06:18,2020-04-17 06:18,79.5,1440.0,7.0,709.0,-,2020-04-16,-,야간,60180.0,4781.8,10300.0,13.0,12.0,프레스(P5000),FOUND,OK
98,가열로2호기,2020-04-17 09:28,2020-04-18 04:21,51.7,1133.0,12.0,727.0,-,2020-04-17,-,야간,106160.0,5484.2,14550.0,13.0,12.0,프레스(P5000),FOUND,OK
99,가열로2호기,2020-04-19 07:15,2020-04-21 06:05,135.1,2810.0,12.0,743.0,-,2020-04-20,-,야간,65160.0,8804.2,5430.0,13.0,12.0,프레스(P5000),FOUND,OK
100,가열로2호기,2020-04-21 06:38,2020-04-22 04:54,78.0,1336.0,10.0,770.0,-,2020-04-21,-,야간,62920.0,4906.6,7800.0,12.0,12.0,프레스(P5000),FOUND,OK
101,가열로2호기,2020-04-22 05:15,2020-04-23 06:39,85.9,1524.0,11.0,789.0,-,2020-04-22,-,야간,59450.0,5105.2,5430.0,13.0,12.0,프레스(P5000),FOUND,OK
102,가열로2호기,2020-04-24 16:18,2020-04-25 03:35,81.7,677.0,2.0,825.0,-,2020-04-24,-,야간,32700.0,2672.6,16350.0,12.0,12.0,프레스(P5000),FOUND,OK
103,가열로2호기,2020-04-25 03:40,2020-04-25 21:31,95.7,1071.0,2.0,851.0,-,2020-04-25,-,주간,32700.0,3129,16350.0,12.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
104,가열로2호기,2020-04-25 21:35,2020-04-26 06:54,44.8,559.0,2.0,852.0,-,2020-04-25,-,야간,32700.0,1465.8,16350.0,12.0,12.0,프레스(P5000),FOUND,OK
105,가열로2호기,2020-04-26 07:30,2020-04-27 13:38,106.3,1808.0,9.0,876.0,-,2020-04-27,-,주간,51640.0,5489.5,6010.0,12.0,12.0,프레스(P5000),FOUND,OK
106,가열로2호기,2020-04-27 13:43,2020-04-28 19:38,82.3,1795.0,6.0,902.0,-,2020-04-28,-,주간,59320.0,4882,13850.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
107,가열로2호기,2020-04-28 19:40,2020-04-29 16:35,61.1,1255.0,4.0,928.0,-,2020-04-29,-,주간,64000.0,3909,16000.0,13.0,12.0,프레스(P5000),FOUND,OK
108,가열로2호기,2020-04-29 16:47,2020-04-30 13:40,61.4,1253.0,8.0,952.0,-,2020-04-30,-,주간,77200.0,4743.3,9650.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
109,가열로2호기,2020-05-05 07:30,2020-05-06 14:14,124.4,1844.0,7.0,975.0,-,2020-05-06,-,주간,64150.0,7982.8,9850.0,13.0,12.0,프레스(P5000),FOUND,OK
110,가열로2호기,2020-05-06 18:30,2020-05-07 18:01,142.3,1411.0,4.0,989.0,-,2020-05-07,-,주간,34400.0,4894.9,8600.0,13.0,12.0,프레스(P5000),FOUND,OK
111,가열로2호기,2020-05-07 23:30,2020-05-09 03:45,71.0,1695.0,9.0,1010.0,-,2020-05-08,-,야간,84690.0,6009.6,9410.0,13.0,12.0,프레스(P5000),FOUND,OK
112,가열로2호기,2020-05-10 08:16,2020-05-12 03:56,94.9,2620.0,7.0,1051.0,-,2020-05-11,-,야간,73400.0,6968.1,15660.0,13.0,12.0,프레스(P5000),FOUND,OK
113,가열로2호기,2020-05-12 04:26,2020-05-13 03:15,45.1,1369.0,11.0,1077.0,-,2020-05-12,-,야간,100940.0,4556.4,15760.0,13.0,12.0,프레스(P5000),FOUND,GAS OFF/TEMP OFF
114,가열로2호기,2020-05-13 03:35,2020-05-14 06:09,72.0,1594.0,7.0,1091.0,-,2020-05-13,-,야간,80790.0,5817.9,15660.0,13.0,12.0,프레스(P5000),FOUND,OK
115,가열로2호기,2020-05-14 06:38,2020-05-15 06:30,52.3,1432.0,7.0,1113.0,-,2020-05-14,-,야간,86770.0,4536.7,15760.0,13.0,12.0,프레스(P5000),FOUND,OK
116,가열로2호기,2020-05-15 06:56,2020-05-16 01:21,114.4,1105.0,8.0,1136.0,-,2020-05-15,-,야간,33920.0,3881.7,4240.0,13.0,12.0,프레스(P5000),FOUND,OK
117,가열로2호기,2020-05-16 07:45,2020-05-18 18:30,181.7,3525.0,8.0,1160.0,-,2020-05-18,-,주간,33920.0,6164.1,4240.0,13.0,12.0,프레스(P5000),FOUND,OK
118,가열로2호기,2020-05-18 18:49,2020-05-19 19:17,86.3,1468.0,9.0,1184.0,-,2020-05-19,-,주간,59790.0,5157.6,9970.0,13.0,12.0,프레스(P5000),NOT FOUND,
119,가열로2호기,2020-05-19 19:28,2020-05-20 17:15,88.8,1307.0,6.0,1207.0,-,2020-05-20,-,주간,46164.0,4099.1,9322.0,13.0,12.0,프레스(P5000),NOT FOUND,
120,가열로2호기,2020-05-20 18:02,2020-05-21 11:32,60.8,1050.0,4.0,1231.0,-,2020-05-21,-,주간,34400.0,2090.5,8600.0,13.0,12.0,프레스(P5000),NOT FOUND,
121,가열로2호기,2020-05-21 14:40,2020-05-22 14:17,65.4,1417.0,6.0,1254.0,-,2020-05-22,-,주간,79150.0,5175,18600.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
122,가열로2호기,2020-05-23 07:36,2020-05-26 06:33,134.8,4257.0,11.0,1273.0,-,2020-05-25,-,야간,70450.0,9497.6,12650.0,13.0,12.0,프레스(P5000),FOUND,OK
123,가열로2호기,2020-05-26 07:10,2020-05-27 02:00,84.8,1130.0,7.0,1297.0,-,2020-05-26,-,야간,46890.0,3976.6,12830.0,13.0,12.0,프레스(P5000),FOUND,OK
124,가열로2호기,2020-05-27 02:55,2020-05-28 01:58,50.8,1383.0,8.0,1317.0,-,2020-05-27,-,야간,97890.0,4971.2,22100.0,13.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
125,가열로2호기,2020-05-31 07:22,2020-06-01 18:02,125.0,2080.0,7.0,1376.0,-,2020-06-01,-,주간,52270.0,6531.9,10300.0,13.0,12.0,프레스(P5000),FOUND,OK
126,가열로2호기,2020-06-01 18:19,2020-06-02 10:16,101.4,957.0,2.0,1389.0,-,2020-06-02,-,주간,17200.0,1743.3,8600.0,13.0,12.0,프레스(P5000),NOT FOUND,
127,가열로2호기,2020-06-02 18:40,2020-06-03 18:18,69.0,1418.0,4.0,1410.0,-,2020-06-03,-,주간,88000.0,6069.6,22000.0,13.0,12.0,프레스(P5000),FOUND,OK
128,가열로2호기,2020-06-03 21:10,2020-06-05 06:16,48.6,1986.0,5.0,1430.0,-,2020-06-04,-,야간,103250.0,5019.8,22600.0,12.0,12.0,프레스(P5000),FOUND,DOOR OPENED WHILE HEATING
129,가열로2호기,2020-06-05 06:27,2020-06-06 05:00,75.7,1353.0,7.0,1452.0,-,2020-06-05,-,야간,65210.0,4934.8,15660.0,13.0,12.0,프레스(P5000),FOUND,OK
