순번,프레스명,작업일자,주/야간,수주번호,시리얼번호,할당가열로,장입가열로,수주치수,사내재질,단조작업내역,비고,강종,수량,투입중량,투입수량,원단위가스량
4764,P5,2020-06-24,야간,"200314-19581-002
1/2차작업","001,002","01,03",가열로3호기,"917.00 X 665.00 X 3420.00
",TW S360,"S/N:001-002 시방서참고 R/TRUNK
600T/BAR","Φ1000 R/B
히트확인",CARBON,2,14550,2,143.65
4765,P5,2020-06-24,야간,가열로다이,"001,002","01,03",가열로3호기,"SQ(450 X 450 X 6000)
",C-STEEL,P5사용 (1호기),"R/B 테일부
및 압탕",,2,10000,2,98.73
4766,P8,2020-06-24,야간,200617-15509-007,001,14,가열로14호기,1906.00 X 1600.00 X 261.00,TW 350LF2,"1115*450*355
25/25/25",히트확인,CARBON,0,2201,1,46.71
4767,P8,2020-06-24,야간,200616-99010-003,001,14,가열로14호기,2070.00 X 1710.00 X 205.00,S355NL,"1134*450*325
20/20/20",R/BLOOM,CARBON,0,2097,1,44.5
4768,P8,2020-06-24,야간,200619-19488-011,001,14,가열로14호기,1330.00 X 0.00 X 350.00,TW 350LF2,"1370 X 385
40/35","SLAB
히트확인",CARBON,0,4455,1,94.54
4769,P8,2020-06-24,야간,200619-19488-012,001,14,가열로14호기,1330.00 X 0.00 X 245.00,TW 350LF2,"1365 X 280
35/35","SLAB
히트확인",CARBON,0,3216,1,68.25
4770,P8,2020-06-24,야간,200619-19488-013,001,14,가열로14호기,1015.00 X 304.80 X 245.00,TW 350LF2,"1040 X 280
35/304.8/35","SLAB
히트확인",CARBON,0,1903,1,40.38
4771,P8,2020-06-24,야간,200619-19488-014,001,14,가열로14호기,1015.00 X 304.80 X 245.00,TW 350LF2,"1040 X 280
35/304.8/35","SLAB
히트확인",CARBON,0,1903,1,40.38
4772,P8,2020-06-24,야간,200619-19488-015,"001,002",14,가열로14호기,1340.00 X 0.00 X 365.00,TW 350LF2,"1385 X 400
45/35","SLAB
히트확인",CARBON,0,4731,2,100.4
4773,P8,2020-06-24,야간,200619-19488-016,"001,002",14,가열로14호기,1340.00 X 0.00 X 255.00,TW 350LF2,"1375 X 290
35/35","SLAB
히트확인",CARBON,0,3380,2,71.73
4774,P8,2020-06-24,야간,200617-94594-001,001,14,가열로14호기,1000.00 X 276.00 X 391.00,TW S20CrMoVS,"1035 X 421
35/276/30","열처리예열
SLAB",ALLOY,0,2780,1,59
4775,P8,2020-06-24,야간,열처리 수정용 링,001,14,가열로14호기,4718.00 X 4318.00 X 160.00,TW S25C,"1342*450*530
30/75/25",TAIL부,,0,5000,1,106.11
4776,P15,2020-06-24,주간,200130-15111-001,"1,2",20,가열로20호기,"910.00 X 0.00 X 15345.00
",SF590,투입완료  시방서 참고,20호기,CARBON,2,60100,2,113.74
4777,P15,2020-06-24,주간,200529-19302-032,"3,4,5,6",20,가열로20호기,"5300.00 X 4600.00 X 160.00
",S355NL,380t  투입완료,20호기,CARBON,4,9845,4,18.63
