,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,이전 종료온도,쉰시간,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
32,20,5,609.4,2020-01-07 15:51:00,2020-01-07 16:50:00,3540,723.2,1253,1252.4,1500,4,176320,130000,CARBON,0,1,0,0,0,0,3,46320,16085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130000,130000,3,46320,16085,1,강종누락,3300,1/8/2020,주간,화,겹침,이상없음,5,1,C,평일,0
33,19,6,626.1,2020-01-07 18:19:00,2020-01-07 19:07:00,2880,894.8,1246,1248.6,1200,7,120750,25000,CARBON,0,1,0,0,0,0,7,120750,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,120750,25000,0,누락없음,2820,1/8/2020,주간,화,안겹침,이상없음,6,0,C,평일,0
34,13,6,2775.2,2020-01-07 15:57:00,2020-01-08 01:04:00,32820,325.8,1251.5,1257.8,10980,6,170600,38100,CARBON,0,1,0,4,119400,38100,2,51200,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21600,21600,5,149000,38100,1,누락없음,27360,1/8/2020,주간,화,안겹침,이상없음,6,0,AC,평일,0
35,4,4,670.4,2020-01-08 18:40:00,2020-01-08 19:42:00,3720,691.6,1259.2,1258.6,2640,8,76432,9554,ALLOY,1,0,0,8,76432,9554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,76432,9554,0,누락없음,3660,1/9/2020,주간,수,안겹침,이상없음,4,0,A,평일,0
36,13,8,1768.5,2020-01-09 05:46:00,2020-01-09 08:29:00,9780,525.4,1261.7,1249.8,2160,4,175900,47100,ALLOY,1,0,0,4,175900,47100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,138800,47100,1,37100,37100,2,누락없음,8640,1/9/2020,야간,목,안겹침,이상없음,8,0,A,평일,0
37,17,7,193.3,2020-01-08 08:35:00,2020-01-08 08:59:00,1440,961.6,1264.8,1254.4,9540,4,172450,130000,CARBON,0,1,0,0,0,0,3,42450,14150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130000,130000,3,42450,14150,0,강종누락,1260,1/9/2020,주간,수,안겹침,이상없음,7,0,C,평일,0
38,2,5,877,2020-01-09 03:02:00,2020-01-09 04:48:00,6360,482,1255.2,1248.9,5820,6,109350,20600,ALLOY,1,0,0,3,58800,20600,1,12350,12350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,97000,20600,1,12350,12350,1,강종누락,5040,1/9/2020,야간,목,안겹침,이상없음,7,0,AC,평일,0
39,19,7,492.8,2020-01-08 16:24:00,2020-01-08 17:20:00,3360,962.7,1195.7,1246,660,1,13600,13600,CARBON,0,1,0,0,0,0,1,13600,13600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13600,13600,0,누락없음,3240,1/9/2020,주간,수,안겹침,이상없음,7,0,C,평일,0
40,18,7,431.9,2020-01-09 03:07:00,2020-01-09 03:45:00,2280,814.2,1259.7,1194.3,780,5,125850,50445,CARBON,0,1,0,1,17000,17000,2,93780,50445,2,15070,7630,0,0,0,0,0,0,0,0,0,0,0,0,3,110780,50445,2,15070,7630,0,누락없음,2220,1/9/2020,야간,목,겹침,이상없음,5,2,ACS,평일,0
41,20,6,693.1,2020-01-08 19:34:00,2020-01-08 20:32:00,3480,491.4,1252.5,1253,19740,6,126380,41100,CARBON,0,1,0,4,44180,11045,2,82200,41100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44180,11045,2,82200,41100,0,누락없음,3420,1/9/2020,주간,수,안겹침,이상없음,4,0,AC,평일,0
42,3,4,341.7,2020-01-08 15:31:00,2020-01-08 16:07:00,2160,875.4,1255.6,1257.6,240,4,57400,20350,CARBON,0,1,0,0,0,0,4,57400,20350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57400,20350,0,누락없음,2040,1/9/2020,주간,수,안겹침,이상없음,8,0,C,평일,0
43,3,5,265.7,2020-01-09 14:22:00,2020-01-09 14:50:00,1680,864,1250,1255.6,1200,7,101330,20600,ALLOY,1,0,0,3,54930,20600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54930,20600,4,46400,11600,0,강종누락,1620,1/10/2020,주간,목,안겹침,이상없음,4,0,A,평일,0
44,18,8,145.4,2020-01-10 06:00:00,2020-01-10 06:17:00,1020,764,1255.9,1259.7,420,4,107760,30480,ALLOY,1,0,0,2,60960,30480,2,46800,23400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46800,23400,2,60960,30480,0,누락없음,960,1/10/2020,야간,금,안겹침,이상없음,5,0,AC,평일,0
45,6,3,1411.6,2020-01-10 03:45:00,2020-01-10 05:54:00,7740,760.9,1253.8,1174.7,780,4,48970,16085,CARBON,0,1,0,0,0,0,4,48970,16085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48970,16085,0,누락없음,7560,1/10/2020,야간,금,안겹침,이상없음,4,0,C,평일,0
46,17,8,190.1,2020-01-09 16:49:00,2020-01-09 17:06:00,1020,741,1250.7,1264.8,1680,2,147000,130000,ALLOY,1,0,0,1,17000,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,147000,130000,0,0,0,0,강종누락,960,1/10/2020,주간,목,겹침,이상없음,4,1,A,평일,0
47,2,6,1270.7,2020-01-09 23:55:00,2020-01-10 02:01:00,7560,540.7,1260.8,1255.2,2700,11,81210,13730,CARBON,0,1,0,1,13730,13730,10,67480,7630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13730,13730,10,67480,7630,1,누락없음,7320,1/10/2020,야간,목,안겹침,이상없음,6,0,AC,평일,0
48,19,8,1510.6,2020-01-09 14:24:00,2020-01-09 16:41:00,8220,582.4,1248.4,1195.7,14760,7,124375,30480,ALLOY,1,0,0,5,103150,30480,0,0,0,2,21225,10650,0,0,0,0,0,0,0,0,0,0,0,0,3,42190,20100,4,82185,30480,1,누락없음,7920,1/10/2020,주간,목,안겹침,이상없음,1,0,AS,평일,0
49,20,8,100.6,2020-01-10 11:07:00,2020-01-10 11:26:00,1140,932.3,1248.8,1270,300,1,173703,173703,CARBON,0,1,0,0,0,0,1,173703,173703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,173703,173703,0,누락없음,960,1/10/2020,야간,금,겹침,이상없음,2,1,C,평일,0
50,20,7,253.2,2020-01-09 18:10:00,2020-01-09 18:35:00,1500,704.2,1270,1252.5,720,2,186033,173703,CARBON,0,1,0,0,0,0,2,186033,173703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,186033,173703,0,누락없음,1320,1/10/2020,주간,목,안겹침,이상없음,6,0,C,평일,0
51,4,5,2646.9,2020-01-09 22:04:00,2020-01-10 06:31:00,30420,608.1,1254.1,1259.2,12000,10,81860,9020,CARBON,0,1,0,0,0,0,10,81860,9020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,81860,9020,0,누락없음,29760,1/10/2020,야간,목,안겹침,이상없음,8,0,C,평일,0
52,4,6,2267.5,2020-01-12 00:38:00,2020-01-12 20:26:00,71280,642.1,1250.6,1254.1,68100,5,73770,19600,ALLOY,1,0,0,4,54170,13730,1,19600,19600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33330,19600,3,40440,13480,0,누락없음,43320,1/13/2020,주간,일,안겹침,이상없음,10,0,AC,주말,0
53,2,7,5047.4,2020-01-11 13:59:00,2020-01-12 19:32:00,106380,458,1252.3,1260.8,55200,10,83640,9160,CARBON,0,1,0,0,0,0,8,72720,9160,2,10920,5530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,83640,9160,0,누락없음,97620,1/13/2020,주간,토,안겹침,이상없음,11,0,CS,주말,0
54,20,9,123,2020-01-11 07:05:00,2020-01-11 07:20:00,900,784.8,1255.4,1248.8,540,1,173703,173703,CARBON,0,1,0,0,0,0,1,173703,173703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,173703,173703,0,누락없음,840,1/13/2020,주간,토,겹침,이상없음,1,1,C,주말,0
55,13,10,5710.1,2020-01-11 19:00:00,2020-01-13 01:28:00,109680,770.5,1255.7,1261.2,44640,2,93780,50445,CARBON,0,1,0,0,0,0,2,93780,50445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,93780,50445,0,0,0,0,누락없음,107580,1/13/2020,주간,토,겹침,이상없음,2,2,C,주말,0
56,13,11,177.2,2020-01-13 13:20:00,2020-01-13 13:42:00,1320,871.1,1258,1255.7,480,2,93780,50445,CARBON,0,1,0,0,0,0,2,93780,50445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,93780,50445,0,0,0,0,누락없음,1260,1/13/2020,주간,월,겹침,이상없음,2,2,C,평일,0
57,18,10,319.8,2020-01-14 01:43:00,2020-01-14 02:10:00,1620,639.3,1203.7,1254.7,11820,4,85200,21300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,85200,21300,0,강종누락,1560,1/14/2020,주간,화,안겹침,이상없음,6,0,,평일,1
