,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,gradient,temp_diff,time_diff,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
1395,19,155,111.5,2020-07-15 05:05:00,2020-07-15 05:20:00,900,0.123888889,1033.8,1253.6,3,144920,58500,879.2,219.8,0.25,ALLOY,1,0,0,360,2,86420,56280,1,58500,58500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86420,56280,1,58500,58500,0,누락없음,840,7/15/2020,야간,수,안겹침,이상없음,2,0,AC,평일,0
1378,19,153,164.3,2020-07-14 04:28:00,2020-07-14 04:50:00,1320,0.124469697,984,1234.8,5,175400,54100,684,250.8,0.366666667,CARBON,0,1,0,300,1,38600,38600,2,108200,54100,2,28600,14300,0,0,0,0,0,0,0,0,0,0,0,0,1,38600,38600,4,136800,54100,0,누락없음,1200,7/14/2020,주간,화,겹침,이상없음,5,3,ACS,평일,0
1241,19,137,662.1,2020-06-23 05:01:00,2020-06-23 06:29:00,5280,0.125397727,1095.9,1264.6,5,149080,56280,115.0227273,168.7,1.466666667,ALLOY,1,0,0,120,1,56280,56280,3,72300,24100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,76780,56280,3,72300,24100,4,강종누락,4680,6/23/2020,주간,화,겹침,이상없음,4,1,AC,평일,0
305,19,34,105.5,2020-02-14 16:17:00,2020-02-14 16:31:00,840,0.125595238,1111.3,1247.1,2,151785,115585,582,135.8,0.233333333,CARBON,0,1,0,300,0,0,0,2,151785,115585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,151785,115585,0,누락없음,780,2/14/2020,야간,금,겹침,이상없음,5,1,C,평일,0
1709,19,196,4006.3,2020-09-06 05:06:00,2020-09-06 13:55:00,31740,0.126222432,372.9,1253.2,6,147280,56350,99.84499055,880.3,8.816666667,CARBON,0,1,0,125220,0,0,0,4,97080,56350,2,50200,25100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,147280,56350,0,누락없음,31140,9/7/2020,주간,일,안겹침,이상없음,5,0,CS,주말,0
1668,19,192,205.1,2020-09-01 05:58:00,2020-09-01 06:25:00,1620,0.126604938,864.8,1251.4,5,137700,36100,859.1111111,386.6,0.45,ALLOY,1,0,0,1140,1,14600,14600,4,123100,36100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,72200,36100,3,65500,25450,0,누락없음,1500,9/1/2020,주간,화,겹침,초민감,7,3,AC,평일,0
888,19,94,266.2,2020-04-27 20:29:00,2020-04-27 21:04:00,2100,0.126761905,988.5,1251.7,2,124900,92000,451.2,263.2,0.583333333,CARBON,0,1,0,360,0,0,0,2,124900,92000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,124900,92000,1,누락없음,1740,4/28/2020,주간,월,겹침,이상없음,1,1,C,주말,0
1101,19,119,2896.1,2020-05-31 12:46:00,2020-05-31 19:06:00,22800,0.12702193,644.4,1250.8,5,93100,50000,95.74736842,606.4,6.333333333,ALLOY,1,0,0,11760,1,50000,50000,2,16200,8100,2,26900,15200,0,0,0,0,0,0,0,0,0,0,0,0,1,50000,50000,4,43100,15200,0,누락없음,-14700,6/1/2020,야간,일,겹침,이상없음,5,5,ACS,주말,0
1765,19,203,298.1,2020-09-15 04:15:00,2020-09-15 04:54:00,2340,0.127393162,850.9,1262.4,4,154100,51600,633.0769231,411.5,0.65,CARBON,0,1,0,1020,0,0,0,4,154100,51600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,154100,51600,0,누락없음,2160,9/15/2020,주간,화,겹침,이상없음,3,2,C,평일,0
1336,19,149,115.6,2020-07-07 18:03:00,2020-07-07 18:18:00,900,0.128444444,1037,1247.7,2,78100,41000,842.8,210.7,0.25,CARBON,0,1,0,240,1,37100,37100,1,41000,41000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78100,41000,0,누락없음,720,7/8/2020,주간,화,겹침,이상없음,4,1,AC,평일,0
552,19,54,100.7,2020-03-17 06:08:00,2020-03-17 06:21:00,780,0.129102564,1013.9,1248.4,2,73000,36500,1082.307692,234.5,0.216666667,ALLOY,1,0,0,180,2,73000,36500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,73000,36500,0,0,0,0,누락없음,720,3/17/2020,주간,화,겹침,이상없음,4,2,A,평일,0
502,19,49,101.2,2020-03-10 16:44:00,2020-03-10 16:57:00,780,0.12974359,980.5,1251,3,146800,49600,1248.461538,270.5,0.216666667,CARBON,0,1,0,420,0,0,0,3,146800,49600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,146800,49600,0,누락없음,720,3/10/2020,야간,화,겹침,이상없음,4,3,C,평일,0
1623,19,186,3901.7,2020-08-23 09:07:00,2020-08-23 17:26:00,29940,0.130317301,423.8,1251.1,4,184350,56350,99.4749499,827.3,8.316666667,CARBON,0,1,0,123840,0,0,0,4,184350,56350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,184350,56350,0,누락없음,29640,8/24/2020,주간,일,안겹침,이상없음,7,0,C,주말,0
807,19,82,3909.9,2020-04-16 20:00:00,2020-04-17 04:18:00,29880,0.130853414,229.2,1246,9,107860,15540,122.5060241,1016.8,8.3,CARBON,0,1,0,105300,0,0,0,9,107860,15540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,107860,15540,3,누락없음,27120,4/17/2020,야간,목,안겹침,이상없음,3,0,C,평일,0
1289,19,143,117.9,2020-06-30 05:27:00,2020-06-30 05:42:00,900,0.131,1030,1245.5,1,56280,56280,862,215.5,0.25,ALLOY,1,0,0,240,1,56280,56280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56280,56280,0,0,0,0,누락없음,840,6/30/2020,주간,화,겹침,이상없음,2,1,A,평일,0
