,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
45,hold,65.0,0.0,,[],[],,,,1130.3000000007448,,5,,,,,[''],2019-11-05 05:53:00,1250.8,,,,2019-11-05,2019-11-05 10:17:00,1271.2,주간,,1260.272830188679,
46,hold,66.0,0.0,,[],[],,,,155.69999999925494,,5,,,,,[''],2019-11-06 17:09:00,1283.1,,,,2019-11-06,2019-11-06 18:03:00,1270.6,주간,,1271.541818181818,
47,hold,67.0,0.0,,[],[],,,,166.30000000074506,,5,,,,,[''],2019-11-07 14:43:00,1268.8,,,,2019-11-07,2019-11-07 15:56:00,1272.5,주간,,1271.2054054054054,
48,hold,68.0,0.0,,[],[],,,,237.5999999996274,,5,,,,,[''],2019-11-08 14:33:00,1237.0,,,,2019-11-08,2019-11-08 15:59:00,1272.3,주간,,1269.6620689655174,
49,hold,69.0,0.0,,[],[],,,,574.0999999996276,,5,,,,,[''],2019-11-11 11:09:00,1278.7,,,,2019-11-11,2019-11-11 14:18:00,1272.2,주간,,1271.085789473684,
50,hold,70.0,0.0,,[],[],,,,118.30000000074509,,5,,,,,[''],2019-11-12 17:01:00,1253.0,,,,2019-11-12,2019-11-12 17:52:00,1252.4,주간,,1251.146153846154,
51,hold,75.0,0.0,,[],[],,,,184.0999999996274,,5,,,,,"['200204-19180-224', '200204-19180-225', '200204-19180-226', '200204-19180-227']",2019-11-19 23:36:00,1250.9,,,,2019-11-19,2019-11-20 00:59:00,1250.5,야간,,1250.0773809523807,
52,hold,76.0,0.0,,[],[],,,,422.0,,5,,,,,[''],2019-11-20 23:01:00,1276.1,,,,2019-11-20,2019-11-21 02:02:00,1271.2,야간,,1270.3824175824175,
53,hold,77.0,0.0,,[],[],,,,449.4000000003725,,5,,,,,"['191025-19234-040', '191025-19234-040', '191025-19234-040', '191025-19234-039', '191025-19234-039', '191025-19234-039', '191025-19581-001_1']",2019-11-21 15:07:00,1252.6,,,,2019-11-21,2019-11-21 18:34:00,1252.7,야간,,1250.7466346153847,
54,hold,78.0,0.0,,[],[],,,,432.59999999962747,,5,,,,,"['191014-15491-075', '가열로다이', '가열로다이', '가열로다이', '가열로다이']",2019-11-23 02:12:00,1273.3,,,,2019-11-22,2019-11-23 05:20:00,1271.0,야간,,1270.894708994709,
55,hold,79.0,0.0,,[],[],,,,1233.4000000003725,,5,,,,,[''],2019-11-25 10:15:00,1274.0,,,,2019-11-25,2019-11-25 14:51:00,1272.7,주간,,1200.6281588447653,
56,hold,80.0,0.0,,[],[],,,,318.90000000037253,,5,,,,,[''],2019-11-26 06:20:00,1266.4,,,,2019-11-26,2019-11-26 08:27:00,1251.9,주간,,1251.1515625000004,
57,hold,81.0,0.0,,[],[],,,,911.6999999992547,,5,,,,,[''],2019-11-27 09:09:00,1272.0,,,,2019-11-27,2019-11-27 15:16:00,1270.0,주간,,1270.8323369565214,
58,hold,84.0,0.0,,[],[],,,,333.79999999888236,,5,,,,,[''],2019-12-02 11:26:00,1248.9,,,,2019-12-02,2019-12-02 12:57:00,1272.3,주간,,1255.673913043478,
59,hold,85.0,0.0,,[],[],,,,143.69999999925494,,5,,,,,[''],2019-12-03 12:22:00,1280.4,,,,2019-12-03,2019-12-03 13:01:00,1271.0,주간,,1271.5875,
60,hold,86.0,0.0,,[],[],,,,120.59999999962747,,5,,,,,[''],2019-12-04 12:23:00,1282.7,,,,2019-12-04,2019-12-04 12:57:00,1270.9,주간,,1272.1371428571429,
61,hold,87.0,0.0,,[],[],,,,300.90000000037253,,5,,,,,[''],2019-12-05 09:21:00,1283.4,,,,2019-12-05,2019-12-05 10:59:00,1271.6,주간,,1264.8070707070708,
62,hold,88.0,0.0,,[],[],,,,492.6999999992548,,5,,,,,[''],2019-12-06 05:07:00,1270.6,,,,2019-12-06,2019-12-06 08:30:00,1270.4,주간,,1251.9593137254906,
63,hold,89.0,0.0,,[],[],,,,1819.5999999996275,,5,,,,,[''],2019-12-09 09:46:00,1258.1,,,,2019-12-09,2019-12-09 20:16:00,1252.4,야간,,1250.654358161648,
64,hold,90.0,0.0,,[],[],,,,290.69999999925494,,5,,,,,[''],2019-12-11 23:52:00,1272.0,,,,2019-12-11,2019-12-12 01:35:00,1272.8,야간,,1270.6125000000004,
65,hold,92.0,0.0,,[],[],,,,382.6999999992548,,5,,,,,[''],2019-12-13 23:58:00,1268.3,,,,2019-12-13,2019-12-14 02:51:00,1269.1,야간,,1269.4310344827584,
66,hold,93.0,0.0,,[],[],,,,175.5,,5,,,,,[''],2019-12-18 17:08:00,1275.0,,,,2019-12-18,2019-12-18 17:57:00,1273.3,주간,,1272.35,
67,hold,94.0,0.0,,[],[],,,,1131.0,,5,,,,,[''],2019-12-19 09:03:00,1270.6,,,,2019-12-19,2019-12-19 16:44:00,1271.5,주간,,1270.5396103896105,
68,hold,95.0,0.0,,[],[],,,,296.09999999962747,,5,,,,,[''],2019-12-20 11:41:00,1282.2,,,,2019-12-20,2019-12-20 13:26:00,1271.0,주간,,1270.52641509434,
69,hold,96.0,0.0,,[],[],,,,107.80000000074509,,5,,,,,[''],2019-12-24 08:18:00,1269.0,,,,2019-12-24,2019-12-24 08:57:00,1271.3,주간,,1270.0175,
70,hold,97.0,0.0,,[],[],,,,253.5,,5,,,,,[''],2019-12-25 11:31:00,1264.3,,,,2019-12-25,2019-12-25 12:58:00,1250.7,주간,,1251.1772727272728,
71,hold,98.0,0.0,,[],[],,,,1798.6999999992554,,5,,,,,[''],2019-12-25 20:22:00,1195.8,,,,2019-12-25,2019-12-26 04:26:00,1270.4,야간,,1267.8428865979386,
72,hold,99.0,0.0,,[],[],,,,264.7999999988824,,5,,,,,[''],2019-12-27 04:30:00,1269.2,,,,2019-12-26,2019-12-27 06:09:00,1271.2,야간,,1270.3069999999998,
73,hold,100.0,0.0,,[],[],,,,145.30000000074506,,5,,,,,[''],2019-12-27 20:48:00,1285.0,,,,2019-12-27,2019-12-27 21:40:00,1270.6,야간,,1271.8924528301884,
