,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,啊胶荤侩樊,啊凯肺 锅龋,啊凯肯丰 柯档,啊凯吝 付瘤阜 巩摧腮 矫埃,啊凯吝 巩凯覆 冉荐,滑矫埃,家犁 list,矫累矫埃,矫累柯档,角力 矫累矫埃,盔贰矫累痢柯档,捞傈 辆丰矫埃,累诀老磊,辆丰矫埃,辆丰柯档,林/具埃,弥辆 啊凯矫累 柯档,乞闭柯档,乞老/林富
41,hold,45.0,0.0,,,,,,,1865.8999999994405,1,,,,,[''],2020-06-08 11:33:00,1262.2,,,,2020-06-08,2020-06-09 02:55:00,1279.3,具埃,,1266.9742145178764,
42,hold,46.0,0.0,,,,,,,169.39999999944118,1,,,,,[''],2020-06-09 17:05:00,1262.6,,,,2020-06-09,2020-06-09 18:37:00,1263.9,具埃,,1255.6774193548388,
43,hold,48.0,0.0,,,,,,,321.59999999962747,1,,,,,[''],2020-06-11 20:37:00,1263.4,,,,2020-06-11,2020-06-12 00:38:00,1264.8,具埃,,1250.9280991735593,
44,hold,49.0,0.0,,,,,,,1318.4000000003725,1,,,,,[''],2020-06-12 08:52:00,1262.5,,,,2020-06-12,2020-06-12 20:25:00,1266.7,具埃,,1261.8406340057636,
45,hold,50.0,0.0,,,,,,,1169.2000000001865,1,,,,,[''],2020-06-15 22:12:00,1282.0,,,,2020-06-15,2020-06-16 03:18:00,1287.4,具埃,,1277.5977198697071,
46,hold,51.0,0.0,,,,,,,207.39999999944118,1,,,,,[''],2020-06-17 02:43:00,1273.8,,,,2020-06-16,2020-06-17 04:50:00,1286.4,具埃,,1279.109375,
47,hold,53.0,0.0,,,,,,,340.2999999998138,1,,,,,[''],2020-06-23 15:36:00,1259.3,,,,2020-06-23,2020-06-23 20:17:00,1276.3,具埃,,1253.4987588652486,
48,hold,54.0,0.0,,,,,,,91.0,1,,,,,[''],2020-06-24 23:45:00,1273.3,,,,2020-06-24,2020-06-25 01:03:00,1273.1,具埃,,1272.8113924050633,
49,hold,59.0,0.0,,,,,,,132.79999999981374,1,,,,,[''],2020-07-02 08:39:00,1273.2,,,,2020-07-02,2020-07-02 10:10:00,1273.7,林埃,,1273.5380434782608,
50,hold,60.0,0.0,,,,,,,0.0,1,,,,,[''],2020-07-07 20:29:00,1275.0,,,,2020-07-07,2020-07-08 02:32:00,1274.2,具埃,,1273.057142857143,
51,hold,61.0,0.0,,,,,,,69.8999999994412,1,,,,,[''],2020-07-10 20:58:00,1278.9,,,,2020-07-10,2020-07-10 21:40:00,1274.5,具埃,,1274.3953488372092,
52,hold,62.0,0.0,,,,,,,38.89999999944121,1,,,,,[''],2020-07-13 10:42:00,1271.3,,,,2020-07-13,2020-07-13 11:14:00,1273.6,林埃,,1272.8121212121214,
53,hold,0.0,0.0,,,,,,,132.2999999988824,2,,,,,[''],2020-03-02 10:15:00,1282.3,,,,,2020-03-02 10:55:00,1274.4,,,1274.7439024390244,
54,hold,1.0,0.0,,,,,,,255.5999999996274,2,,,,,[''],2020-03-03 23:23:00,1291.9,,,,2020-03-03,2020-03-04 00:58:00,1275.1,具埃,,1275.103125,
