,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
58,reheat,2.0,0.0,,[],[],,,,12.700000000186265,,1,,,,0.0,[''],2020-03-06 04:08:00,1131.2,,,,2020-03-05,2020-03-06 04:13:00,,야간,,,
59,hold,2.0,0.0,,[],[],,,,12.699999999254944,,1,,,,,[''],2020-03-06 04:13:00,1280.5,,,,2020-03-05,2020-03-06 04:21:00,1283.3,야간,,1278.1333333333332,
60,open,2.0,0.0,,[],[],,,,3.600000000558793,,1,,,,,[''],2020-03-06 04:21:00,1283.3,,,,2020-03-05,2020-03-06 04:24:00,1160.4,야간,,,
61,reheat,2.0,0.0,,[],[],,,,14.5,,1,,,,2.0,[''],2020-03-06 04:24:00,1160.4,,,,2020-03-05,2020-03-06 04:30:00,,야간,,,
62,hold,2.0,0.0,,[],[],,,,12.799999999813735,,1,,,,,[''],2020-03-06 04:30:00,1280.5,,,,2020-03-05,2020-03-06 04:37:00,1282.7,야간,,1279.0375,
63,open,2.0,0.0,,[],[],,,,10.799999999813735,,1,,,,,[''],2020-03-06 04:37:00,1282.7,,,,2020-03-05,2020-03-06 04:46:00,1182.3,야간,,,
64,reheat,2.0,0.0,,[],[],,,,16.40000000037253,,1,,,,2.0,[''],2020-03-06 04:46:00,1182.3,,,,2020-03-05,2020-03-06 04:53:00,,야간,,,
65,hold,2.0,0.0,,[],[],,,,116.8999999994412,,1,,,,,[''],2020-03-06 04:53:00,1283.0,,,,2020-03-05,2020-03-06 06:15:00,1281.1,야간,,1275.5614457831325,
66,open,2.0,0.0,,[],[],,,,1.800000000745058,,1,,,,,[''],2020-03-06 06:15:00,1281.1,,,,2020-03-05,2020-03-06 06:17:00,1103.1,야간,,,
67,reheat,2.0,0.0,,[],[],,,,14.599999999627473,,1,,,,1.0,[''],2020-03-06 06:17:00,1103.1,,,,2020-03-05,2020-03-06 06:24:00,,야간,,,
68,heat,3.0,0.0,561.9130434782609,[],[],increasing 0,430.80000000000007,0.7666666666666667,191.9000000003726,142.90000000037253,1,1259.4,2020-03-06 06:57:00,1.0,1.0,['180904-12339-055'],2020-03-06 06:46:00,828.6,2020-03-06 06:45:00,768.6,2020-03-06 06:33:00,2020-03-06,2020-03-06 07:32:00,1259.4,야간,1147.1,,평일
69,open,3.0,0.0,,[],[],,,,9.0,,1,,,,,[''],2020-03-07 01:46:00,1280.4,,,,2020-03-06,2020-03-07 01:53:00,1156.7,야간,,,
70,reheat,3.0,0.0,,[],[],,,,10.800000000745056,,1,,,,0.0,[''],2020-03-07 01:53:00,1156.7,,,,2020-03-06,2020-03-07 01:57:00,,야간,,,
