,°¡¿­·Î ¹øÈ£,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,in,out,cycle,ÆòÀÏ/ÁÖ¸»,drop_flag,gradient,part_types,temp diff,time diff,°¡½º»ç¿ë·®(¸¶Áö¸· ±¸°£),°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
35,5,2019-07-05 03:52:00,2019-07-05 04:06:00,79.60000000149013,reheat,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,1.0,1023.4,,,,,,,4,4.0,°ãÄ§
36,5,2019-07-05 04:16:00,2019-07-05 04:28:00,53.30000000074506,reheat,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,1.0,998.4,,,,,,,4,4.0,°ãÄ§
37,5,2019-07-05 04:35:00,2019-07-05 05:00:00,174.4000000003726,reheat,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,1.0,968.4,,,,,,,4,4.0,°ãÄ§
38,5,2019-07-05 09:12:00,2019-07-05 09:24:00,54.59999999962746,reheat,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,1.0,1070.3,,,,,,,4,4.0,°ãÄ§
39,5,2019-07-05 09:49:00,2019-07-05 10:01:00,58.0,reheat,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,2.0,1058.5,,,,,,,4,4.0,°ãÄ§
40,5,2019-07-05 10:24:00,2019-07-05 10:45:00,105.80000000074509,reheat,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,1.0,982.3,,,,,,,4,4.0,°ãÄ§
41,5,2019-07-05 10:56:00,2019-07-05 11:17:00,110.69999999925491,reheat,[''],2019-07-05,ÁÖ°£,[],[],4.0,,0.0,,,,,,,,,1.0,962.5,,,,,,,4,4.0,°ãÄ§
42,5,2019-07-09 20:21:00,2019-07-09 20:33:00,61.59999999962746,reheat,[''],2019-07-09,¾ß°£,[],[],5.0,,0.0,,,,,,,,,2.0,1044.3,,,,,,,4,4.0,°ãÄ§
43,5,2019-07-09 20:47:00,2019-07-09 21:02:00,56.40000000037254,reheat,[''],2019-07-09,¾ß°£,[],[],5.0,,0.0,,,,,,,,,1.0,999.5,,,,,,,4,4.0,°ãÄ§
44,5,2019-07-09 21:12:00,2019-07-09 21:24:00,66.20000000111759,reheat,[''],2019-07-09,¾ß°£,[],[],5.0,,0.0,,,,,,,,,2.0,994.0,,,,,,,4,4.0,°ãÄ§
