,가열로 번호,시작시간,시작온도,종료시간,종료온도,평균온도,가스사용량
66,1,2019-10-17 04:24:00,1255.0,2019-10-18 06:55:00,1283.8,1265.04108040201,2669.5
67,1,2019-10-18 14:50:00,1225.0,2019-10-22 05:55:00,1283.8,962.9195656333756,7751.4000000003725
68,1,2019-11-07 23:09:00,1261.8,2019-11-08 19:38:00,1137.6,1267.8086585365852,2766.7999999998137
69,1,2019-11-11 06:22:00,1228.2,2019-11-12 01:21:00,1281.2,1244.6131578947372,2452.5999999996275
70,1,2019-11-12 07:44:00,1260.7,2019-11-12 22:55:00,1293.4,1258.2575657894738,1963.2000000001863
71,1,2019-11-13 05:56:00,1237.4,2019-11-14 06:18:00,1285.0,1252.2734791524265,3172.2000000001863
72,1,2019-11-15 07:17:00,1259.4,2019-11-16 02:41:00,1281.7,1262.157768240343,2613.300000000745
73,1,2019-11-28 02:37:00,1252.7,2019-11-28 18:52:00,1284.9,1260.3469262295082,2327.0
74,1,2019-11-29 11:49:00,1256.7,2019-11-30 06:13:00,1282.0,1264.6292307692308,2516.4000000003725
75,1,2019-12-02 11:31:00,1256.9,2019-12-03 06:58:00,1267.9,1266.463698630137,2868.0
76,1,2019-12-03 10:56:00,1251.8,2019-12-04 07:21:00,1244.4,1255.4572593800979,2480.199999999255
77,1,2019-12-06 04:58:00,1151.1,2019-12-06 22:34:00,1283.3,1255.943519394513,2651.2999999998137
78,1,2019-12-08 16:12:00,1247.7,2019-12-09 19:21:00,1284.6,1260.5977914110429,3090.899999999441
79,1,2019-12-10 04:27:00,1246.6,2019-12-11 06:18:00,1259.5,1253.2468427835051,2792.699999999255
80,1,2019-12-16 07:38:00,1251.9,2019-12-17 04:06:00,1285.8,1260.53344182262,2714.0999999996275
81,1,2019-12-17 06:47:00,1257.3,2019-12-18 14:17:00,1279.1,1257.467741935484,3649.4000000003725
82,1,2019-12-20 10:37:00,1246.7,2019-12-21 04:52:00,1281.6,1266.5927919708029,2715.399999999441
83,1,2019-12-24 00:33:00,1252.8,2019-12-25 16:21:00,1148.5,1177.2011720385099,3699.7999999998137
84,2,2019-07-05 05:13:00,1254.6,2019-07-06 06:19:00,1293.0,1255.5311214333112,5126.39999999851
85,2,2019-07-09 07:54:00,1280.8,2019-07-10 04:28:00,1291.2,1256.8294736842108,3817.199999999255
86,2,2019-07-11 05:55:00,1274.8,2019-07-12 06:53:00,1296.7,1243.2392595063377,4857.4000000003725
87,2,2019-07-12 08:47:00,1261.5,2019-07-13 07:16:00,1277.0,1260.5632592592592,4043.699999999255
88,2,2019-07-14 20:02:00,1257.8,2019-07-15 15:30:00,1276.4,1246.6351582549187,3961.89999999851
89,2,2019-07-16 00:34:00,1205.3,2019-07-16 19:09:00,1291.9,1226.8291218637994,3390.800000000745
90,2,2019-07-17 02:53:00,1243.1,2019-07-18 06:19:00,1272.4,1207.556041287189,6801.199999999255
91,2,2019-07-18 07:14:00,1262.2,2019-07-18 10:55:00,1254.0,1193.1036036036037,750.1000000014901
92,2,2019-08-12 16:41:00,1273.6,2019-08-13 01:56:00,1279.9,1246.2401079136691,1686.1000000014901
93,2,2019-08-13 08:26:00,1251.6,2019-08-14 05:23:00,1291.0,1242.7049284578698,4360.0
94,2,2019-08-14 09:53:00,1251.5,2019-08-14 23:02:00,1292.9,1244.4554430379746,2493.0
95,2,2019-08-15 02:41:00,1256.5,2019-08-15 13:17:00,1222.5,1185.547566718995,2464.0999999996275
96,2,2019-08-21 03:58:00,1261.4,2019-08-22 05:30:00,1293.8,1248.2138943248538,5683.699999999255
97,2,2019-08-22 10:24:00,1265.6,2019-08-23 04:15:00,1292.9,1248.587593283582,3920.9000000003725
98,2,2019-08-23 06:29:00,1263.8,2019-08-24 04:24:00,1292.8,1256.2850303951368,3881.0
99,2,2019-08-25 18:37:00,1253.6,2019-08-26 16:32:00,1293.9,1255.7446808510638,3636.4000000003725
100,2,2019-08-26 18:12:00,1262.3,2019-08-27 18:40:00,1293.9,1233.389550714772,4514.4000000003725
101,2,2019-08-27 19:29:00,1238.5,2019-08-28 17:57:00,1260.4,1238.1977020014826,3579.5999999996275
102,2,2019-08-28 19:18:00,1264.4,2019-08-29 11:03:00,1292.6,1252.7028541226214,2714.7000000011176
103,2,2019-08-29 17:20:00,1262.5,2019-08-30 14:24:00,1272.8,1242.2917786561263,3557.4000000003725
104,2,2019-09-03 15:35:00,1253.8,2019-09-04 18:50:00,1292.1,1250.3559902200489,5402.5999999996275
105,2,2019-09-04 20:22:00,1256.8,2019-09-05 18:17:00,1292.9,1248.1601823708206,3930.2000000011176
106,2,2019-09-05 20:12:00,1258.5,2019-09-06 18:08:00,1235.3,1248.9357630979498,3684.800000000745
107,2,2019-09-07 02:51:00,1266.4,2019-09-08 02:47:00,1266.1,1252.1313848295058,4077.699999999255
108,2,2019-09-08 05:56:00,1261.2,2019-09-09 06:19:00,1294.0,1258.171994535519,4231.300000000745
109,2,2019-09-09 06:57:00,1256.5,2019-09-10 07:44:00,1266.3,1247.7653225806453,3712.2999999988824
110,2,2019-09-10 09:09:00,1258.0,2019-09-11 05:20:00,1284.9,1258.4564768976898,2908.699999999255
111,2,2019-09-11 07:24:00,1155.9,2019-09-12 00:01:00,1292.1,1252.1432865731463,2749.2999999988824
112,2,2019-09-15 15:41:00,1255.0360128617615,2019-09-16 13:35:00,1239.0,1254.5597232036969,5561.0999999996275
113,2,2019-09-16 15:52:00,1265.9,2019-09-17 11:29:00,1289.8,1251.4921052631578,3396.5999999996275
114,2,2019-09-17 12:41:00,1254.2,2019-09-18 15:34:00,1258.0,1228.6745353159852,4828.700000001118
115,2,2019-09-19 06:50:00,1254.2,2019-09-20 02:16:00,1277.8,1250.5053127677807,3948.300000000745
116,2,2019-09-20 06:33:00,1269.2,2019-09-21 05:12:00,1287.9,1254.816911764706,4137.5
117,2,2019-09-22 17:51:00,1251.7,2019-09-23 18:37:00,1270.9,1247.3839946200403,4878.0999999996275
118,2,2019-09-24 00:06:00,1239.5,2019-09-24 13:03:00,1278.1,1223.0821336760926,2812.300000000745
119,2,2019-09-24 21:46:00,1257.5,2019-09-25 17:54:00,1281.4,1243.4350703060381,4039.5
120,2,2019-09-25 18:27:00,1254.5,2019-09-26 18:02:00,1259.7,1245.5308615819208,3371.4000000003725
121,2,2019-09-26 20:11:00,1266.1,2019-09-28 02:06:00,1269.7,1245.7146993318484,5211.0
122,2,2019-09-29 17:42:00,1257.3,2019-09-30 16:11:00,1295.6,1241.7943703703702,3903.199999999255
123,2,2019-09-30 19:13:00,1259.0,2019-10-01 14:43:00,1266.1,1249.142783945346,3489.0999999996275
124,2,2019-10-01 16:45:00,1269.4,2019-10-02 18:55:00,1275.4,1244.181667727562,4429.9000000003725
125,2,2019-10-02 21:16:00,1262.0,2019-10-03 17:53:00,1259.1,1247.5649838449044,3460.199999999255
126,2,2019-10-03 21:49:00,1266.2,2019-10-04 19:19:00,1273.4,1245.143144848954,4162.0
127,2,2019-10-06 19:44:00,1254.0,2019-10-07 12:55:00,1279.2,1254.2368217054263,3049.0999999996275
128,2,2019-10-07 20:48:00,1266.7,2019-10-08 13:52:00,1293.0,1245.449756097561,3308.0999999996275
129,2,2019-10-08 17:22:00,1258.5,2019-10-09 14:32:00,1294.1,1255.651219512195,3623.4000000003725
130,2,2019-10-09 16:31:00,1247.5,2019-10-10 14:14:00,1255.6,1222.8342024539877,3626.0999999996275
131,2,2019-10-10 19:09:00,1267.0,2019-10-11 15:13:00,1277.4,1252.133692946058,3578.5
132,2,2019-10-13 19:05:00,1254.6,2019-10-14 18:55:00,1258.4,1240.4805031446542,3939.5
133,2,2019-10-14 20:07:00,1253.3,2019-10-15 11:15:00,1260.1,1248.2322332233225,2498.800000000745
134,2,2019-10-15 14:05:00,1254.4,2019-10-16 14:33:00,1260.7,1218.1818243703199,5073.5
135,2,2019-10-16 14:55:00,1258.0,2019-10-17 14:46:00,1273.1,1223.00656424581,4803.0999999996275
136,2,2019-10-17 17:50:00,1263.1,2019-10-18 15:29:00,1267.1,1245.768,3914.5
137,2,2019-10-21 10:32:00,1274.4,2019-10-21 15:05:00,1291.9,1237.7587591240876,814.1000000014901
138,2,2019-10-21 17:25:00,1260.2,2019-10-22 18:49:00,1276.7,1256.9000655737705,4048.5999999996275
139,2,2019-10-22 23:06:00,1254.1,2019-10-23 18:54:00,1266.0,1242.5934398654333,3585.0
140,2,2019-10-24 03:02:00,1239.2,2019-10-24 18:07:00,1276.1,1247.2714128035318,2863.9000000003725
141,2,2019-10-24 20:13:00,1265.7,2019-10-25 19:18:00,1286.8,1255.8426406926405,3728.0
142,2,2019-10-27 15:48:00,1255.1,2019-10-28 11:27:00,1281.2,1151.6027542372933,3645.39999999851
143,2,2019-10-28 12:45:00,1254.1,2019-10-29 19:11:00,1256.7,1235.4147235905857,5596.5
144,2,2019-10-30 06:39:00,1262.7,2019-10-31 02:29:00,1275.8,1249.4982367758187,4179.700000001118
145,2,2019-10-31 03:28:00,1270.7,2019-10-31 21:48:00,1283.5,1159.0954586739329,4776.4000000003725
146,2,2019-11-01 09:40:00,1239.2,2019-11-01 21:22:00,1275.8,1228.8924608819345,1833.7000000011176
147,2,2019-11-04 03:36:00,1140.3,2019-11-04 19:50:00,1281.3,1208.4437948717946,2623.10000000149
148,2,2019-11-05 01:01:00,1272.1,2019-11-06 01:15:00,1263.1,1220.7159450171823,4665.0
149,2,2019-11-06 02:21:00,1267.9,2019-11-07 01:25:00,1263.2,1217.107509025271,4453.0999999996275
150,2,2019-11-07 02:37:00,1260.4,2019-11-08 06:30:00,1284.7,1237.955286738351,5264.0999999996275
151,2,2019-11-08 11:13:00,1270.5,2019-11-09 05:24:00,1269.5,1247.5192765567765,3106.5
152,2,2019-11-11 06:25:00,1234.0,2019-11-12 06:13:00,1230.9,1245.5336599020295,4245.699999999255
153,2,2019-11-13 05:37:00,1264.2,2019-11-14 01:50:00,1275.5,1244.2997528830315,4253.800000000745
154,2,2019-11-14 05:18:00,1262.3,2019-11-14 23:26:00,1264.7,1249.9128099173552,3455.10000000149
155,2,2019-11-15 05:58:00,1255.3,2019-11-15 22:34:00,1284.0,1241.3664994984954,3439.0
156,2,2019-11-17 19:37:00,1248.8,2019-11-18 17:51:00,1273.9,1252.8096629213483,3736.300000000745
157,2,2019-11-19 03:53:00,1253.9,2019-11-19 18:56:00,1283.2,1240.3264380530975,2845.5999999996275
158,2,2019-11-19 21:45:00,1264.2,2019-11-20 19:46:00,1279.0,1243.7758698941,4125.0
159,2,2019-11-20 22:21:00,1251.6,2019-11-21 19:04:00,1274.3,1244.7702572347266,4306.199999999255
160,2,2019-11-21 20:25:00,1256.5,2019-11-23 04:11:00,1279.1,1243.127267960147,5624.0999999996275
161,2,2019-11-24 19:10:00,1255.4,2019-11-25 14:25:00,1162.7,1244.815830449827,3537.9000000003725
162,2,2019-11-25 17:32:00,1252.1,2019-11-26 13:26:00,1288.7,1251.7580753138075,3822.2000000011176
163,2,2019-11-26 13:51:00,1263.3,2019-11-27 13:48:00,1253.0,1232.976564673157,4529.799999998882
164,2,2019-11-28 05:55:00,1274.9,2019-11-29 06:28:00,1275.7,1260.303527815468,4918.700000001118
165,2,2019-11-29 15:48:00,1265.3,2019-11-30 05:06:00,1278.2,1253.2617021276596,2457.800000000745
166,2,2019-12-03 03:37:00,1266.0,2019-12-03 18:40:00,1275.4,1260.283960176991,3426.0999999996275
167,2,2019-12-03 20:55:00,1261.6,2019-12-04 18:31:00,1278.1,1255.593831919815,4105.800000000745
168,2,2019-12-04 20:20:00,1271.5,2019-12-05 15:35:00,1270.8,1260.2576124567472,3514.0
169,2,2019-12-05 17:42:00,1274.1,2019-12-06 16:12:00,1285.4,1256.539970392302,3954.5999999996275
170,2,2019-12-09 11:41:00,1262.7,2019-12-10 01:32:00,1291.5,1241.8508413461539,3299.5
171,2,2019-12-10 06:32:00,1270.9,2019-12-11 02:31:00,1278.7,1246.50475,3854.0
172,2,2019-12-11 07:25:00,1263.5,2019-12-12 06:18:00,1277.3,1257.9089519650659,4241.5999999996275
173,2,2019-12-12 08:16:00,1259.0,2019-12-13 06:15:00,1291.3,1257.019696969697,3883.699999999255
174,2,2019-12-13 09:01:00,1258.6,2019-12-13 23:11:00,1278.4,1243.3695652173913,2794.5999999996275
175,2,2019-12-15 19:32:00,1255.8,2019-12-16 14:26:00,1278.9,1243.7927753303964,3560.7999999988824
176,2,2019-12-16 17:30:00,1252.7,2019-12-17 15:42:00,1290.8,1238.503150787697,4507.0
