,°¡¿­·Î ¹øÈ£,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,in,out,cycle,ÆòÀÏ/ÁÖ¸»,drop_flag,gradient,part_types,temp diff,time diff,°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
45,1,2020-03-11 04:36:00,2020-03-11 04:44:00,16.0,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,2.0,1233.3,,,,,,,4,4.0,°ãÄ§
46,1,2020-03-11 05:03:00,2020-03-11 05:10:00,26.700000000186268,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,0.0,1087.4,,,,,,,4,4.0,°ãÄ§
47,1,2020-03-11 05:21:00,2020-03-11 05:27:00,16.0,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,1.0,1203.3,,,,,,,4,4.0,°ãÄ§
48,1,2020-03-16 10:32:00,2020-03-16 10:39:00,21.5,reheat,[''],2020-03-16,¾ß°£,,,6.0,,0.0,,,,,,,,1.0,1115.0,,,,,,,4,4.0,°ãÄ§
49,1,2020-03-16 18:02:00,2020-03-16 18:11:00,19.599999999627467,reheat,[''],2020-03-16,¾ß°£,,,6.0,,0.0,,,,,,,,3.0,1131.1,,,,,,,4,4.0,°ãÄ§
50,1,2020-03-17 01:51:00,2020-03-17 01:53:00,7.1000000005587935,reheat,[''],2020-03-16,¾ß°£,,,6.0,,0.0,,,,,,,,0.0,1194.0,,,,,,,4,4.0,°ãÄ§
51,1,2020-03-17 02:02:00,2020-03-17 02:09:00,14.399999999441205,reheat,[''],2020-03-16,¾ß°£,,,6.0,,0.0,,,,,,,,1.0,1164.2,,,,,,,4,4.0,°ãÄ§
52,1,2020-03-17 02:43:00,2020-03-17 02:45:00,5.400000000372528,reheat,[''],2020-03-16,¾ß°£,,,6.0,,0.0,,,,,,,,0.0,1105.6,,,,,,,4,4.0,°ãÄ§
53,1,2020-03-17 02:55:00,2020-03-17 03:01:00,12.599999999627473,reheat,[''],2020-03-16,¾ß°£,,,6.0,,0.0,,,,,,,,3.0,1144.9,,,,,,,4,4.0,°ãÄ§
54,1,2020-03-17 03:10:00,2020-03-17 03:15:00,14.300000000745056,reheat,[''],2020-03-16,¾ß°£,,,6.0,,0.0,,,,,,,,1.0,1116.4,,,,,,,4,4.0,°ãÄ§
55,1,2020-03-17 03:22:00,2020-03-17 03:32:00,21.5,reheat,[''],2020-03-16,¾ß°£,,,6.0,,0.0,,,,,,,,5.0,1116.2,,,,,,,4,4.0,°ãÄ§
56,1,2020-03-17 06:18:00,2020-03-17 06:23:00,12.599999999627473,reheat,[''],2020-03-16,¾ß°£,,,6.0,,0.0,,,,,,,,1.0,1112.3,,,,,,,4,4.0,°ãÄ§
57,1,2020-03-17 06:31:00,2020-03-17 06:37:00,16.200000000186265,reheat,[''],2020-03-16,¾ß°£,,,6.0,,0.0,,,,,,,,0.0,1118.0,,,,,,,4,4.0,°ãÄ§
58,1,2020-03-17 14:29:00,2020-03-17 14:37:00,26.09999999962747,reheat,[''],2020-03-17,¾ß°£,,,7.0,,0.0,,,,,,,,2.0,998.1,,,,,,,4,4.0,°ãÄ§
59,1,2020-03-17 16:09:00,2020-03-17 16:16:00,17.299999999813735,reheat,[''],2020-03-17,¾ß°£,,,7.0,,0.0,,,,,,,,1.0,1173.7,,,,,,,4,4.0,°ãÄ§
60,1,2020-03-17 16:33:00,2020-03-17 16:39:00,12.200000000186265,reheat,[''],2020-03-17,¾ß°£,,,7.0,,0.0,,,,,,,,0.0,1155.7,,,,,,,4,4.0,°ãÄ§
61,1,2020-03-17 19:34:00,2020-03-17 19:36:00,5.299999999813736,reheat,[''],2020-03-17,¾ß°£,,,7.0,,0.0,,,,,,,,0.0,1161.7,,,,,,,4,4.0,°ãÄ§
62,1,2020-03-17 19:41:00,2020-03-17 19:48:00,19.200000000186265,reheat,[''],2020-03-17,¾ß°£,,,7.0,,0.0,,,,,,,,0.0,1095.0,,,,,,,4,4.0,°ãÄ§
63,1,2020-03-17 20:17:00,2020-03-17 20:20:00,8.799999999813734,reheat,[''],2020-03-17,¾ß°£,,,7.0,,0.0,,,,,,,,0.0,1169.2,,,,,,,4,4.0,°ãÄ§
64,1,2020-03-17 20:29:00,2020-03-17 20:34:00,15.800000000745056,reheat,[''],2020-03-17,¾ß°£,,,7.0,,0.0,,,,,,,,0.0,1063.5,,,,,,,4,4.0,°ãÄ§
65,1,2020-03-17 20:42:00,2020-03-17 20:48:00,17.5,reheat,[''],2020-03-17,¾ß°£,,,7.0,,0.0,,,,,,,,0.0,1158.0,,,,,,,4,4.0,°ãÄ§
66,1,2020-03-18 01:58:00,2020-03-18 02:06:00,30.0,reheat,[''],2020-03-17,¾ß°£,,,7.0,,0.0,,,,,,,,1.0,730.1,,,,,,,4,4.0,°ãÄ§
67,1,2020-03-18 02:07:00,2020-03-18 02:16:00,24.79999999981373,reheat,[''],2020-03-17,¾ß°£,,,7.0,,0.0,,,,,,,,1.0,1239.1,,,,,,,4,4.0,°ãÄ§
68,1,2020-03-18 03:07:00,2020-03-18 03:18:00,23.09999999962747,reheat,[''],2020-03-17,¾ß°£,,,7.0,,0.0,,,,,,,,3.0,1134.2,,,,,,,4,4.0,°ãÄ§
69,1,2020-03-19 20:20:00,2020-03-19 20:29:00,19.400000000372533,reheat,[''],2020-03-19,¾ß°£,,,8.0,,0.0,,,,,,,,2.0,1120.2,,,,,,,4,4.0,°ãÄ§
70,1,2020-03-19 20:41:00,2020-03-19 20:49:00,17.600000000558797,reheat,[''],2020-03-19,¾ß°£,,,8.0,,0.0,,,,,,,,2.0,1039.3,,,,,,,4,4.0,°ãÄ§
71,1,2020-03-19 20:59:00,2020-03-19 21:09:00,22.90000000037253,reheat,[''],2020-03-19,¾ß°£,,,8.0,,0.0,,,,,,,,0.0,1058.9,,,,,,,4,4.0,°ãÄ§
72,1,2020-03-19 21:18:00,2020-03-19 21:24:00,14.100000000558795,reheat,[''],2020-03-19,¾ß°£,,,8.0,,0.0,,,,,,,,0.0,1149.5,,,,,,,4,4.0,°ãÄ§
73,1,2020-03-19 21:37:00,2020-03-19 21:53:00,43.899999999441214,reheat,[''],2020-03-19,¾ß°£,,,8.0,,0.0,,,,,,,,2.0,956.7,,,,,,,4,4.0,°ãÄ§
74,1,2020-03-20 03:57:00,2020-03-20 04:01:00,10.699999999254944,reheat,[''],2020-03-19,¾ß°£,,,8.0,,0.0,,,,,,,,0.0,1178.4,,,,,,,4,4.0,°ãÄ§
75,1,2020-03-20 04:06:00,2020-03-20 04:14:00,23.199999999254945,reheat,[''],2020-03-19,¾ß°£,,,8.0,,0.0,,,,,,,,1.0,1114.3,,,,,,,4,4.0,°ãÄ§
76,1,2020-03-20 04:32:00,2020-03-20 04:39:00,16.100000000558797,reheat,[''],2020-03-19,¾ß°£,,,8.0,,0.0,,,,,,,,2.0,1200.3,,,,,,,4,4.0,°ãÄ§
77,1,2020-03-20 04:54:00,2020-03-20 05:02:00,19.599999999627467,reheat,[''],2020-03-19,¾ß°£,,,8.0,,0.0,,,,,,,,1.0,1098.5,,,,,,,4,4.0,°ãÄ§
78,1,2020-03-20 05:14:00,2020-03-20 05:19:00,14.299999999813735,reheat,[''],2020-03-19,¾ß°£,,,8.0,,0.0,,,,,,,,0.0,1101.6,,,,,,,4,4.0,°ãÄ§
79,1,2020-03-20 05:25:00,2020-03-20 05:31:00,17.900000000372533,reheat,[''],2020-03-19,¾ß°£,,,8.0,,0.0,,,,,,,,0.0,1163.4,,,,,,,4,4.0,°ãÄ§
80,1,2020-03-20 06:32:00,2020-03-20 06:39:00,12.599999999627473,reheat,[''],2020-03-19,¾ß°£,,,8.0,,0.0,,,,,,,,2.0,1201.6,,,,,,,4,4.0,°ãÄ§
81,1,2020-03-20 10:48:00,2020-03-20 10:50:00,5.299999999813736,reheat,[''],2020-03-20,¾ß°£,,,9.0,,0.0,,,,,,,,1.0,1218.4,,,,,,,4,4.0,°ãÄ§
82,1,2020-03-20 11:04:00,2020-03-20 11:07:00,7.099999999627472,reheat,[''],2020-03-20,¾ß°£,,,9.0,,0.0,,,,,,,,1.0,1217.6,,,,,,,4,4.0,°ãÄ§
83,1,2020-03-20 11:26:00,2020-03-20 11:28:00,5.299999999813736,reheat,[''],2020-03-20,¾ß°£,,,9.0,,0.0,,,,,,,,0.0,1222.2,,,,,,,4,4.0,°ãÄ§
84,1,2020-03-20 11:32:00,2020-03-20 11:34:00,5.299999999813736,reheat,[''],2020-03-20,¾ß°£,,,9.0,,0.0,,,,,,,,1.0,1224.9,,,,,,,4,4.0,°ãÄ§
